Typical Measured Spectrum of Semrock FF02-409/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
265.0	2.4744e-05
265.2	2.5758e-05
265.4	2.6813e-05
265.6	2.7911e-05
265.8	2.9055e-05
266.0	3.0245e-05
266.2	3.1484e-05
266.4	3.2773e-05
266.6	3.4116e-05
266.8	3.5513e-05
267.0	3.6968e-05
267.2	3.8483e-05
267.4	4.0059e-05
267.6	4.17e-05
267.8	4.3408e-05
268.0	4.5186e-05
268.2	4.7037e-05
268.4	4.8964e-05
268.6	5.097e-05
268.8	5.3058e-05
269.0	5.5231e-05
269.2	5.7494e-05
269.4	5.9034e-05
269.6	5.8296e-05
269.8	5.7567e-05
270.0	5.6847e-05
270.2	5.6137e-05
270.4	5.5435e-05
270.6	5.4742e-05
270.8	5.4057e-05
271.0	5.3381e-05
271.2	5.2714e-05
271.4	5.2055e-05
271.6	5.1404e-05
271.8	5.0761e-05
272.0	5.0127e-05
272.2	4.95e-05
272.4	4.8881e-05
272.6	4.827e-05
272.8	4.7666e-05
273.0	4.707e-05
273.2	4.6482e-05
273.4	4.5901e-05
273.6	4.5327e-05
273.8	4.476e-05
274.0	4.42e-05
274.2	4.3544e-05
274.4	4.289e-05
274.6	4.2246e-05
274.8	4.1611e-05
275.0	4.0986e-05
275.2	4.0408e-05
275.4	3.9839e-05
275.6	3.9277e-05
275.8	3.8723e-05
276.0	3.8177e-05
276.2	3.7639e-05
276.4	3.7108e-05
276.6	3.6585e-05
276.8	3.6069e-05
277.0	3.556e-05
277.2	3.5059e-05
277.4	3.4565e-05
277.6	3.4077e-05
277.8	3.3597e-05
278.0	3.285e-05
278.2	3.2064e-05
278.4	3.1298e-05
278.6	3.055e-05
278.8	2.9819e-05
279.0	2.9106e-05
279.2	2.8411e-05
279.4	2.7732e-05
279.6	2.7069e-05
279.8	2.6422e-05
280.0	2.579e-05
280.2	2.5173e-05
280.4	2.4572e-05
280.6	2.3984e-05
280.8	2.3411e-05
281.0	2.2851e-05
281.2	2.2305e-05
281.4	2.1772e-05
281.6	2.1251e-05
281.8	2.0743e-05
282.0	2.0247e-05
282.2	1.9763e-05
282.4	1.9291e-05
282.6	1.923e-05
282.8	1.9569e-05
283.0	1.9914e-05
283.2	2.0265e-05
283.4	2.0623e-05
283.6	2.0986e-05
283.8	2.1356e-05
284.0	2.1733e-05
284.2	2.2116e-05
284.4	2.2506e-05
284.6	2.2903e-05
284.8	2.3307e-05
285.0	2.3718e-05
285.2	2.2991e-05
285.4	2.2286e-05
285.6	2.1602e-05
285.8	2.094e-05
286.0	2.0298e-05
286.2	1.9676e-05
286.4	1.9073e-05
286.6	1.8488e-05
286.8	1.7921e-05
287.0	1.7372e-05
287.2	1.6839e-05
287.4	1.6323e-05
287.6	1.5823e-05
287.8	1.5338e-05
288.0	1.5225e-05
288.2	1.514e-05
288.4	1.5056e-05
288.6	1.4972e-05
288.8	1.4888e-05
289.0	1.4805e-05
289.2	1.4723e-05
289.4	1.4641e-05
289.6	1.4559e-05
289.8	1.4478e-05
290.0	1.4398e-05
290.2	1.4317e-05
290.4	1.4238e-05
290.6	1.4158e-05
290.8	1.4079e-05
291.0	1.4001e-05
291.2	1.3923e-05
291.4	1.3845e-05
291.6	1.3768e-05
291.8	1.3691e-05
292.0	1.3615e-05
292.2	1.3539e-05
292.4	1.3464e-05
292.6	1.2424e-05
292.8	1.0952e-05
293.0	9.6535e-06
293.2	8.5092e-06
293.4	7.5005e-06
293.6	6.6115e-06
293.8	5.8278e-06
294.0	5.137e-06
294.2	4.5281e-06
294.4	3.9913e-06
294.6	3.5182e-06
294.8	3.1012e-06
295.0	2.7336e-06
295.2	3.1351e-06
295.4	3.5957e-06
295.6	4.1239e-06
295.8	4.2629e-06
296.0	4.3071e-06
296.2	4.3518e-06
296.4	4.397e-06
296.6	4.4427e-06
296.8	4.4888e-06
297.0	4.5354e-06
297.2	4.5825e-06
297.4	4.6301e-06
297.6	4.6781e-06
297.8	4.7267e-06
298.0	4.7758e-06
298.2	4.8254e-06
298.4	4.8755e-06
298.6	4.9261e-06
298.8	4.9772e-06
299.0	5.0289e-06
299.2	5.0811e-06
299.4	5.1339e-06
299.6	5.1872e-06
299.8	5.241e-06
300.0	5.2955e-06
300.2	5.3504e-06
300.4	5.4587e-06
300.6	5.6203e-06
300.8	5.7867e-06
301.0	5.9581e-06
301.2	6.1345e-06
301.4	6.3161e-06
301.6	6.5031e-06
301.8	6.6957e-06
302.0	6.8939e-06
302.2	7.098e-06
302.4	7.3082e-06
302.6	7.5246e-06
302.8	7.7473e-06
303.0	7.9767e-06
303.2	8.2129e-06
303.4	8.4561e-06
303.6	8.7064e-06
303.8	8.9642e-06
304.0	9.2296e-06
304.2	9.5029e-06
304.4	9.7842e-06
304.6	1.0074e-05
304.8	1.0372e-05
305.0	1.0689e-05
305.2	1.1099e-05
305.4	1.1524e-05
305.6	1.1965e-05
305.8	1.2423e-05
306.0	1.2899e-05
306.2	1.3393e-05
306.4	1.3906e-05
306.6	1.4438e-05
306.8	1.4991e-05
307.0	1.5378e-05
307.2	1.5129e-05
307.4	1.4884e-05
307.6	1.4644e-05
307.8	1.4407e-05
308.0	1.4174e-05
308.2	1.3945e-05
308.4	1.3719e-05
308.6	1.3497e-05
308.8	1.3279e-05
309.0	1.3064e-05
309.2	1.2853e-05
309.4	1.2645e-05
309.6	1.244e-05
309.8	1.2239e-05
310.0	1.2041e-05
310.2	1.1847e-05
310.4	1.1655e-05
310.6	1.1466e-05
310.8	1.1281e-05
311.0	1.1099e-05
311.2	1.0919e-05
311.4	1.0742e-05
311.6	1.0569e-05
311.8	1.0212e-05
312.0	9.8496e-06
312.2	9.4997e-06
312.4	9.1622e-06
312.6	8.8366e-06
312.8	8.5227e-06
313.0	8.2199e-06
313.2	7.9278e-06
313.4	7.6462e-06
313.6	7.3745e-06
313.8	7.1125e-06
314.0	6.8598e-06
314.2	6.6161e-06
314.4	6.381e-06
314.6	6.1543e-06
314.8	5.9356e-06
315.0	5.7247e-06
315.2	5.5214e-06
315.4	5.3252e-06
315.6	5.136e-06
315.8	4.9535e-06
316.0	4.7775e-06
316.2	4.6078e-06
316.4	4.5318e-06
316.6	4.5155e-06
316.8	4.4993e-06
317.0	4.4832e-06
317.2	4.4671e-06
317.4	4.4511e-06
317.6	4.4351e-06
317.8	4.4192e-06
318.0	4.4034e-06
318.2	4.3876e-06
318.4	4.3719e-06
318.6	4.3562e-06
318.8	4.3406e-06
319.0	4.325e-06
319.2	4.3095e-06
319.4	4.294e-06
319.6	4.2786e-06
319.8	4.2633e-06
320.0	4.248e-06
320.2	4.2327e-06
320.4	4.2176e-06
320.6	4.2024e-06
320.8	4.1874e-06
321.0	4.1809e-06
321.2	4.1934e-06
321.4	4.206e-06
321.6	4.2187e-06
321.8	4.2313e-06
322.0	4.244e-06
322.2	4.2568e-06
322.4	4.2696e-06
322.6	4.2824e-06
322.8	4.2952e-06
323.0	4.3081e-06
323.2	4.3211e-06
323.4	4.334e-06
323.6	4.3471e-06
323.8	4.3601e-06
324.0	4.3732e-06
324.2	4.3863e-06
324.4	4.3995e-06
324.6	4.4127e-06
324.8	4.426e-06
325.0	4.4393e-06
325.2	4.4526e-06
325.4	4.466e-06
325.6	4.4757e-06
325.8	4.3676e-06
326.0	4.2621e-06
326.2	4.1591e-06
326.4	4.0586e-06
326.6	3.9606e-06
326.8	3.8649e-06
327.0	3.7715e-06
327.2	3.6804e-06
327.4	3.5915e-06
327.6	3.5048e-06
327.8	3.4201e-06
328.0	3.3375e-06
328.2	3.2569e-06
328.4	3.1782e-06
328.6	3.1014e-06
328.8	3.0265e-06
329.0	2.9534e-06
329.2	2.882e-06
329.4	2.8124e-06
329.6	2.7445e-06
329.8	2.6782e-06
330.0	2.6135e-06
330.2	2.5504e-06
330.4	2.5733e-06
330.6	2.6241e-06
330.8	2.6758e-06
331.0	2.7286e-06
331.2	2.7824e-06
331.4	2.8373e-06
331.6	2.8932e-06
331.8	2.9503e-06
332.0	3.0085e-06
332.2	3.0678e-06
332.4	3.1283e-06
332.6	3.19e-06
332.8	3.2529e-06
333.0	3.317e-06
333.2	3.3824e-06
333.4	3.4491e-06
333.6	3.5172e-06
333.8	3.5865e-06
334.0	3.6572e-06
334.2	3.7294e-06
334.4	3.8029e-06
334.6	3.8779e-06
334.8	3.9544e-06
335.0	4.0263e-06
335.2	4.0817e-06
335.4	4.1378e-06
335.6	4.1947e-06
335.8	4.2524e-06
336.0	4.3109e-06
336.2	4.3701e-06
336.4	4.4302e-06
336.6	4.4912e-06
336.8	4.5529e-06
337.0	3.9992e-06
337.2	2.4299e-06
337.4	1.4764e-06
337.6	8.9703e-07
337.8	5.4503e-07
338.0	3.3115e-07
338.2	2.0121e-07
338.4	1.2225e-07
338.6	1.0758e-07
338.8	1.2312e-07
339.0	1.409e-07
339.2	1.6125e-07
339.4	1.8454e-07
339.6	2.1119e-07
339.8	2.4169e-07
340.0	2.766e-07
340.2	3.1655e-07
340.4	3.6226e-07
340.6	4.1458e-07
340.8	4.7446e-07
341.0	5.4299e-07
341.2	6.2141e-07
341.4	7.1116e-07
341.6	8.1387e-07
341.8	9.3142e-07
342.0	1.0659e-06
342.2	1.0619e-06
342.4	1.0207e-06
342.6	9.8105e-07
342.8	9.4298e-07
343.0	9.0638e-07
343.2	8.712e-07
343.4	8.3738e-07
343.6	8.0488e-07
343.8	7.7364e-07
344.0	7.4361e-07
344.2	7.1475e-07
344.4	6.8701e-07
344.6	6.6034e-07
344.8	6.3471e-07
345.0	6.1008e-07
345.2	5.864e-07
345.4	5.6364e-07
345.6	5.4176e-07
345.8	5.2073e-07
346.0	5.0052e-07
346.2	4.811e-07
346.4	4.6242e-07
346.6	4.4447e-07
346.8	4.2722e-07
347.0	4.1064e-07
347.2	3.7268e-07
347.4	3.3384e-07
347.6	2.9906e-07
347.8	2.6789e-07
348.0	2.3998e-07
348.2	2.1497e-07
348.4	1.9257e-07
348.6	1.7251e-07
348.8	1.5453e-07
349.0	1.3843e-07
349.2	1.24e-07
349.4	1.1108e-07
349.6	9.9508e-08
349.8	8.9139e-08
350.0	7.9851e-08
350.2	7.153e-08
350.4	6.4077e-08
350.6	5.74e-08
350.8	5.1419e-08
351.0	4.6061e-08
351.2	4.1261e-08
351.4	3.6962e-08
351.6	3.311e-08
351.8	2.966e-08
352.0	2.657e-08
352.2	2.5993e-08
352.4	2.5874e-08
352.6	2.5757e-08
352.8	2.564e-08
353.0	2.5523e-08
353.2	2.5407e-08
353.4	2.5292e-08
353.6	2.5177e-08
353.8	2.5063e-08
354.0	2.4949e-08
354.2	2.4836e-08
354.4	2.4723e-08
354.6	2.461e-08
354.8	2.4499e-08
355.0	2.4387e-08
355.2	2.4276e-08
355.4	2.4166e-08
355.6	2.4056e-08
355.8	2.3947e-08
356.0	2.3838e-08
356.2	2.373e-08
356.4	2.3622e-08
356.6	2.3515e-08
356.8	2.3408e-08
357.0	2.3302e-08
357.2	2.5987e-08
357.4	2.9639e-08
357.6	3.3804e-08
357.8	3.8555e-08
358.0	4.3973e-08
358.2	5.0153e-08
358.4	5.7202e-08
358.6	6.5241e-08
358.8	7.441e-08
359.0	8.4868e-08
359.2	9.6795e-08
359.4	1.104e-07
359.6	1.2591e-07
359.8	1.4361e-07
360.0	1.6379e-07
360.2	1.8681e-07
360.4	2.1307e-07
360.6	2.4301e-07
360.8	2.7717e-07
361.0	3.1612e-07
361.2	3.6055e-07
361.4	4.1122e-07
361.6	4.6901e-07
361.8	5.3492e-07
362.0	6.101e-07
362.2	6.0025e-07
362.4	5.7357e-07
362.6	5.4807e-07
362.8	5.237e-07
363.0	5.0042e-07
363.2	4.7817e-07
363.4	4.5691e-07
363.6	4.366e-07
363.8	4.1719e-07
364.0	3.9864e-07
364.2	3.8091e-07
364.4	3.6398e-07
364.6	3.478e-07
364.8	3.3233e-07
365.0	3.1756e-07
365.2	3.0344e-07
365.4	2.8995e-07
365.6	2.7706e-07
365.8	2.6474e-07
366.0	2.5297e-07
366.2	2.4173e-07
366.4	2.3098e-07
366.6	2.2071e-07
366.8	2.109e-07
367.0	2.0152e-07
367.2	2.0806e-07
367.4	2.1812e-07
367.6	2.2866e-07
367.8	2.3972e-07
368.0	2.5131e-07
368.2	2.6346e-07
368.4	2.762e-07
368.6	2.8955e-07
368.8	3.0356e-07
369.0	3.1823e-07
369.2	3.3362e-07
369.4	3.4975e-07
369.6	3.6666e-07
369.8	3.8439e-07
370.0	4.0298e-07
370.2	4.2246e-07
370.4	4.4289e-07
370.6	4.643e-07
370.8	4.8675e-07
371.0	5.1028e-07
371.2	5.3496e-07
371.4	5.6082e-07
371.6	5.8794e-07
371.8	6.1637e-07
372.0	6.4617e-07
372.2	6.6454e-07
372.4	6.8084e-07
372.6	6.9754e-07
372.8	7.1465e-07
373.0	7.3218e-07
373.2	7.5014e-07
373.4	7.6855e-07
373.6	7.874e-07
373.8	8.0671e-07
374.0	8.265e-07
374.2	8.4678e-07
374.4	8.6755e-07
374.6	8.8883e-07
374.8	9.1064e-07
375.0	9.3298e-07
375.2	9.5587e-07
375.4	9.7931e-07
375.6	1.0033e-06
375.8	1.028e-06
376.0	1.0532e-06
376.2	1.079e-06
376.4	1.1055e-06
376.6	1.1326e-06
376.8	1.1604e-06
377.0	1.1888e-06
377.2	1.2165e-06
377.4	1.2444e-06
377.6	1.273e-06
377.8	1.3023e-06
378.0	1.3322e-06
378.2	1.3628e-06
378.4	1.3942e-06
378.6	1.4262e-06
378.8	1.459e-06
379.0	1.4925e-06
379.2	1.5268e-06
379.4	1.5619e-06
379.6	1.5978e-06
379.8	1.6345e-06
380.0	1.6721e-06
380.2	1.7105e-06
380.4	1.7498e-06
380.6	1.79e-06
380.8	1.8311e-06
381.0	1.8732e-06
381.2	1.9163e-06
381.4	1.9603e-06
381.6	2.0053e-06
381.8	2.0514e-06
382.0	2.0986e-06
382.2	2.1468e-06
382.4	2.1961e-06
382.6	2.2466e-06
382.8	2.2858e-06
383.0	2.2673e-06
383.2	2.2488e-06
383.4	2.2305e-06
383.6	2.2124e-06
383.8	2.1944e-06
384.0	2.1765e-06
384.2	2.1588e-06
384.4	2.1413e-06
384.6	2.1238e-06
384.8	2.1066e-06
385.0	2.0894e-06
385.2	2.0724e-06
385.4	2.0556e-06
385.6	2.0388e-06
385.8	2.0223e-06
386.0	2.0058e-06
386.2	1.9895e-06
386.4	1.9949e-06
386.6	2.0288e-06
386.8	2.0632e-06
387.0	2.0982e-06
387.2	2.1338e-06
387.4	2.1701e-06
387.6	2.2069e-06
387.8	2.2444e-06
388.0	2.2825e-06
388.2	2.3212e-06
388.4	2.3607e-06
388.6	2.4007e-06
388.8	2.4415e-06
