Typical Measured Spectrum of Semrock FF01-515/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
341.0	1.0e-07
341.2	1.0e-07
341.4	1.0e-07
341.6	1.0e-07
341.8	1.0e-07
342.0	1.0e-07
342.2	1.0e-07
342.4	1.0e-07
342.6	1.0e-07
342.8	1.0e-07
343.0	1.0e-07
343.2	1.0e-07
343.4	1.0e-07
343.6	1.0e-07
343.8	1.0e-07
344.0	1.0e-07
344.2	1.0e-07
344.4	1.0e-07
344.6	1.0e-07
344.8	1.0e-07
345.0	1.0e-07
345.2	1.0e-07
345.4	1.0e-07
345.6	1.0e-07
345.8	1.0e-07
346.0	1.0e-07
346.2	1.0e-07
346.4	1.0e-07
346.6	1.0e-07
346.8	1.0e-07
347.0	1.0e-07
347.2	1.0e-07
347.4	1.0e-07
347.6	1.0e-07
347.8	1.0e-07
348.0	1.0e-07
348.2	1.0e-07
348.4	1.0e-07
348.6	1.0e-07
348.8	1.0e-07
349.0	1.0e-07
349.2	1.0e-07
349.4	1.0e-07
349.6	1.0e-07
349.8	1.0e-07
350.0	1.0e-07
350.2	1.0e-07
350.4	1.0e-07
350.6	1.0e-07
350.8	1.0e-07
351.0	1.0e-07
351.2	1.0e-07
351.4	1.0e-07
351.6	1.0e-07
351.8	1.0e-07
352.0	1.0e-07
352.2	1.0e-07
352.4	1.0e-07
352.6	1.0e-07
352.8	1.0e-07
353.0	1.0e-07
353.2	1.0e-07
353.4	1.0e-07
353.6	1.0e-07
353.8	1.0e-07
354.0	1.0e-07
354.2	1.0e-07
354.4	1.0e-07
354.6	1.0e-07
354.8	1.0e-07
355.0	1.0e-07
355.2	1.0e-07
355.4	1.0e-07
355.6	1.0e-07
355.8	1.0e-07
356.0	1.0e-07
356.2	1.0e-07
356.4	1.0e-07
356.6	1.0e-07
356.8	1.0e-07
357.0	1.0e-07
357.2	1.0e-07
357.4	1.0e-07
357.6	1.0e-07
357.8	1.0e-07
358.0	1.0e-07
358.2	1.0e-07
358.4	1.0e-07
358.6	1.0e-07
358.8	1.0e-07
359.0	1.0e-07
359.2	1.0e-07
359.4	1.0e-07
359.6	1.0e-07
359.8	1.0e-07
360.0	1.0e-07
360.2	1.0e-07
360.4	1.0e-07
360.6	1.0e-07
360.8	1.0e-07
361.0	1.0e-07
361.2	1.0e-07
361.4	1.0e-07
361.6	1.0e-07
361.8	1.0e-07
362.0	1.0e-07
362.2	1.0e-07
362.4	1.0e-07
362.6	1.0e-07
362.8	1.0e-07
363.0	1.0e-07
363.2	1.0e-07
363.4	1.0e-07
363.6	1.0e-07
363.8	1.0e-07
364.0	1.0e-07
364.2	1.0e-07
364.4	1.0e-07
364.6	1.0e-07
364.8	1.0e-07
365.0	1.0e-07
365.2	1.0e-07
365.4	1.0e-07
365.6	1.0e-07
365.8	1.0e-07
366.0	1.0e-07
366.2	1.0e-07
366.4	1.0e-07
366.6	1.0e-07
366.8	1.0e-07
367.0	1.0e-07
367.2	1.0e-07
367.4	1.0e-07
367.6	1.0e-07
367.8	1.0e-07
368.0	1.0e-07
368.2	1.0e-07
368.4	1.0e-07
368.6	1.0e-07
368.8	1.0e-07
369.0	1.0e-07
369.2	1.0e-07
369.4	1.0e-07
369.6	1.0e-07
369.8	1.0e-07
370.0	1.0e-07
370.2	1.0e-07
370.4	1.0e-07
370.6	1.0e-07
370.8	1.0e-07
371.0	1.0e-07
371.2	1.0e-07
371.4	1.0e-07
371.6	1.0e-07
371.8	1.0e-07
372.0	1.0e-07
372.2	1.0e-07
372.4	1.0e-07
372.6	1.0e-07
372.8	1.0e-07
373.0	1.0e-07
373.2	1.0e-07
373.4	1.0e-07
373.6	1.0e-07
373.8	1.0e-07
374.0	1.0e-07
374.2	1.0e-07
374.4	1.0e-07
374.6	1.0e-07
374.8	1.0e-07
375.0	1.0e-07
375.2	1.0e-07
375.4	1.0e-07
375.6	1.0e-07
375.8	1.0e-07
376.0	1.0e-07
376.2	1.0e-07
376.4	1.0e-07
376.6	1.0e-07
376.8	1.0e-07
377.0	1.0e-07
377.2	1.0e-07
377.4	1.0e-07
377.6	1.0e-07
377.8	1.0e-07
378.0	1.0e-07
378.2	1.0e-07
378.4	1.0e-07
378.6	1.0e-07
378.8	1.0e-07
379.0	1.0e-07
379.2	1.0e-07
379.4	1.0e-07
379.6	1.0e-07
379.8	1.0e-07
380.0	1.0e-07
380.2	1.0e-07
380.4	1.0e-07
380.6	1.0e-07
380.8	1.0e-07
381.0	1.0e-07
381.2	1.0e-07
381.4	1.0e-07
381.6	1.0e-07
381.8	1.0e-07
382.0	1.0e-07
382.2	1.0e-07
382.4	1.0e-07
382.6	1.0e-07
382.8	1.0e-07
383.0	1.0e-07
383.2	1.0e-07
383.4	1.0e-07
383.6	1.0e-07
383.8	1.0e-07
384.0	1.0e-07
384.2	1.0e-07
384.4	1.0e-07
384.6	1.0e-07
384.8	1.0e-07
385.0	1.0e-07
385.2	1.0e-07
385.4	1.0e-07
385.6	1.0e-07
385.8	1.0e-07
386.0	1.0e-07
386.2	1.0e-07
386.4	1.0e-07
386.6	1.0e-07
386.8	1.0e-07
387.0	1.0e-07
387.2	1.0e-07
387.4	1.0e-07
387.6	1.0e-07
387.8	1.0e-07
388.0	1.0e-07
388.2	1.0e-07
388.4	1.0e-07
388.6	1.0e-07
388.8	1.0e-07
389.0	1.0e-07
389.2	1.0e-07
389.4	1.0e-07
389.6	1.0e-07
389.8	1.0e-07
390.0	1.0e-07
390.2	1.0e-07
390.4	1.0e-07
390.6	1.0e-07
390.8	1.0e-07
391.0	1.0e-07
391.2	1.0e-07
391.4	1.0e-07
391.6	1.0e-07
391.8	1.0e-07
392.0	1.0e-07
392.2	1.0e-07
392.4	1.0e-07
392.6	1.0e-07
392.8	1.0e-07
393.0	1.0e-07
393.2	1.0e-07
393.4	1.0e-07
393.6	1.0e-07
393.8	1.0e-07
394.0	1.0e-07
394.2	1.0e-07
394.4	1.0e-07
394.6	1.0e-07
394.8	1.0e-07
395.0	1.0e-07
395.2	1.0e-07
395.4	1.0e-07
395.6	1.0e-07
395.8	1.0e-07
396.0	1.0e-07
396.2	1.0e-07
396.4	1.0e-07
396.6	1.0e-07
396.8	1.0e-07
397.0	1.0e-07
397.2	1.0e-07
397.4	1.0e-07
397.6	1.0e-07
397.8	1.0e-07
398.0	1.0e-07
398.2	1.0e-07
398.4	1.0e-07
398.6	1.0e-07
398.8	1.0e-07
399.0	1.0e-07
399.2	1.0e-07
399.4	1.0e-07
399.6	1.0e-07
399.8	1.0e-07
400.0	1.0e-07
400.2	1.0e-07
400.4	1.0e-07
400.6	1.0e-07
400.8	1.0e-07
401.0	1.0e-07
401.2	1.0e-07
401.4	1.0e-07
401.6	1.0e-07
401.8	1.0e-07
402.0	1.0e-07
402.2	1.0e-07
402.4	1.0e-07
402.6	1.0e-07
402.8	1.0e-07
403.0	1.0e-07
403.2	1.0e-07
403.4	1.0e-07
403.6	1.0e-07
403.8	1.0e-07
404.0	1.0e-07
404.2	1.0e-07
404.4	1.0e-07
404.6	1.0e-07
404.8	1.0e-07
405.0	1.0e-07
405.2	1.0e-07
405.4	1.0e-07
405.6	1.0e-07
405.8	1.0e-07
406.0	1.0e-07
406.2	1.0e-07
406.4	1.0e-07
406.6	1.0e-07
406.8	1.0e-07
407.0	1.0e-07
407.2	1.0e-07
407.4	1.0e-07
407.6	1.0e-07
407.8	1.0e-07
408.0	1.0e-07
408.2	1.0e-07
408.4	1.0e-07
408.6	1.0e-07
408.8	1.0e-07
409.0	1.0e-07
409.2	1.0e-07
409.4	1.0e-07
409.6	1.0e-07
409.8	1.0e-07
410.0	1.0e-07
410.2	1.0e-07
410.4	1.0e-07
410.6	1.0e-07
410.8	1.0e-07
411.0	1.0e-07
411.2	1.0e-07
411.4	1.0e-07
411.6	1.0e-07
411.8	1.0e-07
412.0	1.0e-07
412.2	1.0e-07
412.4	1.0e-07
412.6	1.0e-07
412.8	1.0e-07
413.0	1.0e-07
413.2	1.0e-07
413.4	1.0e-07
413.6	1.0e-07
413.8	1.0e-07
414.0	1.0e-07
414.2	1.0e-07
414.4	1.0e-07
414.6	1.0e-07
414.8	1.0e-07
415.0	1.0e-07
415.2	1.0e-07
415.4	1.0e-07
415.6	1.0e-07
415.8	1.0e-07
416.0	1.0e-07
416.2	1.0e-07
416.4	1.0e-07
416.6	1.0e-07
416.8	1.0e-07
417.0	1.0e-07
417.2	1.0e-07
417.4	1.0e-07
417.6	1.0e-07
417.8	1.0e-07
418.0	1.0e-07
418.2	1.0e-07
418.4	1.0e-07
418.6	1.0e-07
418.8	1.0e-07
419.0	1.0e-07
419.2	1.0e-07
419.4	1.0e-07
419.6	1.0e-07
419.8	1.0e-07
420.0	1.0e-07
420.2	1.0e-07
420.4	1.0e-07
420.6	1.0e-07
420.8	1.0e-07
421.0	1.0e-07
421.2	1.0e-07
421.4	1.0e-07
421.6	1.0e-07
421.8	1.0e-07
422.0	1.0e-07
422.2	1.0e-07
422.4	1.0e-07
422.6	1.0e-07
422.8	1.0e-07
423.0	1.0e-07
423.2	1.0e-07
423.4	1.0e-07
423.6	1.0e-07
423.8	1.0e-07
424.0	1.0e-07
424.2	1.0e-07
424.4	1.0e-07
424.6	1.0e-07
424.8	1.0e-07
425.0	1.0e-07
425.2	1.0e-07
425.4	1.0e-07
425.6	1.0e-07
425.8	1.0e-07
426.0	1.0e-07
426.2	1.0e-07
426.4	1.0e-07
426.6	1.0e-07
426.8	1.0e-07
427.0	1.0e-07
427.2	1.0e-07
427.4	1.0e-07
427.6	1.0e-07
427.8	1.0e-07
428.0	1.0e-07
428.2	1.0e-07
428.4	1.0e-07
428.6	1.0e-07
428.8	1.0e-07
429.0	1.0e-07
429.2	1.0e-07
429.4	1.0e-07
429.6	1.0e-07
429.8	1.0e-07
430.0	1.0e-07
430.2	1.0e-07
430.4	1.0e-07
430.6	1.0e-07
430.8	1.0e-07
431.0	1.0e-07
431.2	1.0e-07
431.4	1.0e-07
431.6	1.0e-07
431.8	1.0e-07
432.0	1.0e-07
432.2	1.0e-07
432.4	1.0e-07
432.6	1.0e-07
432.8	1.0e-07
433.0	1.0e-07
433.2	1.0e-07
433.4	1.0e-07
433.6	1.0e-07
433.8	1.0e-07
434.0	1.0e-07
434.2	1.0e-07
434.4	1.0e-07
434.6	1.0e-07
434.8	1.0e-07
435.0	1.0e-07
435.2	1.0e-07
435.4	1.0e-07
435.6	1.0e-07
435.8	1.0e-07
436.0	1.0e-07
436.2	1.0e-07
436.4	1.0e-07
436.6	1.0e-07
436.8	1.0e-07
437.0	1.0e-07
437.2	1.0e-07
437.4	1.0e-07
437.6	1.0e-07
437.8	1.0e-07
438.0	1.0e-07
438.2	1.0e-07
438.4	1.0e-07
438.6	1.0e-07
438.8	1.0e-07
439.0	1.0e-07
439.2	1.0e-07
439.4	1.0e-07
439.6	1.0e-07
439.8	1.0e-07
440.0	1.0e-07
440.2	1.0e-07
440.4	1.0e-07
440.6	1.0e-07
440.8	1.0e-07
441.0	1.0e-07
441.2	1.0e-07
441.4	1.0e-07
441.6	1.0e-07
441.8	1.0e-07
442.0	1.0e-07
442.2	1.0e-07
442.4	1.0e-07
442.6	1.0e-07
442.8	1.0e-07
443.0	1.0e-07
443.2	1.0e-07
443.4	1.0e-07
443.6	1.0e-07
443.8	1.0e-07
444.0	1.0e-07
444.2	1.0e-07
444.4	1.0e-07
444.6	1.0e-07
444.8	1.0e-07
445.0	1.0e-07
445.2	1.0e-07
445.4	1.0e-07
445.6	1.0e-07
445.8	1.0e-07
446.0	1.0e-07
446.2	1.0e-07
446.4	1.0e-07
446.6	1.0e-07
446.8	1.0e-07
447.0	1.0e-07
447.2	1.0e-07
447.4	1.0e-07
447.6	1.0e-07
447.8	1.0e-07
448.0	1.0e-07
448.2	1.0e-07
448.4	1.0e-07
448.6	1.0e-07
448.8	1.0e-07
449.0	1.0e-07
449.2	1.0e-07
449.4	1.0e-07
449.6	1.0e-07
449.8	1.0e-07
450.0	1.0e-07
450.2	1.0e-07
450.4	1.0e-07
450.6	1.0e-07
450.8	1.0e-07
451.0	1.0e-07
451.2	1.0e-07
451.4	1.0e-07
451.6	1.0e-07
451.8	1.0e-07
452.0	1.0e-07
452.2	1.0e-07
452.4	1.0e-07
452.6	1.0e-07
452.8	1.0e-07
453.0	1.0e-07
453.2	1.0e-07
453.4	1.0e-07
453.6	1.0e-07
453.8	1.0e-07
454.0	1.0e-07
454.2	1.0e-07
454.4	1.0e-07
454.6	1.0e-07
454.8	1.0e-07
455.0	1.0e-07
455.2	1.0e-07
455.4	1.0e-07
455.6	1.0e-07
455.8	1.0e-07
456.0	1.0e-07
456.2	1.0e-07
456.4	1.0e-07
456.6	1.0e-07
456.8	1.0e-07
457.0	1.0e-07
457.2	1.0e-07
457.4	1.0e-07
457.6	1.0e-07
457.8	1.0e-07
458.0	1.0e-07
458.2	1.0e-07
458.4	1.0e-07
458.6	1.0e-07
458.8	1.0e-07
459.0	1.0e-07
459.2	1.0e-07
459.4	1.0e-07
459.6	1.0e-07
459.8	1.0e-07
460.0	1.0e-07
460.2	1.0e-07
460.4	1.0e-07
460.6	1.0e-07
460.8	1.0e-07
461.0	1.0e-07
461.2	1.0e-07
461.4	1.0e-07
461.6	1.0e-07
461.8	1.0e-07
462.0	1.0e-07
462.2	1.0e-07
462.4	1.0e-07
462.6	1.0e-07
462.8	1.0e-07
463.0	1.0e-07
463.2	1.0e-07
463.4	1.0e-07
463.6	1.0e-07
463.8	1.0e-07
464.0	1.0e-07
464.2	1.0e-07
464.4	1.0e-07
464.6	1.0e-07
464.8	1.0e-07
465.0	1.0e-07
465.2	1.0e-07
465.4	1.0e-07
465.6	1.0e-07
465.8	1.0e-07
466.0	1.0e-07
466.2	1.0e-07
466.4	1.0e-07
466.6	1.0e-07
466.8	1.0e-07
467.0	1.0e-07
467.2	1.0e-07
467.4	1.0e-07
467.6	1.0e-07
467.8	1.0e-07
468.0	1.0e-07
468.2	1.0e-07
468.4	1.0e-07
468.6	1.0e-07
468.8	1.0e-07
469.0	1.0e-07
469.2	1.0e-07
469.4	1.0e-07
469.6	1.0e-07
469.8	1.0e-07
470.0	1.0e-07
470.2	1.0e-07
470.4	1.0e-07
470.6	1.0e-07
470.8	1.0e-07
471.0	1.0e-07
471.2	1.0e-07
471.4	1.0e-07
471.6	1.0e-07
471.8	1.0e-07
472.0	1.0e-07
472.2	1.0e-07
472.4	1.0e-07
472.6	1.0e-07
472.8	1.0e-07
473.0	1.0e-07
473.2	1.0e-07
473.4	1.0e-07
473.6	1.0e-07
473.8	1.0e-07
474.0	1.0e-07
474.2	1.0e-07
474.4	1.0e-07
474.6	1.0e-07
474.8	1.0e-07
475.0	1.0e-07
