X111	X112	X121	X122	X211	X212	X221	X222	E111	E112	E121	E122	E211	E212	E221	E222	EX1	DIC1	EM1	EX2	DIC2	EM2
1.000000	0.747948	0.000000	0.252052	0.993911	0.000094	0.006089	0.999906	9.189198	0.469197	0.000002	0.158115	0.025527	0.001303	0.000156	13.815580	0	0	1	0	0	0
1.000000	0.748005	0.000000	0.251995	0.993493	0.000094	0.006507	0.999906	9.242490	0.474493	0.000002	0.159852	0.025389	0.001303	0.000166	13.815580	0	1	0	0	0	0
1.000000	0.747911	0.000000	0.252089	0.992855	0.000094	0.007145	0.999906	8.880569	0.469285	0.000002	0.158176	0.024665	0.001303	0.000177	13.815580	0	2	0	0	0	0
1.000000	0.748105	0.000000	0.251895	0.994549	0.000094	0.005451	0.999906	10.236603	0.466931	0.000002	0.157221	0.028575	0.001303	0.000157	13.815580	0	3	0	0	0	0
1.000000	0.747932	0.000000	0.252068	0.992810	0.000094	0.007190	0.999906	9.121371	0.470607	0.000002	0.158604	0.025263	0.001303	0.000183	13.815580	0	4	0	0	0	0
1.000000	0.747979	0.000000	0.252021	0.994594	0.000094	0.005406	0.999906	10.973574	0.469545	0.000002	0.158206	0.030462	0.001303	0.000166	13.815580	0	5	0	0	0	0
1.000000	0.747965	0.000000	0.252035	0.993103	0.000094	0.006897	0.999906	9.212649	0.470154	0.000002	0.158423	0.025540	0.001303	0.000177	13.815580	0	6	0	0	0	0
1.000000	0.748140	0.000000	0.251860	0.994448	0.000094	0.005552	0.999906	10.624305	0.467546	0.000002	0.157399	0.029618	0.001303	0.000165	13.815580	0	7	0	0	0	0
1.000000	0.747979	0.000000	0.252021	0.994594	0.000094	0.005406	0.999906	10.973574	0.469545	0.000002	0.158206	0.030462	0.001303	0.000166	13.815580	0	8	0	0	0	0
1.000000	0.747949	0.000000	0.252051	0.994550	0.000094	0.005450	0.999906	10.575708	0.461907	0.000002	0.155658	0.029843	0.001303	0.000164	13.815580	0	9	0	0	0	0
1.000000	0.747983	0.000000	0.252017	0.994216	0.000094	0.005784	0.999906	8.353928	0.469212	0.000002	0.158091	0.023206	0.001303	0.000135	13.815580	0	10	0	0	0	0
1.000000	0.748049	0.000000	0.251951	0.995862	0.000094	0.004138	0.999906	10.809142	0.471497	0.000001	0.158805	0.029881	0.001303	0.000124	13.815580	0	11	0	0	0	0
1.000000	0.748049	0.000000	0.251951	0.995862	0.000094	0.004138	0.999906	10.809142	0.471497	0.000001	0.158805	0.029881	0.001303	0.000124	13.815580	0	12	0	0	0	0
1.000000	0.748059	0.000000	0.251941	0.993911	0.000094	0.006089	0.999906	9.189198	0.464998	0.000002	0.156609	0.025408	0.001286	0.000156	13.618932	0	0	0	0	1	0
1.000000	0.748115	0.000000	0.251885	0.993493	0.000094	0.006507	0.999906	9.242490	0.470247	0.000002	0.158328	0.025270	0.001286	0.000166	13.618932	0	1	0	0	1	0
1.000000	0.748021	0.000000	0.251979	0.992856	0.000094	0.007144	0.999906	8.880569	0.465086	0.000002	0.156669	0.024550	0.001286	0.000177	13.618932	0	2	0	0	1	0
1.000000	0.748215	0.000000	0.251785	0.994549	0.000094	0.005451	0.999906	10.236603	0.462753	0.000002	0.155723	0.028441	0.001286	0.000156	13.618932	0	3	0	0	1	0
1.000000	0.748042	0.000000	0.251958	0.992810	0.000094	0.007190	0.999906	9.121371	0.466396	0.000002	0.157093	0.025145	0.001286	0.000182	13.618932	0	4	0	0	1	0
1.000000	0.748089	0.000000	0.251911	0.994595	0.000094	0.005405	0.999906	10.973574	0.465343	0.000002	0.156699	0.030319	0.001286	0.000165	13.618932	0	5	0	0	1	0
1.000000	0.748075	0.000000	0.251925	0.993104	0.000094	0.006896	0.999906	9.212649	0.465946	0.000002	0.156914	0.025421	0.001286	0.000177	13.618932	0	6	0	0	1	0
1.000000	0.748250	0.000000	0.251750	0.994449	0.000094	0.005551	0.999906	10.624305	0.463362	0.000002	0.155899	0.029479	0.001286	0.000165	13.618932	0	7	0	0	1	0
1.000000	0.748089	0.000000	0.251911	0.994595	0.000094	0.005405	0.999906	10.973574	0.465343	0.000002	0.156699	0.030319	0.001286	0.000165	13.618932	0	8	0	0	1	0
1.000000	0.748059	0.000000	0.251941	0.994550	0.000094	0.005450	0.999906	10.575708	0.457774	0.000002	0.154175	0.029703	0.001286	0.000163	13.618932	0	9	0	0	1	0
1.000000	0.748093	0.000000	0.251907	0.994217	0.000094	0.005783	0.999906	8.353928	0.465013	0.000002	0.156585	0.023097	0.001286	0.000134	13.618932	0	10	0	0	1	0
1.000000	0.748160	0.000000	0.251840	0.995862	0.000094	0.004138	0.999906	10.809142	0.467277	0.000001	0.157292	0.029741	0.001286	0.000124	13.618932	0	11	0	0	1	0
1.000000	0.748160	0.000000	0.251840	0.995862	0.000094	0.004138	0.999906	10.809142	0.467277	0.000001	0.157292	0.029741	0.001286	0.000124	13.618932	0	12	0	0	1	0
1.000000	0.748236	0.000000	0.251764	0.993911	0.000094	0.006089	0.999906	9.189198	0.477606	0.000002	0.160703	0.025326	0.001316	0.000155	13.929435	0	0	0	0	2	0
1.000000	0.748293	0.000000	0.251707	0.993493	0.000094	0.006507	0.999906	9.242490	0.482997	0.000002	0.162468	0.025188	0.001316	0.000165	13.929435	0	1	0	0	2	0
1.000000	0.748198	0.000000	0.251802	0.992856	0.000094	0.007144	0.999906	8.880569	0.477696	0.000002	0.160766	0.024471	0.001316	0.000176	13.929435	0	2	0	0	2	0
1.000000	0.748392	0.000000	0.251608	0.994549	0.000094	0.005451	0.999906	10.236603	0.475300	0.000002	0.159795	0.028349	0.001316	0.000155	13.929435	0	3	0	0	2	0
1.000000	0.748220	0.000000	0.251780	0.992810	0.000094	0.007190	0.999906	9.121371	0.479041	0.000002	0.161200	0.025064	0.001316	0.000182	13.929435	0	4	0	0	2	0
1.000000	0.748267	0.000000	0.251733	0.994595	0.000094	0.005405	0.999906	10.973574	0.477960	0.000002	0.160796	0.030221	0.001316	0.000164	13.929435	0	5	0	0	2	0
1.000000	0.748253	0.000000	0.251747	0.993104	0.000094	0.006896	0.999906	9.212649	0.478580	0.000002	0.161017	0.025339	0.001316	0.000176	13.929435	0	6	0	0	2	0
1.000000	0.748427	0.000000	0.251573	0.994449	0.000094	0.005551	0.999906	10.624305	0.475926	0.000002	0.159975	0.029384	0.001316	0.000164	13.929435	0	7	0	0	2	0
