X111	X112	X121	X122	X211	X212	X221	X222	E111	E112	E121	E122	E211	E212	E221	E222	EX1	DIC1	EM1	EX2	DIC2	EM2
0.983969	0.983969	0.016031	0.016031	0.001669	0.001669	0.998331	0.998331	15.607960	15.607960	0.254283	0.254283	0.019897	0.019897	11.902574	11.902574	1	0	0	0	0	0
0.981922	0.983969	0.018078	0.016031	0.001477	0.001669	0.998523	0.998331	14.263656	15.607960	0.262612	0.254283	0.018184	0.019897	12.292450	11.902574	0	0	1	0	0	0
0.983663	0.983969	0.016337	0.016031	0.001637	0.001669	0.998363	0.998331	15.314466	15.607960	0.254340	0.254283	0.019523	0.019897	11.905255	11.902574	0	0	2	0	0	0
0.982975	0.983969	0.017025	0.016031	0.001570	0.001669	0.998430	0.998331	15.104238	15.607960	0.261599	0.254283	0.019255	0.019897	12.245021	11.902574	0	0	3	0	0	0
0.989637	0.983969	0.010363	0.016031	0.002594	0.001669	0.997406	0.998331	20.843400	15.607960	0.218260	0.254283	0.026572	0.019897	10.216393	11.902574	0	0	4	0	0	0
0.985653	0.983969	0.014347	0.016031	0.001868	0.001669	0.998132	0.998331	22.107255	15.607960	0.321788	0.254283	0.028183	0.019897	15.062372	11.902574	0	0	5	0	0	0
0.929168	0.983969	0.070832	0.016031	0.000357	0.001669	0.999643	0.998331	0.000388	15.607960	0.000030	0.254283	0.000000	0.019897	0.001384	11.902574	0	0	6	0	0	0
1.000000	0.983969	0.000000	0.016031	0.994594	0.001669	0.005406	0.998331	25.134895	15.607960	0.000004	0.254283	0.032042	0.019897	0.000174	11.902574	0	0	7	0	0	0
0.776952	0.983969	0.223048	0.016031	0.000095	0.001669	0.999905	0.998331	1.170035	15.607960	0.335895	0.254283	0.001492	0.019897	15.722675	11.902574	0	0	8	0	0	0
1.000000	0.983969	0.000000	0.016031	0.999182	0.001669	0.000818	0.998331	21.003462	15.607960	0.000000	0.254283	0.026776	0.019897	0.000022	11.902574	0	0	9	0	0	0
0.753665	0.983969	0.246335	0.016031	0.000083	0.001669	0.999917	0.998331	0.730689	15.607960	0.238825	0.254283	0.000931	0.019897	11.178995	11.902574	0	0	10	0	0	0
0.937920	0.983969	0.062080	0.016031	0.000411	0.001669	0.999589	0.998331	0.000479	15.607960	0.000032	0.254283	0.000001	0.019897	0.001483	11.902574	0	0	11	0	0	0
1.000000	0.983969	0.000000	0.016031	0.990061	0.001669	0.009939	0.998331	14.324270	15.607960	0.000004	0.254283	0.018261	0.019897	0.000183	11.902574	0	0	12	0	0	0
0.769850	0.983969	0.230150	0.016031	0.000091	0.001669	0.999909	0.998331	1.097756	15.607960	0.328179	0.254283	0.001399	0.019897	15.361513	11.902574	0	0	13	0	0	0
0.984770	0.983969	0.015230	0.016031	0.001758	0.001669	0.998242	0.998331	21.621185	15.607960	0.334382	0.254283	0.027563	0.019897	15.651848	11.902574	0	0	14	0	0	0
0.989698	0.983969	0.010302	0.016031	0.002609	0.001669	0.997391	0.998331	21.938278	15.607960	0.228369	0.254283	0.027967	0.019897	10.689586	11.902574	0	0	15	0	0	0
0.985858	0.983969	0.014142	0.016031	0.001895	0.001669	0.998105	0.998331	15.374403	15.607960	0.220550	0.254283	0.019600	0.019897	10.323564	11.902574	0	0	16	0	0	0
1.000000	0.983969	0.000000	0.016031	0.991264	0.001669	0.008736	0.998331	16.316517	15.607960	0.000004	0.254283	0.020801	0.019897	0.000183	11.902574	0	0	17	0	0	0
1.000000	0.983969	0.000000	0.016031	0.991703	0.001669	0.008297	0.998331	17.187129	15.607960	0.000004	0.254283	0.021910	0.019897	0.000183	11.902574	0	0	18	0	0	0
0.817568	0.983969	0.182432	0.016031	0.000122	0.001669	0.999878	0.998331	0.833430	15.607960	0.185971	0.254283	0.001062	0.019897	8.705010	11.902574	0	0	19	0	0	0
0.785454	0.983969	0.214546	0.016031	0.000100	0.001669	0.999900	0.998331	1.057340	15.607960	0.288812	0.254283	0.001348	0.019897	13.518815	11.902574	0	0	20	0	0	0
0.084372	0.983969	0.915628	0.016031	0.000003	0.001669	0.999997	0.998331	0.000683	15.607960	0.007407	0.254283	0.000001	0.019897	0.346703	11.902574	0	0	21	0	0	0
0.084372	0.983969	0.915628	0.016031	0.000003	0.001669	0.999997	0.998331	0.000683	15.607960	0.007407	0.254283	0.000001	0.019897	0.346703	11.902574	0	0	22	0	0	0
0.983969	0.981922	0.016031	0.018078	0.001669	0.001477	0.998331	0.998523	15.607960	14.263656	0.254283	0.262612	0.019897	0.018184	11.902574	12.292450	0	0	0	0	0	1
0.981922	0.981922	0.018078	0.018078	0.001477	0.001477	0.998523	0.998523	14.263656	14.263656	0.262612	0.262612	0.018184	0.018184	12.292450	12.292450	0	0	1	0	0	1
0.983663	0.981922	0.016337	0.018078	0.001637	0.001477	0.998363	0.998523	15.314466	14.263656	0.254340	0.262612	0.019523	0.018184	11.905255	12.292450	0	0	2	0	0	1
0.982975	0.981922	0.017025	0.018078	0.001570	0.001477	0.998430	0.998523	15.104238	14.263656	0.261599	0.262612	0.019255	0.018184	12.245021	12.292450	0	0	3	0	0	1
0.989637	0.981922	0.010363	0.018078	0.002594	0.001477	0.997406	0.998523	20.843400	14.263656	0.218260	0.262612	0.026572	0.018184	10.216393	12.292450	0	0	4	0	0	1
0.985653	0.981922	0.014347	0.018078	0.001868	0.001477	0.998132	0.998523	22.107255	14.263656	0.321788	0.262612	0.028183	0.018184	15.062372	12.292450	0	0	5	0	0	1
0.929168	0.981922	0.070832	0.018078	0.000357	0.001477	0.999643	0.998523	0.000388	14.263656	0.000030	0.262612	0.000000	0.018184	0.001384	12.292450	0	0	6	0	0	1
1.000000	0.981922	0.000000	0.018078	0.994594	0.001477	0.005406	0.998523	25.134895	14.263656	0.000004	0.262612	0.032042	0.018184	0.000174	12.292450	0	0	7	0	0	1
0.776952	0.981922	0.223048	0.018078	0.000095	0.001477	0.999905	0.998523	1.170035	14.263656	0.335895	0.262612	0.001492	0.018184	15.722675	12.292450	0	0	8	0	0	1
1.000000	0.981922	0.000000	0.018078	0.999182	0.001477	0.000818	0.998523	21.003462	14.263656	0.000000	0.262612	0.026776	0.018184	0.000022	12.292450	0	0	9	0	0	1
0.753665	0.981922	0.246335	0.018078	0.000083	0.001477	0.999917	0.998523	0.730689	14.263656	0.238825	0.262612	0.000931	0.018184	11.178995	12.292450	0	0	10	0	0	1
0.937920	0.981922	0.062080	0.018078	0.000411	0.001477	0.999589	0.998523	0.000479	14.263656	0.000032	0.262612	0.000001	0.018184	0.001483	12.292450	0	0	11	0	0	1
