Typical Measured Spectrum of Semrock BLP01-647R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
265,0	7,223e-05
265,2	6,9036e-05
265,4	6,5984e-05
265,6	6,3066e-05
265,8	6,0277e-05
266,0	5,7612e-05
266,2	5,5064e-05
266,4	5,263e-05
266,6	5,0302e-05
266,8	4,8078e-05
267,0	4,5952e-05
267,2	4,5563e-05
267,4	4,5568e-05
267,6	4,5573e-05
267,8	4,5578e-05
268,0	4,5582e-05
268,2	4,5587e-05
268,4	4,5592e-05
268,6	4,5597e-05
268,8	4,5602e-05
269,0	4,5607e-05
269,2	4,5612e-05
269,4	4,5616e-05
269,6	4,5621e-05
269,8	4,5626e-05
270,0	4,5631e-05
270,2	4,5636e-05
270,4	4,5641e-05
270,6	4,5646e-05
270,8	4,5513e-05
271,0	4,4389e-05
271,2	4,3293e-05
271,4	4,2224e-05
271,6	4,1181e-05
271,8	4,0164e-05
272,0	3,9173e-05
272,2	3,8205e-05
272,4	3,7262e-05
272,6	3,6342e-05
272,8	3,5444e-05
273,0	3,4569e-05
273,2	3,3715e-05
273,4	3,2883e-05
273,6	3,2071e-05
273,8	3,1279e-05
274,0	3,0507e-05
274,2	2,9753e-05
274,4	2,9019e-05
274,6	1,8919e-05
274,8	7,3098e-06
275,0	2,8244e-06
275,2	1,4121e-06
275,4	7,0604e-07
275,6	5,0047e-07
275,8	6,1957e-07
276,0	7,67e-07
276,2	9,4953e-07
276,4	1,1755e-06
276,6	1,4552e-06
276,8	1,8015e-06
277,0	2,2302e-06
277,2	2,7609e-06
277,4	3,4179e-06
277,6	4,2313e-06
277,8	5,2382e-06
278,0	6,4847e-06
278,2	8,0279e-06
278,4	9,9382e-06
278,6	1,2303e-05
278,8	1,5231e-05
279,0	1,8855e-05
279,2	2,3342e-05
279,4	2,4701e-05
279,6	2,4478e-05
279,8	2,4257e-05
280,0	2,4038e-05
280,2	2,382e-05
280,4	2,3605e-05
280,6	2,3392e-05
280,8	2,3181e-05
281,0	2,2971e-05
281,2	2,2763e-05
281,4	2,2558e-05
281,6	2,2354e-05
281,8	2,2152e-05
282,0	2,1952e-05
282,2	2,1754e-05
282,4	2,1557e-05
282,6	2,1362e-05
282,8	2,1169e-05
283,0	2,0869e-05
283,2	1,7385e-05
283,4	1,4483e-05
283,6	1,2065e-05
283,8	1,0051e-05
284,0	8,3729e-06
284,2	6,9751e-06
284,4	5,8107e-06
284,6	4,8406e-06
284,8	4,0325e-06
285,0	3,3593e-06
285,2	1,1745e-06
285,4	4,1063e-07
285,6	2,5508e-07
285,8	3,1113e-07
286,0	3,795e-07
286,2	4,6289e-07
286,4	5,6461e-07
286,6	6,8868e-07
286,8	8,4001e-07
287,0	1,0246e-06
287,2	1,2497e-06
287,4	1,5244e-06
287,6	1,8593e-06
287,8	2,2679e-06
288,0	2,7663e-06
288,2	3,3742e-06
288,4	4,1156e-06
288,6	5,02e-06
288,8	6,1231e-06
289,0	7,4686e-06
289,2	9,1098e-06
289,4	9,2763e-06
289,6	9,0032e-06
289,8	8,7382e-06
290,0	8,481e-06
290,2	8,2313e-06
290,4	7,989e-06
290,6	7,7539e-06
290,8	7,5256e-06
291,0	7,3041e-06
291,2	7,0891e-06
291,4	6,8804e-06
291,6	6,6779e-06
291,8	6,4813e-06
292,0	6,2905e-06
292,2	6,1054e-06
292,4	5,9257e-06
292,6	5,7512e-06
292,8	5,5819e-06
293,0	5,3746e-06
293,2	4,9058e-06
293,4	4,4779e-06
293,6	4,0874e-06
293,8	3,7309e-06
294,0	3,4055e-06
294,2	3,1084e-06
294,4	2,8373e-06
294,6	2,5898e-06
294,8	2,364e-06
295,0	2,1578e-06
295,2	2,1607e-06
295,4	2,1636e-06
295,6	2,1665e-06
295,8	2,1694e-06
296,0	2,1723e-06
296,2	2,1753e-06
296,4	2,1782e-06
296,6	2,1811e-06
296,8	2,1841e-06
297,0	2,187e-06
297,2	2,19e-06
297,4	2,1929e-06
297,6	2,1959e-06
297,8	2,1988e-06
298,0	2,2045e-06
298,2	2,2698e-06
298,4	2,337e-06
298,6	2,4062e-06
298,8	2,4774e-06
299,0	2,5508e-06
299,2	2,6263e-06
299,4	2,7041e-06
299,6	2,7841e-06
299,8	2,8665e-06
300,0	2,9514e-06
300,2	3,0388e-06
300,4	3,1288e-06
300,6	3,2214e-06
300,8	3,3168e-06
301,0	3,415e-06
301,2	3,5161e-06
301,4	3,6202e-06
301,6	3,7274e-06
301,8	3,8808e-06
302,0	4,1118e-06
302,2	4,3566e-06
302,4	4,6159e-06
302,6	4,8907e-06
302,8	5,1818e-06
303,0	5,4902e-06
303,2	5,817e-06
303,4	6,1633e-06
303,6	6,5302e-06
303,8	6,9189e-06
304,0	7,3307e-06
304,2	7,7671e-06
304,4	8,2294e-06
304,6	8,7193e-06
304,8	9,2383e-06
305,0	9,7882e-06
305,2	1,1537e-05
305,4	1,3599e-05
305,6	1,5325e-05
305,8	1,4925e-05
306,0	1,4535e-05
306,2	1,4156e-05
306,4	1,3786e-05
306,6	1,3426e-05
306,8	1,3076e-05
307,0	1,2734e-05
307,2	1,2402e-05
307,4	1,2078e-05
307,6	1,1762e-05
307,8	1,1455e-05
308,0	1,1156e-05
308,2	1,0865e-05
308,4	1,0581e-05
308,6	1,0305e-05
308,8	1,0035e-05
309,0	9,7734e-06
309,2	9,5182e-06
309,4	9,3299e-06
309,6	9,192e-06
309,8	9,0562e-06
310,0	8,9223e-06
310,2	8,7904e-06
310,4	8,6605e-06
310,6	8,5325e-06
310,8	8,4064e-06
311,0	8,2822e-06
311,2	8,1598e-06
311,4	8,0392e-06
311,6	7,9204e-06
311,8	7,8033e-06
312,0	7,688e-06
312,2	7,5744e-06
312,4	7,4624e-06
312,6	7,3521e-06
312,8	7,2435e-06
313,0	7,1364e-06
313,2	7,0318e-06
313,4	6,9288e-06
313,6	6,8273e-06
313,8	6,7272e-06
314,0	6,6287e-06
314,2	6,5316e-06
314,4	6,4359e-06
314,6	6,3416e-06
314,8	6,2487e-06
315,0	6,1571e-06
315,2	6,0669e-06
315,4	5,978e-06
315,6	5,8905e-06
315,8	5,8042e-06
316,0	5,7191e-06
316,2	5,6353e-06
316,4	5,5528e-06
316,6	5,4714e-06
316,8	5,3811e-06
317,0	5,2609e-06
317,2	5,1433e-06
317,4	5,0284e-06
317,6	4,9161e-06
317,8	4,8062e-06
318,0	4,6988e-06
318,2	4,5938e-06
318,4	4,4912e-06
318,6	4,3908e-06
318,8	4,2927e-06
319,0	4,1968e-06
319,2	4,103e-06
319,4	4,0113e-06
319,6	3,9217e-06
319,8	3,8341e-06
320,0	3,7484e-06
320,2	3,6647e-06
320,4	3,5828e-06
320,6	3,5115e-06
320,8	3,4478e-06
321,0	3,3851e-06
321,2	3,3237e-06
321,4	3,2633e-06
321,6	3,204e-06
321,8	3,1458e-06
322,0	3,0887e-06
322,2	3,0326e-06
322,4	2,9775e-06
322,6	2,9234e-06
322,8	2,8704e-06
323,0	2,8182e-06
323,2	2,767e-06
323,4	2,7168e-06
323,6	2,6674e-06
323,8	2,619e-06
324,0	2,5714e-06
324,2	2,5247e-06
324,4	2,5943e-06
324,6	2,6721e-06
324,8	2,7523e-06
325,0	2,835e-06
325,2	2,92e-06
325,4	3,0077e-06
325,6	3,098e-06
325,8	3,191e-06
326,0	3,2867e-06
326,2	3,3854e-06
326,4	3,487e-06
326,6	3,5917e-06
326,8	3,6995e-06
327,0	3,8105e-06
327,2	3,9249e-06
327,4	4,0427e-06
327,6	4,164e-06
327,8	4,289e-06
328,0	4,3079e-06
328,2	4,1015e-06
328,4	3,905e-06
328,6	3,7179e-06
328,8	3,5398e-06
329,0	3,3702e-06
329,2	3,2088e-06
329,4	3,055e-06
329,6	2,9087e-06
329,8	2,7693e-06
330,0	2,6366e-06
330,2	2,5103e-06
330,4	2,3901e-06
330,6	2,2755e-06
330,8	2,1665e-06
331,0	2,0627e-06
331,2	1,9639e-06
331,4	1,8698e-06
331,6	1,7802e-06
331,8	1,8158e-06
332,0	1,9088e-06
332,2	2,0067e-06
332,4	2,1095e-06
332,6	2,2177e-06
332,8	2,3313e-06
333,0	2,4508e-06
333,2	2,5764e-06
333,4	2,7085e-06
333,6	2,8473e-06
333,8	2,9933e-06
334,0	3,1467e-06
334,2	3,308e-06
334,4	3,4775e-06
334,6	3,6558e-06
334,8	3,8432e-06
335,0	4,0401e-06
335,2	4,6437e-06
335,4	5,3373e-06
335,6	5,9005e-06
335,8	5,8394e-06
336,0	5,7789e-06
336,2	5,719e-06
336,4	5,6597e-06
336,6	5,601e-06
336,8	5,543e-06
337,0	5,4856e-06
337,2	5,4287e-06
337,4	5,3725e-06
337,6	5,3168e-06
337,8	5,2617e-06
338,0	5,2071e-06
338,2	5,1532e-06
338,4	5,0998e-06
338,6	5,0469e-06
338,8	4,9946e-06
339,0	4,9429e-06
339,2	4,8916e-06
339,4	4,8566e-06
339,6	4,8314e-06
339,8	4,8063e-06
340,0	4,7813e-06
340,2	4,7565e-06
340,4	4,7318e-06
340,6	4,7072e-06
340,8	4,6827e-06
341,0	4,6584e-06
341,2	4,6342e-06
341,4	4,6101e-06
341,6	4,5862e-06
341,8	4,5624e-06
342,0	4,5387e-06
342,2	4,5151e-06
342,4	4,4916e-06
342,6	4,4683e-06
342,8	4,4451e-06
343,0	4,422e-06
343,2	4,3415e-06
343,4	4,2616e-06
343,6	4,1832e-06
343,8	4,1062e-06
344,0	4,0306e-06
344,2	3,9564e-06
344,4	3,8836e-06
344,6	3,8121e-06
344,8	3,742e-06
345,0	3,6731e-06
345,2	3,6055e-06
345,4	3,5392e-06
345,6	3,474e-06
345,8	3,4101e-06
346,0	3,3473e-06
346,2	3,2857e-06
346,4	3,2253e-06
346,6	3,1659e-06
346,8	3,1437e-06
347,0	3,185e-06
347,2	3,2269e-06
347,4	3,2693e-06
347,6	3,3123e-06
347,8	3,3558e-06
348,0	3,3999e-06
348,2	3,4445e-06
348,4	3,4898e-06
348,6	3,5357e-06
348,8	3,5821e-06
349,0	3,6292e-06
349,2	3,6769e-06
349,4	3,7252e-06
349,6	3,7741e-06
349,8	3,8237e-06
350,0	3,874e-06
350,2	3,9249e-06
350,4	3,9764e-06
350,6	3,9422e-06
350,8	3,8793e-06
351,0	3,8174e-06
351,2	3,7564e-06
351,4	3,6965e-06
351,6	3,6375e-06
351,8	3,5795e-06
352,0	3,5223e-06
352,2	3,4661e-06
352,4	3,4108e-06
352,6	3,3564e-06
352,8	3,3028e-06
353,0	3,2501e-06
353,2	3,1983e-06
353,4	3,1472e-06
353,6	3,097e-06
353,8	3,0476e-06
354,0	2,999e-06
354,2	2,9587e-06
354,4	2,9652e-06
354,6	2,9718e-06
354,8	2,9784e-06
355,0	2,9851e-06
355,2	2,9917e-06
355,4	2,9984e-06
355,6	3,005e-06
355,8	3,0117e-06
356,0	3,0184e-06
356,2	3,0251e-06
356,4	3,0318e-06
356,6	3,0386e-06
356,8	3,0453e-06
357,0	3,0521e-06
357,2	3,0589e-06
357,4	3,0657e-06
357,6	3,0725e-06
357,8	3,0794e-06
358,0	3,1185e-06
358,2	3,1863e-06
358,4	3,2555e-06
358,6	3,3263e-06
358,8	3,3985e-06
359,0	3,4724e-06
359,2	3,5479e-06
359,4	3,625e-06
359,6	3,7037e-06
359,8	3,7842e-06
360,0	3,8665e-06
360,2	3,9505e-06
360,4	4,0363e-06
360,6	4,1241e-06
360,8	4,2137e-06
361,0	4,3053e-06
361,2	4,3988e-06
361,4	4,4944e-06
361,6	4,5921e-06
361,8	4,8221e-06
362,0	5,0717e-06
362,2	5,3342e-06
362,4	5,6103e-06
362,6	5,9007e-06
362,8	6,2061e-06
363,0	6,5273e-06
363,2	6,8652e-06
363,4	7,2205e-06
363,6	7,5943e-06
363,8	7,9874e-06
364,0	8,4008e-06
364,2	8,8356e-06
364,4	9,293e-06
364,6	9,774e-06
364,8	1,028e-05
365,0	1,0812e-05
365,2	1,0853e-05
365,4	1,0894e-05
365,6	1,0935e-05
365,8	1,0977e-05
366,0	1,1018e-05
366,2	1,106e-05
366,4	1,1102e-05
366,6	1,1144e-05
366,8	1,1186e-05
367,0	1,1138e-05
367,2	1,095e-05
367,4	1,0766e-05
367,6	1,0585e-05
367,8	1,0407e-05
368,0	1,0232e-05
368,2	1,006e-05
368,4	9,8903e-06
368,6	9,7239e-06
368,8	9,5603e-06
369,0	9,3994e-06
369,2	9,2412e-06
369,4	9,0857e-06
369,6	8,9329e-06
369,8	8,7825e-06
370,0	8,6348e-06
370,2	8,4895e-06
370,4	8,3466e-06
370,6	8,2061e-06
370,8	7,99e-06
371,0	7,7563e-06
371,2	7,5295e-06
371,4	7,3093e-06
371,6	7,0956e-06
371,8	6,8881e-06
372,0	6,6866e-06
372,2	6,4911e-06
372,4	6,3013e-06
372,6	6,117e-06
372,8	5,9381e-06
373,0	5,7645e-06
373,2	5,5959e-06
373,4	5,4322e-06
373,6	5,2734e-06
373,8	5,1192e-06
374,0	4,9695e-06
374,2	4,8241e-06
374,4	4,6972e-06
374,6	4,6524e-06
374,8	4,608e-06
375,0	4,564e-06
375,2	4,5205e-06
375,4	4,4773e-06
375,6	4,4346e-06
375,8	4,3923e-06
376,0	4,3504e-06
376,2	4,3089e-06
376,4	4,2678e-06
376,6	4,227e-06
376,8	4,1867e-06
377,0	4,1467e-06
377,2	4,1072e-06
377,4	4,068e-06
377,6	4,0292e-06
377,8	3,9907e-06
378,0	3,9526e-06
378,2	3,9568e-06
378,4	3,997e-06
378,6	4,0377e-06
378,8	4,0788e-06
379,0	4,1202e-06
379,2	4,1621e-06
379,4	4,2045e-06
379,6	4,2472e-06
379,8	4,2904e-06
380,0	4,334e-06
380,2	4,3781e-06
380,4	4,4226e-06
380,6	4,4676e-06
380,8	4,513e-06
381,0	4,5589e-06
381,2	4,6053e-06
381,4	4,6521e-06
381,6	4,6994e-06
381,8	4,7472e-06
382,0	4,6961e-06
382,2	4,6394e-06
382,4	4,5833e-06
382,6	4,528e-06
382,8	4,4732e-06
383,0	4,4192e-06
383,2	4,3658e-06
383,4	4,3131e-06
383,6	4,261e-06
383,8	4,2095e-06
384,0	4,1586e-06
384,2	4,1084e-06
384,4	4,0587e-06
384,6	4,0097e-06
384,8	3,9613e-06
385,0	3,9134e-06
385,2	3,8661e-06
385,4	3,8194e-06
385,6	3,769e-06
385,8	3,7116e-06
386,0	3,655e-06
386,2	3,5993e-06
386,4	3,5444e-06
386,6	3,4903e-06
386,8	3,4371e-06
387,0	3,3847e-06
387,2	3,3331e-06
387,4	3,2823e-06
387,6	3,2323e-06
387,8	3,183e-06
388,0	3,1345e-06
388,2	3,0867e-06
388,4	3,0396e-06
388,6	2,9933e-06
388,8	2,9476e-06
