Typical Measured Spectrum of Semrock FF593-Di02 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
300	0.00721467999999999
300.2	0.00924247400722136
300.4	0.0118402099294997
300.6	0.0151320567065789
300.8	0.0192931841887427
301	0.02459857
301.2	0.0293637917874792
301.4	0.0350521297839034
301.6	0.039917907017892
301.8	0.0433682791218679
302	0.04711689
302.2	0.0465543100996743
302.4	0.0459984474539097
302.6	0.0439815691454743
302.8	0.0406951387691829
303	0.03765428
303.2	0.0335171204296879
303.4	0.0298345197915935
303.6	0.0262252181116927
303.8	0.022764958898752
304	0.01976126
304.2	0.0181241435457828
304.4	0.0166226535791817
304.6	0.0167035685599078
304.8	0.0183901055837821
305	0.02024693
305.2	0.0244857483213622
305.4	0.0296119891191945
305.6	0.0352211703554687
305.8	0.0412023499699243
306	0.04819924
306.2	0.0528880590259683
306.4	0.0580330060709321
306.6	0.0604622703949616
306.8	0.0598116496060525
307	0.05916803
307.2	0.0500075412651741
307.4	0.0422652940006299
307.6	0.033331609353297
307.8	0.0245274652347948
308	0.01804883
308.2	0.0149625344052982
308.4	0.0124039860661179
308.6	0.0117264395483069
308.8	0.0126421185936432
309	0.0136293
309.2	0.0152239969209202
309.4	0.0170052814339831
309.6	0.0183126518414895
309.8	0.0190121368696142
310	0.01973834
310.2	0.0181454206158895
310.4	0.0166810526785712
310.6	0.0148315161842334
310.8	0.0127542030902006
311	0.01096784
311.2	0.0109141913457186
311.4	0.0108608051112123
311.6	0.0114542302323541
311.8	0.0128027488553003
312	0.01431003
312.2	0.015528277522115
312.4	0.0168502374071767
312.6	0.0173361474350076
312.8	0.0169107545916319
313	0.0164958
313.2	0.0131364140846747
313.4	0.0104611704193819
313.6	0.00741942754938886
313.8	0.00468648459084759
314	0.00296022
314.2	0.00197655801702366
314.4	0.00131976055653313
314.6	0.00101897864549576
314.8	0.000909744379177232
315	0.000812220000000001
315.2	0.000975375922799587
315.4	0.00117130603872983
315.6	0.00164297757668548
315.8	0.00269188059983447
316	0.00441042
316.2	0.00646180176382196
316.4	0.00946732556875143
316.6	0.012905702377868
316.8	0.0163687920134412
317	0.02076116
317.2	0.0247297292536035
317.4	0.0294569045735659
317.6	0.0341423248872827
317.8	0.0385067894237501
318	0.04342917
318.2	0.0460590271116634
318.4	0.0488481354461285
318.6	0.0503428362399664
318.8	0.0504177923184618
319	0.05049286
319.2	0.0503728943153585
319.4	0.0502532136564711
319.6	0.0502501857293749
319.8	0.0503637894491904
320	0.05047765
320.2	0.0483347636824354
320.4	0.0462828475619778
320.6	0.0431257197126957
320.8	0.0391028537813233
321	0.03545525
321.2	0.0324678759957115
321.4	0.0297322109327363
321.6	0.0279988684154003
321.8	0.0271140068573181
322	0.02625711
322.2	0.0260632781613466
322.4	0.0258708772030024
322.6	0.0254628168704674
322.8	0.0248493432496676
323	0.02425065
323.2	0.0230824576586532
323.4	0.0219705389984811
323.6	0.0207276403586311
323.8	0.0193824872571416
324	0.01812463
324.2	0.0170482404927602
324.4	0.016035775841989
324.6	0.015158003405345
324.8	0.0143991094779859
325	0.01367821
325.2	0.0130601339455866
325.4	0.0124699868386772
325.6	0.0119839806105017
325.8	0.0115918549695071
326	0.01121256
326.2	0.0111292685328176
326.4	0.0110465957886124
326.6	0.0112709220072025
326.8	0.0118211456025784
327	0.01239823
327.2	0.0144260906674642
327.4	0.0167856292346486
327.6	0.0206100013921599
327.8	0.0267036017545786
328	0.03459885
328.2	0.0447337654620929
328.4	0.0578374648989066
328.6	0.0732109806900155
328.8	0.0907269649647601
329	0.11243371
329.2	0.136033186767483
329.4	0.164586118363584
329.6	0.194766656777382
329.8	0.22542864063463
330	0.26091772
330.2	0.288638603791192
330.4	0.319304658949682
330.6	0.345950286621684
330.8	0.367096068476624
331	0.38953436
331.2	0.400931703559713
331.4	0.412662520757587
331.6	0.422122472589391
331.8	0.429141721623974
332	0.43627769
332.2	0.443147447574805
332.4	0.450125378384726
332.6	0.462930909582498
332.8	0.482054666901585
333	0.50196843
333.2	0.528603734909345
333.4	0.556652354730971
333.6	0.585661065076857
333.8	0.615626257018043
334	0.64712461
334.2	0.6731355197293
334.4	0.700191927365017
334.6	0.724268250973902
334.8	0.744988473330715
335	0.76630147
335.2	0.781101982289664
335.4	0.796188354874019
335.6	0.80598374814244
335.8	0.810287483678513
336	0.8146142
336.2	0.806108190772825
336.4	0.797690999286581
336.6	0.7822976493061
336.8	0.760335616279012
337	0.73899014
337.2	0.697932758639134
337.4	0.659156474782777
337.6	0.612826892219701
337.8	0.560869030723153
338	0.51331636
338.2	0.459547432736504
338.4	0.411410699894139
338.6	0.368392877815077
338.8	0.329941749274141
339	0.29550397
339.2	0.272054583452593
339.4	0.250465996709161
339.6	0.235603361853388
339.8	0.22644053565959
340	0.21763406
340.2	0.217629255920466
340.4	0.217624451946978
340.6	0.220048437137714
340.8	0.224982672390825
341	0.23002755
341.2	0.237603213965211
341.4	0.245428372760557
341.6	0.253900001311787
341.8	0.263066845103192
342	0.27256465
342.2	0.281061747447793
342.4	0.289823738619102
342.6	0.297723120886246
342.8	0.304675524490558
343	0.31179028
343.2	0.316420091163906
343.4	0.321118650947602
343.6	0.324060153068809
343.8	0.325195373131051
344	0.32633457
344.2	0.323126438923898
344.4	0.319949846354432
344.6	0.314606204540129
344.8	0.307205245270908
345	0.29997839
345.2	0.291028248655281
345.4	0.282345143313025
345.6	0.275724760100543
345.8	0.271032570003462
346	0.26642023
346.2	0.26979745422731
346.4	0.273217489180674
346.6	0.282203091347541
346.8	0.29730188320688
347	0.31320851
347.2	0.338035791953779
347.4	0.364831072571492
347.6	0.393625381258883
347.8	0.424557492552473
348	0.45792033
348.2	0.487314073772015
348.4	0.518594591544509
348.6	0.546012991784777
348.8	0.568766401747338
349	0.59246799
349.2	0.600748317832799
349.4	0.609144371460368
349.6	0.607458993512777
349.8	0.595775658227303
350	0.58431703
350.2	0.557786790748058
350.4	0.532461126339271
350.6	0.506202328099015
350.8	0.479266331006786
351	0.45376365
351.2	0.437653122012468
351.4	0.422114585880248
351.6	0.411746071452409
351.8	0.406188240366641
352	0.40070543
352.2	0.401034131744928
352.4	0.401363103126425
352.6	0.40180201490465
352.8	0.402351227100752
353	0.40290119
353.2	0.402954864636966
353.4	0.403008546424485
353.6	0.402116883023941
353.8	0.400286144060548
354	0.39846374
354.2	0.395958959416865
354.4	0.393469924120289
354.6	0.391257062515176
