Typical Measured Spectrum of Semrock FF555-Di03 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
340.0	2.1975e-04
340.2	1.7248e-04
340.4	1.8578e-04
340.6	2.2966e-04
340.8	2.4037e-04
341.0	2.0498e-04
341.2	2.6169e-04
341.4	2.717e-04
341.6	3.1149e-04
341.8	4.1637e-04
342.0	6.4222e-04
342.2	0.00109
342.4	0.00169
342.6	0.00254
342.8	0.00329
343.0	0.00391
343.2	0.00425
343.4	0.00457
343.6	0.00456
343.8	0.00437
344.0	0.00389
344.2	0.00378
344.4	0.0045
344.6	0.00656
344.8	0.01162
345.0	0.02168
345.2	0.03551
345.4	0.04999
345.6	0.06327
345.8	0.07393
346.0	0.0789
346.2	0.0787
346.4	0.07328
346.6	0.06354
346.8	0.05122
347.0	0.03892
347.2	0.03221
347.4	0.02881
347.6	0.0271
347.8	0.02439
348.0	0.02205
348.2	0.01886
348.4	0.01637
348.6	0.01389
348.8	0.01203
349.0	0.01065
349.2	0.00985
349.4	0.01021
349.6	0.01083
349.8	0.012
350.0	0.0132
350.2	0.01411
350.4	0.01483
350.6	0.01547
350.8	0.01558
351.0	0.01503
351.2	0.01473
351.4	0.01366
351.6	0.01258
351.8	0.01174
352.0	0.0113
352.2	0.01156
352.4	0.01229
352.6	0.01353
352.8	0.01469
353.0	0.01608
353.2	0.01817
353.4	0.0185
353.6	0.01935
353.8	0.01881
354.0	0.01814
354.2	0.01648
354.4	0.01484
354.6	0.01337
354.8	0.01231
355.0	0.01187
355.2	0.01204
355.4	0.01285
355.6	0.01448
355.8	0.01645
356.0	0.01833
356.2	0.02018
356.4	0.0216
356.6	0.02159
356.8	0.02104
357.0	0.01988
357.2	0.0177
357.4	0.0154
357.6	0.01391
357.8	0.01272
358.0	0.01205
358.2	0.0123
358.4	0.01352
358.6	0.01487
358.8	0.01707
359.0	0.01867
359.2	0.02046
359.4	0.02129
359.6	0.02181
359.8	0.02089
360.0	0.01941
360.2	0.01755
360.4	0.01529
360.6	0.01306
360.8	0.01165
361.0	0.01086
361.2	0.01054
361.4	0.01064
361.6	0.01125
361.8	0.0121
362.0	0.0125
362.2	0.01295
362.4	0.01294
362.6	0.01252
362.8	0.01198
363.0	0.01062
363.2	0.0093
363.4	0.00792
363.6	0.00643
363.8	0.00569
364.0	0.00496
364.2	0.00443
364.4	0.00406
364.6	0.00434
364.8	0.00448
365.0	0.00484
365.2	0.00504
365.4	0.006
365.6	0.00621
365.8	0.00668
366.0	0.00646
366.2	0.00662
366.4	0.00644
366.6	0.0061
366.8	0.00549
367.0	0.00477
367.2	0.00433
367.4	0.00371
367.6	0.0034
367.8	0.00352
368.0	0.00361
368.2	0.00337
368.4	0.00407
368.6	0.00439
368.8	0.00578
369.0	0.00596
369.2	0.00715
369.4	0.00819
369.6	0.00863
369.8	0.00937
370.0	0.00927
370.2	0.00934
370.4	0.00848
370.6	0.00784
370.8	0.00682
371.0	0.0067
371.2	0.00601
371.4	0.00561
371.6	0.00583
371.8	0.00557
372.0	0.00654
372.2	0.00766
372.4	0.00908
372.6	0.01003
372.8	0.0108
373.0	0.01164
373.2	0.01199
373.4	0.0119
373.6	0.01108
373.8	0.01059
374.0	0.00906
374.2	0.00841
374.4	0.00678
374.6	0.0064
374.8	0.00517
375.0	0.00486
375.2	0.00448
375.4	0.00488
375.6	0.00511
375.8	0.00559
376.0	0.00604
376.2	0.0064
376.4	0.00686
376.6	0.00723
376.8	0.00694
377.0	0.00722
377.2	0.00714
377.4	0.00638
377.6	0.00617
377.8	0.00535
378.0	0.00495
378.2	0.00428
378.4	0.00391
378.6	0.00387
378.8	0.00359
379.0	0.00376
379.2	0.00379
379.4	0.00415
379.6	0.00455
379.8	0.00542
380.0	0.00622
380.2	0.0068
380.4	0.00744
380.6	0.00826
380.8	0.00857
381.0	0.0086
381.2	0.00814
381.4	0.00763
381.6	0.00698
381.8	0.00642
382.0	0.00595
382.2	0.00502
382.4	0.00488
382.6	0.00468
382.8	0.00475
383.0	0.00467
383.2	0.00534
383.4	0.00579
383.6	0.00614
383.8	0.00682
384.0	0.00689
384.2	0.0077
384.4	0.0074
384.6	0.00754
384.8	0.00722
385.0	0.00611
385.2	0.00557
385.4	0.0047
385.6	0.00414
385.8	0.00347
386.0	0.00297
386.2	0.00245
386.4	0.00275
386.6	0.00242
386.8	0.00247
387.0	0.00226
387.2	0.00241
387.4	0.00268
387.6	0.00289
387.8	0.00348
388.0	0.00344
388.2	0.00407
388.4	0.00421
388.6	0.00468
388.8	0.00478
389.0	0.00483
389.2	0.00448
389.4	0.00457
389.6	0.00391
389.8	0.00367
390.0	0.00315
390.2	0.00307
390.4	0.00297
390.6	0.0028
390.8	0.00295
391.0	0.00285
391.2	0.00308
391.4	0.00332
391.6	0.00362
391.8	0.00357
392.0	0.0044
392.2	0.00434
392.4	0.00473
392.6	0.00514
392.8	0.00583
393.0	0.00652
393.2	0.00791
393.4	0.0084
393.6	0.00923
393.8	0.01003
394.0	0.01039
394.2	0.01055
394.4	0.01046
394.6	0.01031
394.8	0.00948
395.0	0.00903
395.2	0.00895
395.4	0.00898
395.6	0.00913
395.8	0.00945
396.0	0.0102
396.2	0.01175
396.4	0.01362
396.6	0.01525
396.8	0.01712
397.0	0.01841
397.2	0.01924
397.4	0.01939
397.6	0.01898
397.8	0.01769
398.0	0.016
398.2	0.01372
398.4	0.01172
398.6	0.00976
398.8	0.00804
399.0	0.007
399.2	0.00607
399.4	0.00549
399.6	0.0049
399.8	0.00528
400.0	0.0052
400.2	0.00586
400.4	0.00617
400.6	0.00687
400.8	0.00738
401.0	0.00802
401.2	0.00857
401.4	0.00899
401.6	0.00947
401.8	0.00933
402.0	0.00928
402.2	0.00848
402.4	0.0082
402.6	0.00753
402.8	0.00662
403.0	0.00591
403.2	0.00526
403.4	0.00473
403.6	0.00425
403.8	0.00433
404.0	0.00406
404.2	0.00405
404.4	0.0041
404.6	0.00434
404.8	0.00488
405.0	0.00556
405.2	0.00671
405.4	0.00793
405.6	0.00969
405.8	0.0116
406.0	0.01382
406.2	0.01536
406.4	0.01673
406.6	0.01747
406.8	0.01781
407.0	0.01699
407.2	0.01598
407.4	0.01418
407.6	0.01256
407.8	0.01024
408.0	0.00835
408.2	0.00673
408.4	0.00539
408.6	0.00474
408.8	0.00427
409.0	0.00389
409.2	0.00356
409.4	0.00361
409.6	0.00364
409.8	0.00368
410.0	0.00389
410.2	0.00414
410.4	0.00437
410.6	0.00468
410.8	0.00547
411.0	0.00609
411.2	0.00709
411.4	0.00811
411.6	0.00929
411.8	0.01063
412.0	0.01207
412.2	0.01381
412.4	0.01545
412.6	0.01682
412.8	0.01791
413.0	0.01874
413.2	0.01951
413.4	0.01982
413.6	0.0197
413.8	0.01996
414.0	0.01947
414.2	0.01952
414.4	0.0194
414.6	0.01924
414.8	0.01944
415.0	0.01924
415.2	0.01943
415.4	0.01947
415.6	0.01936
415.8	0.01923
416.0	0.01911
416.2	0.01865
416.4	0.01815
416.6	0.01732
416.8	0.01677
417.0	0.01605
417.2	0.01544
417.4	0.01492
417.6	0.01466
417.8	0.01402
418.0	0.01381
418.2	0.01373
418.4	0.01379
418.6	0.01403
418.8	0.01442
419.0	0.01489
419.2	0.01565
419.4	0.01644
419.6	0.01715
419.8	0.01801
420.0	0.01878
420.2	0.01956
420.4	0.01992
420.6	0.02034
420.8	0.02042
421.0	0.02025
421.2	0.01987
421.4	0.01943
421.6	0.01858
421.8	0.01765
422.0	0.01675
422.2	0.01604
422.4	0.01509
422.6	0.01456
422.8	0.01411
423.0	0.01375
423.2	0.01357
423.4	0.0135
423.6	0.01364
423.8	0.01359
424.0	0.01363
424.2	0.01414
424.4	0.01441
424.6	0.01505
424.8	0.01534
425.0	0.01572
425.2	0.0161
425.4	0.01622
425.6	0.0162
425.8	0.01636
426.0	0.01612
426.2	0.01594
426.4	0.01535
426.6	0.01503
426.8	0.01432
427.0	0.01385
427.2	0.01329
427.4	0.01289
427.6	0.0123
427.8	0.01216
428.0	0.01174
428.2	0.0118
428.4	0.0117
428.6	0.01163
428.8	0.01196
429.0	0.01201
429.2	0.0124
429.4	0.0126
429.6	0.01311
429.8	0.01356
430.0	0.01408
430.2	0.01474
430.4	0.0151
430.6	0.01586
430.8	0.01647
431.0	0.01662
431.2	0.01692
431.4	0.01709
431.6	0.0172
431.8	0.01721
432.0	0.01703
432.2	0.01679
432.4	0.01638
432.6	0.01623
432.8	0.01575
433.0	0.01515
433.2	0.01501
433.4	0.01456
433.6	0.01438
433.8	0.01416
434.0	0.01402
434.2	0.01403
434.4	0.01409
434.6	0.01404
434.8	0.01422
435.0	0.0145
435.2	0.01499
435.4	0.01534
435.6	0.0159
435.8	0.01638
436.0	0.017
436.2	0.01763
436.4	0.01832
436.6	0.01885
436.8	0.01922
437.0	0.01969
437.2	0.02
437.4	0.02025
437.6	0.02021
437.8	0.01994
438.0	0.01986
438.2	0.01942
438.4	0.01911
438.6	0.01853
438.8	0.01786
439.0	0.01719
439.2	0.01649
439.4	0.01581
439.6	0.01512
439.8	0.01457
440.0	0.01395
440.2	0.01362
440.4	0.01335
440.6	0.01299
440.8	0.01298
441.0	0.0127
441.2	0.01265
441.4	0.01279
441.6	0.01296
441.8	0.01318
442.0	0.0132
442.2	0.01353
442.4	0.01394
442.6	0.01418
442.8	0.01455
443.0	0.01493
443.2	0.01515
443.4	0.01541
443.6	0.01544
443.8	0.01565
444.0	0.01548
444.2	0.01538
444.4	0.0151
444.6	0.01472
444.8	0.01421
445.0	0.01376
445.2	0.01339
445.4	0.01285
445.6	0.01229
445.8	0.0118
446.0	0.0114
446.2	0.01098
446.4	0.01049
446.6	0.0103
446.8	0.01022
447.0	0.00999
447.2	0.01013
447.4	0.00997
447.6	0.01021
447.8	0.01014
448.0	0.01056
448.2	0.0109
448.4	0.01105
448.6	0.01144
448.8	0.01169
449.0	0.01213
449.2	0.01243
449.4	0.01272
449.6	0.0127
449.8	0.01274
450.0	0.01279
450.2	0.01282
450.4	0.01248
450.6	0.01229
450.8	0.01193
451.0	0.01158
451.2	0.01127
451.4	0.01075
451.6	0.01027
451.8	0.00989
452.0	0.00964
452.2	0.0089
452.4	0.00878
452.6	0.00839
452.8	0.00814
453.0	0.00799
453.2	0.00785
453.4	0.00772
453.6	0.00766
453.8	0.00769
454.0	0.00767
454.2	0.00769
454.4	0.00786
454.6	0.00792
454.8	0.00803
455.0	0.00817
455.2	0.00833
455.4	0.0084
455.6	0.00844
455.8	0.00855
456.0	0.00843
456.2	0.00841
456.4	0.00833
456.6	0.00814
456.8	0.00801
457.0	0.00781
457.2	0.00758
457.4	0.00735
457.6	0.00699
457.8	0.00684
458.0	0.00643
458.2	0.0062
458.4	0.00581
458.6	0.0055
458.8	0.0054
459.0	0.00508
459.2	0.00499
459.4	0.00484
459.6	0.00472
459.8	0.00455
460.0	0.00459
460.2	0.00452
460.4	0.00452
460.6	0.00457
460.8	0.00472
461.0	0.00478
461.2	0.00482
461.4	0.00494
461.6	0.00514
461.8	0.00531
462.0	0.0055
462.2	0.00573
462.4	0.00583
462.6	0.00608
462.8	0.00635
463.0	0.00641
463.2	0.0066
463.4	0.00654
463.6	0.00662
463.8	0.00661
464.0	0.00665
464.2	0.00651
464.4	0.00632
464.6	0.00626
464.8	0.00598
465.0	0.00576
465.2	0.00547
465.4	0.00521
465.6	0.00516
465.8	0.00477
466.0	0.00459
466.2	0.0044
466.4	0.00416
466.6	0.00405
466.8	0.00391
467.0	0.00381
467.2	0.00371
467.4	0.00362
467.6	0.00359
467.8	0.00354
468.0	0.0036
468.2	0.00357
468.4	0.00378
468.6	0.00386
468.8	0.0039
469.0	0.00402
469.2	0.00422
469.4	0.0045
469.6	0.00472
469.8	0.00492
470.0	0.00518
470.2	0.00554
470.4	0.00587
470.6	0.00616
470.8	0.00645
471.0	0.00674
471.2	0.00702
471.4	0.00723
471.6	0.00747
471.8	0.00753
472.0	0.00758
472.2	0.00758
472.4	0.00758
472.6	0.00753
472.8	0.00729
473.0	0.00724
473.2	0.00703
473.4	0.00684
473.6	0.00654
473.8	0.00631
474.0	0.00611
474.2	0.00595
474.4	0.00571
474.6	0.00558
474.8	0.00543
475.0	0.00522
475.2	0.00524
475.4	0.00522
475.6	0.00534
475.8	0.0054
476.0	0.00567
476.2	0.0059
476.4	0.0063
476.6	0.00676
476.8	0.00738
477.0	0.00786
477.2	0.00864
477.4	0.00953
477.6	0.01033
477.8	0.01128
478.0	0.01234
478.2	0.01339
478.4	0.01442
478.6	0.01534
478.8	0.01644
479.0	0.01744
479.2	0.01826
479.4	0.01922
479.6	0.0199
479.8	0.02032
480.0	0.02071
480.2	0.02113
480.4	0.02112
480.6	0.02126
480.8	0.0211
481.0	0.02102
481.2	0.02058
481.4	0.02019
481.6	0.0198
481.8	0.01942
482.0	0.01901
482.2	0.01873
482.4	0.01827
482.6	0.01824
482.8	0.01803
483.0	0.01803
483.2	0.01813
483.4	0.01853
483.6	0.01904
483.8	0.01951
484.0	0.02024
484.2	0.021
484.4	0.02186
484.6	0.0226
484.8	0.02314
485.0	0.02353
485.2	0.02377
485.4	0.02346
485.6	0.02297
485.8	0.02208
486.0	0.02098
486.2	0.01963
486.4	0.01782
486.6	0.01621
486.8	0.01451
487.0	0.01281
487.2	0.01113
487.4	0.00967
487.6	0.00842
487.8	0.00742
488.0	0.00653
488.2	0.00582
488.4	0.00532
488.6	0.00487
488.8	0.0045
489.0	0.00424
489.2	0.00396
489.4	0.00383
489.6	0.00379
489.8	0.00365
490.0	0.00363
490.2	0.00359
490.4	0.00365
490.6	0.00376
490.8	0.00378
491.0	0.0039
491.2	0.00406
491.4	0.00414
491.6	0.00425
491.8	0.00449
492.0	0.00462
492.2	0.00483
492.4	0.00493
492.6	0.0051
492.8	0.00514
493.0	0.00522
493.2	0.00517
493.4	0.00505
493.6	0.00494
493.8	0.00467
494.0	0.00457
494.2	0.00426
494.4	0.00391
494.6	0.0036
494.8	0.0033
495.0	0.00295
495.2	0.00266
495.4	0.00239
495.6	0.00212
495.8	0.00194
496.0	0.00173
496.2	0.00157
496.4	0.00145
496.6	0.00137
496.8	0.00132
497.0	0.0012
497.2	0.00116
497.4	0.00112
497.6	0.00102
497.8	0.00101
498.0	0.00103
498.2	0.00104
498.4	0.00103
498.6	0.00104
498.8	9.7966e-04
499.0	0.00102
499.2	0.00105
499.4	0.00108
499.6	0.00112
499.8	0.00116
500.0	0.00113
500.2	0.00118
500.4	0.00126
500.6	0.00137
500.8	0.00146
501.0	0.00159
501.2	0.00179
501.4	0.00194
501.6	0.00222
501.8	0.00239
502.0	0.0027
502.2	0.00285
502.4	0.00307
502.6	0.00324
502.8	0.00345
503.0	0.00352
503.2	0.00351
