Typical Measured Spectrum of Semrock FF01-485/20 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	1.2072e-05
270.2	9.9677e-06
270.4	8.2302e-06
270.6	6.7955e-06
270.8	5.6109e-06
271.0	4.6328e-06
271.2	3.8252e-06
271.4	3.1584e-06
271.6	2.6079e-06
271.8	2.1533e-06
272.0	1.7779e-06
272.2	1.468e-06
272.4	1.2121e-06
272.6	1.0008e-06
272.8	8.277e-07
273.0	9.489e-07
273.2	1.0878e-06
273.4	1.2471e-06
273.6	1.4298e-06
273.8	1.6391e-06
274.0	1.8791e-06
274.2	2.1543e-06
274.4	2.4698e-06
274.6	2.8314e-06
274.8	3.246e-06
275.0	3.7213e-06
275.2	3.4203e-06
275.4	3.1437e-06
275.6	2.8894e-06
275.8	2.6557e-06
276.0	2.4409e-06
276.2	2.2434e-06
276.4	2.062e-06
276.6	1.8952e-06
276.8	1.7419e-06
277.0	1.601e-06
277.2	1.4715e-06
277.4	1.3525e-06
277.6	1.2431e-06
277.8	1.1712e-06
278.0	1.1533e-06
278.2	1.1357e-06
278.4	1.1184e-06
278.6	1.1013e-06
278.8	1.0845e-06
279.0	1.0679e-06
279.2	1.0516e-06
279.4	1.0355e-06
279.6	1.0197e-06
279.8	1.0041e-06
280.0	9.8876e-07
280.2	9.7366e-07
280.4	9.5878e-07
280.6	9.4413e-07
280.8	9.2971e-07
281.0	9.1551e-07
281.2	9.0152e-07
281.4	8.8775e-07
281.6	8.7418e-07
281.8	9.1481e-07
282.0	1.0449e-06
282.2	1.1935e-06
282.4	1.3632e-06
282.6	1.557e-06
282.8	1.7784e-06
283.0	2.0312e-06
283.2	2.3201e-06
283.4	2.65e-06
283.6	3.0268e-06
283.8	3.4571e-06
284.0	3.9487e-06
284.2	4.5102e-06
284.4	5.1515e-06
284.6	5.884e-06
284.8	6.7206e-06
285.0	7.6762e-06
285.2	8.7677e-06
285.4	1.0014e-05
285.6	1.1438e-05
285.8	1.1344e-05
286.0	9.5935e-06
286.2	8.1133e-06
286.4	6.8615e-06
286.6	5.8029e-06
286.8	4.9075e-06
287.0	4.1503e-06
287.2	3.51e-06
287.4	2.9684e-06
287.6	2.5104e-06
287.8	2.1231e-06
288.0	1.7955e-06
288.2	1.5185e-06
288.4	1.2842e-06
288.6	1.0861e-06
288.8	9.1849e-07
289.0	7.7677e-07
289.2	6.5692e-07
289.4	5.5557e-07
289.6	4.6985e-07
289.8	4.2984e-07
290.0	4.2104e-07
290.2	4.1243e-07
290.4	4.0398e-07
290.6	3.9572e-07
290.8	3.8762e-07
291.0	3.7968e-07
291.2	3.7191e-07
291.4	3.643e-07
291.6	3.5684e-07
291.8	3.4954e-07
292.0	3.4238e-07
292.2	3.3538e-07
292.4	3.2851e-07
292.6	3.2179e-07
292.8	3.152e-07
293.0	3.0875e-07
293.2	3.0243e-07
293.4	2.9624e-07
293.6	2.9018e-07
293.8	3.0789e-07
294.0	3.4382e-07
294.2	3.8394e-07
294.4	4.2875e-07
294.6	4.7878e-07
294.8	5.3465e-07
295.0	5.9704e-07
295.2	3.4721e-07
295.4	2.0193e-07
295.6	1.1837e-07
295.8	1.1706e-07
296.0	1.1576e-07
296.2	1.1448e-07
296.4	1.1321e-07
296.6	1.1196e-07
296.8	1.1072e-07
297.0	1.0949e-07
297.2	1.0828e-07
297.4	1.0708e-07
297.6	1.059e-07
297.8	1.0472e-07
298.0	1.0356e-07
298.2	1.0242e-07
298.4	1.0128e-07
298.6	1.0016e-07
298.8	9.9051e-08
299.0	9.7954e-08
299.2	9.6869e-08
299.4	9.5796e-08
299.6	9.4735e-08
299.8	1.299e-07
300.0	2.0998e-07
300.2	2.0777e-07
300.4	2.0558e-07
300.6	2.0342e-07
300.8	2.0128e-07
301.0	1.9917e-07
301.2	1.9707e-07
301.4	1.95e-07
301.6	1.9295e-07
301.8	1.9092e-07
302.0	2.2197e-07
302.2	2.605e-07
302.4	3.0572e-07
302.6	3.5879e-07
302.8	4.2107e-07
303.0	4.9416e-07
303.2	5.7994e-07
303.4	6.8061e-07
303.6	7.9876e-07
303.8	9.3741e-07
304.0	8.4461e-07
304.2	7.0005e-07
304.4	5.8024e-07
304.6	4.8093e-07
304.8	3.9862e-07
305.0	3.3039e-07
305.2	2.7384e-07
305.4	2.2698e-07
305.6	1.8813e-07
305.8	1.5593e-07
306.0	1.4334e-07
306.2	1.4223e-07
306.4	1.4114e-07
306.6	1.4006e-07
306.8	1.3898e-07
307.0	1.3791e-07
307.2	1.3685e-07
307.4	1.358e-07
307.6	1.3476e-07
307.8	1.3372e-07
308.0	1.3539e-07
308.2	1.4146e-07
308.4	1.4779e-07
308.6	1.5441e-07
308.8	1.6133e-07
309.0	1.6856e-07
309.2	1.7611e-07
309.4	1.84e-07
309.6	1.9225e-07
309.8	2.0086e-07
310.0	2.0793e-07
310.2	1.9891e-07
310.4	1.9029e-07
310.6	1.8204e-07
310.8	1.7415e-07
311.0	1.666e-07
311.2	1.5937e-07
311.4	1.5247e-07
311.6	1.4586e-07
311.8	1.3953e-07
312.0	1.3761e-07
312.2	1.3594e-07
312.4	1.3429e-07
312.6	1.3266e-07
312.8	1.3104e-07
313.0	1.2945e-07
313.2	1.2788e-07
313.4	1.2632e-07
313.6	1.2479e-07
313.8	1.2327e-07
314.0	1.2932e-07
314.2	1.3821e-07
314.4	1.477e-07
314.6	1.5785e-07
314.8	1.6869e-07
315.0	1.8028e-07
315.2	1.9266e-07
315.4	2.059e-07
315.6	2.2004e-07
315.8	2.3515e-07
316.0	2.6742e-07
316.2	3.1753e-07
316.4	3.7703e-07
316.6	4.4768e-07
316.8	5.3157e-07
317.0	6.3117e-07
317.2	7.4945e-07
317.4	8.8988e-07
317.6	1.0566e-06
317.8	1.2546e-06
318.0	1.3633e-06
318.2	1.304e-06
318.4	1.2472e-06
318.6	1.193e-06
318.8	1.141e-06
319.0	1.0914e-06
319.2	1.0439e-06
319.4	9.9845e-07
319.6	9.5499e-07
319.8	9.1343e-07
320.0	8.5478e-07
320.2	6.8142e-07
320.4	5.4322e-07
320.6	4.3305e-07
320.8	3.4522e-07
321.0	2.7521e-07
321.2	2.1939e-07
321.4	1.749e-07
321.6	1.3943e-07
321.8	1.1115e-07
322.0	1.3078e-07
322.2	1.5882e-07
322.4	1.9287e-07
322.6	2.3423e-07
322.8	2.8444e-07
323.0	3.4543e-07
323.2	4.1949e-07
323.4	5.0942e-07
323.6	6.1864e-07
323.8	7.5127e-07
324.0	7.4514e-07
324.2	6.9083e-07
324.4	6.4047e-07
324.6	5.9379e-07
324.8	5.5051e-07
325.0	5.1038e-07
325.2	4.7318e-07
325.4	4.3869e-07
325.6	4.0671e-07
325.8	3.7707e-07
326.0	3.9113e-07
326.2	4.4083e-07
326.4	4.9684e-07
326.6	5.5997e-07
326.8	6.3112e-07
327.0	7.1132e-07
327.2	8.017e-07
327.4	9.0356e-07
327.6	1.0184e-06
327.8	1.1478e-06
328.0	1.1675e-06
328.2	1.0215e-06
328.4	8.9371e-07
328.6	7.8193e-07
328.8	6.8412e-07
329.0	5.9855e-07
329.2	5.2369e-07
329.4	4.5818e-07
329.6	4.0087e-07
329.8	3.5073e-07
330.0	3.0532e-07
330.2	2.5613e-07
330.4	2.1487e-07
330.6	1.8025e-07
330.8	1.5121e-07
331.0	1.2685e-07
331.2	1.0641e-07
331.4	8.9271e-08
331.6	7.4889e-08
331.8	6.2824e-08
332.0	7.4638e-08
332.2	9.1779e-08
332.4	1.1286e-07
332.6	1.3877e-07
332.8	1.7064e-07
333.0	2.0983e-07
333.2	2.5802e-07
333.4	3.1728e-07
333.6	3.9014e-07
333.8	4.7974e-07
334.0	4.2873e-07
334.2	3.425e-07
334.4	2.7361e-07
334.6	2.1858e-07
334.8	1.7462e-07
335.0	1.395e-07
335.2	1.1144e-07
335.4	8.9026e-08
335.6	7.112e-08
335.8	5.6816e-08
336.0	5.6173e-08
336.2	6.5015e-08
336.4	7.5249e-08
336.6	8.7094e-08
336.8	1.008e-07
337.0	1.1667e-07
337.2	1.3504e-07
337.4	1.5629e-07
337.6	1.809e-07
337.8	2.0937e-07
338.0	2.2399e-07
338.2	2.1398e-07
338.4	2.0442e-07
338.6	1.9529e-07
338.8	1.8656e-07
339.0	1.7823e-07
339.2	1.7026e-07
339.4	1.6265e-07
339.6	1.5539e-07
339.8	1.4844e-07
340.0	1.4005e-07
340.2	1.2109e-07
340.4	1.047e-07
340.6	9.0525e-08
340.8	7.827e-08
341.0	6.7674e-08
341.2	5.8512e-08
341.4	5.0591e-08
341.6	4.3742e-08
341.8	3.7821e-08
342.0	3.7066e-08
342.2	3.678e-08
342.4	3.6496e-08
342.6	3.6214e-08
342.8	3.5934e-08
343.0	3.5657e-08
343.2	3.5382e-08
343.4	3.5108e-08
343.6	3.4837e-08
343.8	3.4568e-08
344.0	3.4345e-08
344.2	3.4138e-08
344.4	3.3933e-08
344.6	3.3729e-08
344.8	3.3525e-08
345.0	3.3324e-08
345.2	3.3123e-08
345.4	3.2924e-08
345.6	3.2725e-08
345.8	3.2528e-08
346.0	3.7213e-08
346.2	4.7038e-08
346.4	5.9456e-08
346.6	7.5153e-08
346.8	9.4993e-08
347.0	1.2007e-07
347.2	1.5177e-07
347.4	1.9184e-07
347.6	2.4249e-07
347.8	3.0651e-07
348.0	3.486e-07
348.2	3.4368e-07
348.4	3.3883e-07
348.6	3.3405e-07
348.8	3.2933e-07
349.0	3.2469e-07
349.2	3.2011e-07
349.4	3.1559e-07
349.6	3.1114e-07
349.8	3.0675e-07
350.0	3.044e-07
350.2	3.1495e-07
350.4	3.2587e-07
350.6	3.3717e-07
350.8	3.4886e-07
351.0	3.6096e-07
351.2	3.7348e-07
351.4	3.8643e-07
351.6	3.9983e-07
351.8	4.1369e-07
352.0	3.5749e-07
352.2	3.0107e-07
352.4	2.5355e-07
352.6	2.1354e-07
352.8	1.7984e-07
353.0	1.5146e-07
353.2	1.2755e-07
353.4	1.0742e-07
353.6	9.0471e-08
353.8	7.6193e-08
354.0	6.9015e-08
354.2	6.4308e-08
354.4	5.9922e-08
354.6	5.5835e-08
354.8	5.2027e-08
355.0	4.8479e-08
355.2	4.5173e-08
355.4	4.2092e-08
355.6	3.9221e-08
355.8	3.6546e-08
356.0	4.1308e-08
356.2	5.4176e-08
356.4	7.1051e-08
356.6	9.3184e-08
356.8	1.2221e-07
357.0	1.6028e-07
357.2	2.102e-07
357.4	2.7568e-07
357.6	3.6155e-07
357.8	4.7418e-07
358.0	5.6163e-07
358.2	5.7622e-07
358.4	5.9118e-07
358.6	6.0652e-07
358.8	6.2227e-07
359.0	6.3843e-07
359.2	6.55e-07
359.4	6.7201e-07
359.6	6.8946e-07
359.8	7.0736e-07
360.0	7.2222e-07
360.2	7.1392e-07
360.4	7.0572e-07
360.6	6.9761e-07
360.8	6.896e-07
361.0	6.8168e-07
361.2	6.7384e-07
361.4	6.661e-07
361.6	6.5845e-07
361.8	6.5088e-07
362.0	6.1335e-07
362.2	5.7474e-07
362.4	5.3857e-07
362.6	5.0467e-07
362.8	4.7291e-07
363.0	4.4314e-07
363.2	4.1525e-07
363.4	3.8911e-07
363.6	3.6462e-07
363.8	3.4167e-07
364.0	3.4892e-07
364.2	3.6697e-07
364.4	3.8596e-07
364.6	4.0592e-07
364.8	4.2692e-07
365.0	4.49e-07
365.2	4.7223e-07
365.4	4.9666e-07
365.6	5.2235e-07
365.8	5.4937e-07
366.0	5.753e-07
366.2	6.0068e-07
366.4	6.2718e-07
366.6	6.5485e-07
366.8	6.8374e-07
367.0	7.139e-07
367.2	7.454e-07
367.4	7.7828e-07
367.6	8.1261e-07
367.8	8.4846e-07
368	8.9076E-09
368.2	9.4143E-09
368.4	9.95E-09
368.6	1.0516E-08
368.8	1.1114E-08
369	1.1747E-08
369.2	1.2415E-08
369.4	1.3121E-08
369.6	1.3868E-08
369.8	1.4657E-08
370	1.5634E-08
370.2	1.7538E-08
370.4	1.9674E-08
370.6	2.207E-08
370.8	2.4757E-08
371	2.7772E-08
371.2	3.1154E-08
371.4	3.4947E-08
371.6	3.9203E-08
371.8	4.3977E-08
372	4.5183E-08
372.2	4.579E-08
372.4	4.6406E-08
372.6	4.703E-08
372.8	4.7662E-08
373	4.8302E-08
373.2	4.8952E-08
373.4	4.961E-08
373.6	5.0276E-08
373.8	5.0952E-08
374	5.0263E-08
374.2	4.9079E-08
374.4	4.7923E-08
374.6	4.6794E-08
374.8	4.5692E-08
375	4.4615E-08
375.2	4.3564E-08
375.4	4.2538E-08
375.6	4.1536E-08
375.8	4.0558E-08
376	3.9069E-08
376.2	3.7269E-08
376.4	3.5551E-08
376.6	3.3912E-08
376.8	3.2349E-08
377	3.0858E-08
377.2	2.9435E-08
377.4	2.8078E-08
377.6	2.6784E-08
377.8	2.555E-08
378	2.5945E-08
378.2	2.853E-08
378.4	3.1373E-08
378.6	3.4499E-08
378.8	3.7937E-08
379	4.1717E-08
379.2	4.5874E-08
379.4	5.0444E-08
379.6	5.5471E-08
379.8	6.0998E-08
380	6.6822E-08
380.2	7.1644E-08
380.4	7.6813E-08
380.6	8.2356E-08
380.8	8.8299E-08
381	9.4671E-08
381.2	1.015E-07
381.4	1.0883E-07
381.6	1.1668E-07
381.8	1.251E-07
382	1.2554E-07
382.2	1.2463E-07
382.4	1.2373E-07
382.6	1.2283E-07
382.8	1.2194E-07
383	1.2106E-07
383.2	1.2018E-07
383.4	1.1931E-07
383.6	1.1844E-07
383.8	1.1759E-07
384	1.167E-07
384.2	1.1581E-07
384.4	1.1492E-07
384.6	1.1404E-07
384.8	1.1317E-07
385	1.123E-07
385.2	1.1144E-07
385.4	1.1059E-07
385.6	1.0974E-07
385.8	1.089E-07
386	1.0771E-07
386.2	1.0628E-07
386.4	1.0487E-07
386.6	1.0347E-07
386.8	1.021E-07
387	1.0074E-07
387.2	9.9402E-08
387.4	9.8081E-08
387.6	9.6778E-08
387.8	9.5492E-08
388	9.5936E-08
388.2	9.8484E-08
388.4	1.011E-07
388.6	1.0379E-07
388.8	1.0654E-07
389	1.0937E-07
389.2	1.1228E-07
389.4	1.1526E-07
389.6	1.1832E-07
389.8	1.2147E-07
390	1.2444E-07
390.2	1.2612E-07
390.4	1.2783E-07
390.6	1.2956E-07
390.8	1.3131E-07
391	1.3309E-07
391.2	1.3489E-07
391.4	1.3672E-07
391.6	1.3857E-07
391.8	1.4044E-07
392	1.3955E-07
392.2	1.3815E-07
392.4	1.3677E-07
392.6	1.354E-07
392.8	1.3405E-07
393	1.3271E-07
393.2	1.3139E-07
393.4	1.3007E-07
393.6	1.2877E-07
393.8	1.2749E-07
394	1.2706E-07
394.2	1.2698E-07
394.4	1.269E-07
394.6	1.2681E-07
