Typical Measured Spectrum of Semrock FF505/606-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	0.00497
270.2	0.00501
270.4	0.00505
270.6	0.0051
270.8	0.00514
271.0	0.00518
271.2	0.00522
271.4	0.00527
271.6	0.00531
271.8	0.00536
272.0	0.0054
272.2	0.00545
272.4	0.00549
272.6	0.00554
272.8	0.00558
273.0	0.00546
273.2	0.00533
273.4	0.00521
273.6	0.00509
273.8	0.00498
274.0	0.00487
274.2	0.00476
274.4	0.00465
274.6	0.00454
274.8	0.00444
275.0	0.00434
275.2	0.00418
275.4	0.00403
275.6	0.00389
275.8	0.00374
276.0	0.00361
276.2	0.00348
276.4	0.00335
276.6	0.00323
276.8	0.00312
277.0	0.00317
277.2	0.00322
277.4	0.00327
277.6	0.00332
277.8	0.00338
278.0	0.00343
278.2	0.00348
278.4	0.00354
278.6	0.0036
278.8	0.00365
279.0	0.00371
279.2	0.00377
279.4	0.00383
279.6	0.00389
279.8	0.00395
280.0	0.00397
280.2	0.00399
280.4	0.00401
280.6	0.00403
280.8	0.00405
281.0	0.00408
281.2	0.0041
281.4	0.00412
281.6	0.00414
281.8	0.00416
282.0	0.00418
282.2	0.00421
282.4	0.00423
282.6	0.00425
282.8	0.00428
283.0	0.00431
283.2	0.00435
283.4	0.00439
283.6	0.00443
283.8	0.00447
284.0	0.0045
284.2	0.00454
284.4	0.00458
284.6	0.00462
284.8	0.00466
285.0	0.0047
285.2	0.00474
285.4	0.00478
285.6	0.00482
285.8	0.00488
286.0	0.00494
286.2	0.00501
286.4	0.00507
286.6	0.00514
286.8	0.00521
287.0	0.00528
287.2	0.00535
287.4	0.00542
287.6	0.00549
287.8	0.00556
288.0	0.00564
288.2	0.00571
288.4	0.00579
288.6	0.00587
288.8	0.00594
289.0	0.00601
289.2	0.00609
289.4	0.00616
289.6	0.00624
289.8	0.00632
290.0	0.00639
290.2	0.00647
290.4	0.00655
290.6	0.00664
290.8	0.00672
291.0	0.0068
291.2	0.00688
291.4	0.00697
291.6	0.00706
291.8	0.00706
292.0	0.00704
292.2	0.00701
292.4	0.00699
292.6	0.00697
292.8	0.00695
293.0	0.00693
293.2	0.00691
293.4	0.00689
293.6	0.00687
293.8	0.00685
294.0	0.00682
294.2	0.0068
294.4	0.00678
294.6	0.00676
294.8	0.00674
295.0	0.00672
295.2	0.00645
295.4	0.00596
295.6	0.00562
295.8	0.00533
296.0	0.00514
296.2	0.00512
296.4	0.0051
296.6	0.00507
296.8	0.00508
297.0	0.00513
297.2	0.00532
297.4	0.00544
297.6	0.00552
297.8	0.00551
298.0	0.00573
298.2	0.00594
298.4	0.00656
298.6	0.00717
298.8	0.00789
299.0	0.00836
299.2	0.00867
299.4	0.00875
299.6	0.00843
299.8	0.00817
300.0	0.00791
300.2	0.00771
300.4	0.00768
300.6	0.00742
300.8	0.00782
301.0	0.00805
301.2	0.00845
301.4	0.00902
301.6	0.00998
301.8	0.01137
302.0	0.01337
302.2	0.0159
302.4	0.01818
302.6	0.01965
302.8	0.02098
303.0	0.02152
303.2	0.02189
303.4	0.023
303.6	0.02557
303.8	0.03037
304.0	0.03868
304.2	0.05141
304.4	0.06859
304.6	0.08884
304.8	0.10678
305.0	0.10092
305.2	0.09905
305.4	0.11431
305.6	0.12433
305.8	0.1322
306.0	0.14113
306.2	0.15064
306.4	0.15755
306.6	0.1551
306.8	0.14075
307.0	0.11562
307.2	0.08321
307.4	0.0535
307.6	0.0326
307.8	0.02105
308.0	0.01506
308.2	0.01241
308.4	0.011
308.6	0.01023
308.8	0.01005
309.0	0.00969
309.2	0.01008
309.4	0.01001
309.6	0.01039
309.8	0.01096
310.0	0.01151
310.2	0.01211
310.4	0.01331
310.6	0.01494
310.8	0.01663
311.0	0.01878
311.2	0.02181
311.4	0.02778
311.6	0.03644
311.8	0.04807
312.0	0.06114
312.2	0.07149
312.4	0.07554
312.6	0.07105
312.8	0.06115
313.0	0.04788
313.2	0.03619
313.4	0.02823
313.6	0.02384
313.8	0.02201
314.0	0.02087
314.2	0.02056
314.4	0.02092
314.6	0.02191
314.8	0.02459
315.0	0.02974
315.2	0.03811
315.4	0.04843
315.6	0.05677
315.8	0.06125
316.0	0.06214
316.2	0.05853
316.4	0.04978
316.6	0.03953
316.8	0.03064
317.0	0.02486
317.2	0.02106
317.4	0.01912
317.6	0.01828
317.8	0.01797
318.0	0.018
318.2	0.01832
318.4	0.0189
318.6	0.02009
318.8	0.02229
319.0	0.02572
319.2	0.0307
319.4	0.03851
319.6	0.04745
319.8	0.05573
320.0	0.0619
320.2	0.06596
320.4	0.06683
320.6	0.06496
320.8	0.06196
321.0	0.05956
321.2	0.05991
321.4	0.06439
321.6	0.07504
321.8	0.09199
322.0	0.1155
322.2	0.14022
322.4	0.16229
322.6	0.18222
322.8	0.19879
323.0	0.21182
323.2	0.21891
323.4	0.22054
323.6	0.22059
323.8	0.22496
324.0	0.23824
324.2	0.26089
324.4	0.29627
324.6	0.34093
324.8	0.38199
325.0	0.4022
325.2	0.40087
325.4	0.37771
325.6	0.33422
325.8	0.27638
326.0	0.21721
326.2	0.17153
326.4	0.14326
326.6	0.13109
326.8	0.12913
327.0	0.13595
327.2	0.15289
327.4	0.17938
327.6	0.21616
327.8	0.26412
328.0	0.32198
328.2	0.3833
328.4	0.44185
328.6	0.49139
328.8	0.52417
329.0	0.53887
329.2	0.53164
329.4	0.50749
329.6	0.47246
329.8	0.43201
330.0	0.38951
330.2	0.34799
330.4	0.30859
330.6	0.27353
330.8	0.24108
331.0	0.21241
331.2	0.18847
331.4	0.16953
331.6	0.1563
331.8	0.14791
332.0	0.1448
332.2	0.14706
332.4	0.15514
332.6	0.16967
332.8	0.19277
333.0	0.22364
333.2	0.2632
333.4	0.30775
333.6	0.35253
333.8	0.39082
334.0	0.41651
334.2	0.42631
334.4	0.41959
334.6	0.39832
334.8	0.36449
335.0	0.3258
335.2	0.28807
335.4	0.25614
335.6	0.23112
335.8	0.21347
336.0	0.20306
336.2	0.19785
336.4	0.19772
336.6	0.20349
336.8	0.2161
337.0	0.23784
337.2	0.27263
337.4	0.32165
337.6	0.38024
337.8	0.43805
338.0	0.48179
338.2	0.5023
338.4	0.4994
338.6	0.47305
338.8	0.42517
339.0	0.35844
339.2	0.28523
339.4	0.21932
339.6	0.16966
339.8	0.13497
340.0	0.1119
340.2	0.09716
340.4	0.08851
340.6	0.08389
340.8	0.08215
341.0	0.08257
341.2	0.08488
341.4	0.08828
341.6	0.09305
341.8	0.09728
342.0	0.10117
342.2	0.10387
342.4	0.10518
342.6	0.10462
342.8	0.10269
343.0	0.09987
343.2	0.09651
343.4	0.0933
343.6	0.09066
343.8	0.09049
344.0	0.09222
344.2	0.09729
344.4	0.10617
344.6	0.12084
344.8	0.14181
345.0	0.1678
345.2	0.19466
345.4	0.21884
345.6	0.23514
345.8	0.24323
346.0	0.24022
346.2	0.22714
346.4	0.20445
346.6	0.17576
346.8	0.14543
347.0	0.11968
347.2	0.09944
347.4	0.08528
347.6	0.07584
347.8	0.06978
348.0	0.06624
348.2	0.06519
348.4	0.06562
348.6	0.06792
348.8	0.07203
349.0	0.07835
349.2	0.08698
349.4	0.09916
349.6	0.11599
349.8	0.1386
350.0	0.16903
350.2	0.2082
350.4	0.25707
350.6	0.31057
350.8	0.3646
351.0	0.41359
351.2	0.45082
351.4	0.46932
351.6	0.4731
351.8	0.46003
352.0	0.43099
352.2	0.39293
352.4	0.35083
352.6	0.31152
352.8	0.27826
353.0	0.25086
353.2	0.22876
353.4	0.21199
353.6	0.19973
353.8	0.19128
354.0	0.1862
354.2	0.18455
354.4	0.18658
354.6	0.19252
354.8	0.20287
355.0	0.21968
355.2	0.2433
355.4	0.27653
355.6	0.31943
355.8	0.37444
356.0	0.43641
356.2	0.49944
356.4	0.55456
356.6	0.59596
356.8	0.61651
357.0	0.61633
357.2	0.59591
357.4	0.55695
357.6	0.50343
357.8	0.44098
358.0	0.38131
358.2	0.32972
358.4	0.2882
358.6	0.25675
358.8	0.23412
359.0	0.21975
359.2	0.21167
359.4	0.20854
359.6	0.21072
359.8	0.21751
360.0	0.22936
360.2	0.24606
360.4	0.26877
360.6	0.29656
360.8	0.32907
361.0	0.36173
361.2	0.39194
361.4	0.41649
361.6	0.43313
361.8	0.44149
362.0	0.4376
362.2	0.42375
362.4	0.40272
362.6	0.37652
362.8	0.35038
363.0	0.3255
363.2	0.30404
363.4	0.2882
363.6	0.27794
363.8	0.27209
364.0	0.2706
364.2	0.27472
364.4	0.28416
364.6	0.29807
364.8	0.31846
365.0	0.34422
365.2	0.37689
365.4	0.41592
365.6	0.45862
365.8	0.50657
366.0	0.55749
366.2	0.6054
366.4	0.65196
366.6	0.69574
366.8	0.73151
367.0	0.76226
367.2	0.78305
367.4	0.80054
367.6	0.8127
367.8	0.81903
368.0	0.8233
368.2	0.8244
368.4	0.82473
368.6	0.82515
368.8	0.82627
369.0	0.82386
369.2	0.82203
369.4	0.82012
369.6	0.81823
369.8	0.81491
370.0	0.81451
370.2	0.81559
370.4	0.81884
370.6	0.82218
370.8	0.8305
371.0	0.83993
371.2	0.8477
371.4	0.85665
371.6	0.86655
371.8	0.87489
372.0	0.88077
372.2	0.88433
372.4	0.88554
372.6	0.8846
372.8	0.88106
373.0	0.87572
373.2	0.86949
373.4	0.86284
373.6	0.85634
373.8	0.85113
374.0	0.84927
374.2	0.84603
374.4	0.8472
374.6	0.84856
374.8	0.8496
375.0	0.85178
375.2	0.85295
375.4	0.8529
375.6	0.85111
375.8	0.8448
376.0	0.83421
376.2	0.82057
376.4	0.80098
376.6	0.77685
376.8	0.74994
377.0	0.72086
377.2	0.68777
377.4	0.65247
377.6	0.61606
377.8	0.58132
378.0	0.54742
378.2	0.51282
378.4	0.48158
378.6	0.45244
378.8	0.42598
379.0	0.40132
379.2	0.38035
379.4	0.36131
379.6	0.34545
379.8	0.32988
380.0	0.31928
380.2	0.31018
380.4	0.30336
380.6	0.29885
380.8	0.29627
381.0	0.29502
381.2	0.29552
381.4	0.29756
381.6	0.29902
381.8	0.29923
382.0	0.30051
382.2	0.29917
382.4	0.29689
382.6	0.29228
382.8	0.28568
383.0	0.27681
383.2	0.26674
383.4	0.25529
383.6	0.24249
383.8	0.22961
384.0	0.21751
384.2	0.20622
384.4	0.19646
384.6	0.18788
384.8	0.18117
385.0	0.17622
385.2	0.17284
385.4	0.17107
385.6	0.172
385.8	0.17536
386.0	0.18016
386.2	0.18824
386.4	0.19999
386.6	0.21583
386.8	0.23654
387.0	0.26367
387.2	0.29926
387.4	0.34483
387.6	0.39797
387.8	0.45409
388.0	0.51247
388.2	0.56519
388.4	0.61128
388.6	0.6454
388.8	0.66441
389.0	0.67257
389.2	0.66417
389.4	0.64393
389.6	0.61122
389.8	0.57284
390.0	0.53236
390.2	0.4944
390.4	0.46136
390.6	0.432
390.8	0.41095
391.0	0.39471
391.2	0.38347
391.4	0.37653
391.6	0.37486
391.8	0.37672
392.0	0.38303
392.2	0.39271
392.4	0.40473
392.6	0.42063
392.8	0.43916
393.0	0.45861
393.2	0.47814
393.4	0.49963
393.6	0.51795
393.8	0.53548
394.0	0.55045
394.2	0.56321
394.4	0.57068
394.6	0.57577
394.8	0.57634
395.0	0.57387
395.2	0.56663
395.4	0.55614
395.6	0.54181
395.8	0.52641
396.0	0.50742
396.2	0.48782
396.4	0.46797
396.6	0.44667
396.8	0.42636
397.0	0.40599
397.2	0.38792
397.4	0.37032
397.6	0.35454
397.8	0.34111
398.0	0.33081
398.2	0.32212
398.4	0.31597
398.6	0.31421
398.8	0.31435
399.0	0.31805
399.2	0.32665
399.4	0.33863
399.6	0.35683
399.8	0.3803
400.0	0.40948
400.2	0.44601
400.4	0.48799
400.6	0.53486
400.8	0.58285
401.0	0.62976
401.2	0.67174
401.4	0.70742
401.6	0.73471
401.8	0.75271
402.0	0.76004
402.2	0.75713
402.4	0.74183
402.6	0.71804
402.8	0.68822
403.0	0.65456
403.2	0.61765
403.4	0.58292
403.6	0.54891
403.8	0.51734
404.0	0.49014
404.2	0.46497
404.4	0.44234
404.6	0.42481
404.8	0.40924
405.0	0.39694
405.2	0.38609
405.4	0.37873
405.6	0.37433
405.8	0.37108
406.0	0.36959
406.2	0.37116
406.4	0.37484
406.6	0.38232
406.8	0.39311
407.0	0.40936
407.2	0.43234
407.4	0.4606
407.6	0.49315
407.8	0.52744
408.0	0.56152
408.2	0.59058
408.4	0.61556
408.6	0.6352
408.8	0.6458
409.0	0.65
409.2	0.64421
409.4	0.62959
409.6	0.607
409.8	0.57893
410.0	0.54701
410.2	0.51163
410.4	0.47587
410.6	0.43981
410.8	0.40544
411.0	0.37127
411.2	0.33679
411.4	0.30394
411.6	0.27397
411.8	0.24685
412.0	0.22291
412.2	0.20251
412.4	0.18588
412.6	0.17235
412.8	0.16204
413.0	0.1542
413.2	0.14935
413.4	0.14751
413.6	0.1475
413.8	0.15057
414.0	0.15676
414.2	0.16622
414.4	0.18028
414.6	0.19842
414.8	0.22035
415.0	0.25615
415.2	0.28455
415.4	0.31212
415.6	0.33853
415.8	0.36286
416.0	0.38291
416.2	0.39903
416.4	0.41075
416.6	0.41841
416.8	0.42075
417.0	0.42066
417.2	0.41739
417.4	0.41444
417.6	0.41427
417.8	0.41563
418.0	0.4229
418.2	0.43412
418.4	0.45041
418.6	0.47095
418.8	0.49301
419.0	0.51379
419.2	0.53266
419.4	0.54892
419.6	0.56255
419.8	0.57297
420.0	0.57812
420.2	0.57884
420.4	0.57482
420.6	0.56556
420.8	0.55283
421.0	0.53843
421.2	0.52362
421.4	0.50597
421.6	0.48958
421.8	0.47205
422.0	0.45313
422.2	0.43326
422.4	0.41403
422.6	0.39478
422.8	0.37926
423.0	0.3673
423.2	0.36119
423.4	0.36216
423.6	0.37033
423.8	0.38492
424.0	0.4036
424.2	0.42363
424.4	0.44372
424.6	0.46232
424.8	0.47747
425.0	0.49873
425.2	0.51477
425.4	0.51917
425.6	0.52068
425.8	0.51819
426.0	0.514
426.2	0.50986
426.4	0.5055
426.6	0.50233
426.8	0.49881
427.0	0.49278
427.2	0.4846
427.4	0.47596
427.6	0.46337
427.8	0.44695
428.0	0.43026
428.2	0.41181
428.4	0.39373
428.6	0.37509
428.8	0.35833
429.0	0.3418
429.2	0.3269
429.4	0.31447
429.6	0.30349
429.8	0.29365
430.0	0.28461
430.2	0.27808
430.4	0.27056
430.6	0.26508
430.8	0.26016
431.0	0.25754
431.2	0.25887
431.4	0.26565
431.6	0.27498
431.8	0.28589
432.0	0.29392
432.2	0.29897
432.4	0.30053
432.6	0.29967
432.8	0.29691
433.0	0.29159
433.2	0.28552
433.4	0.27853
433.6	0.26963
433.8	0.26135
434.0	0.28075
