Typical Measured Spectrum of Semrock FF01-457/530/628 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	2.5249e-06
270.2	2.5109e-06
270.4	2.4971e-06
270.6	2.4833e-06
270.8	2.4696e-06
271.0	2.4559e-06
271.2	2.4423e-06
271.4	2.4289e-06
271.6	2.4154e-06
271.8	2.4021e-06
272.0	2.5505e-06
272.2	2.708e-06
272.4	2.8753e-06
272.6	3.0529e-06
272.8	3.2415e-06
273.0	3.4417e-06
273.2	3.6543e-06
273.4	3.88e-06
273.6	4.1197e-06
273.8	4.3742e-06
274.0	4.61e-06
274.2	4.8489e-06
274.4	5.1002e-06
274.6	5.3645e-06
274.8	5.6426e-06
275.0	5.935e-06
275.2	6.2426e-06
275.4	6.5661e-06
275.6	6.9065e-06
275.8	7.2644e-06
276.0	7.6711e-06
276.2	8.1238e-06
276.4	8.6032e-06
276.6	9.1108e-06
276.8	9.6484e-06
277.0	1.0218e-05
277.2	1.0821e-05
277.4	1.1459e-05
277.6	1.2135e-05
277.8	1.2852e-05
278.0	1.2455e-05
278.2	1.038e-05
278.4	8.6498e-06
278.6	7.2083e-06
278.8	6.0071e-06
279.0	5.006e-06
279.2	4.1718e-06
279.4	3.4765e-06
279.6	2.8972e-06
279.8	2.4144e-06
280.0	2.0342e-06
280.2	1.9285e-06
280.4	1.8282e-06
280.6	1.7332e-06
280.8	1.6431e-06
281.0	1.5577e-06
281.2	1.4767e-06
281.4	1.4e-06
281.6	1.3272e-06
281.8	1.2582e-06
282.0	1.2334e-06
282.2	1.2103e-06
282.4	1.1877e-06
282.6	1.1655e-06
282.8	1.1437e-06
283.0	1.1223e-06
283.2	1.1013e-06
283.4	1.0807e-06
283.6	1.0604e-06
283.8	1.0406e-06
284.0	1.0195e-06
284.2	9.984e-07
284.4	9.777e-07
284.6	9.5744e-07
284.8	9.3759e-07
285.0	9.1815e-07
285.2	8.9912e-07
285.4	8.8048e-07
285.6	8.6222e-07
285.8	8.4435e-07
286.0	8.8029e-07
286.2	9.6503e-07
286.4	1.0579e-06
286.6	1.1598e-06
286.8	1.2714e-06
287.0	1.3938e-06
287.2	1.528e-06
287.4	1.6751e-06
287.6	1.8363e-06
287.8	2.0131e-06
288.0	2.0671e-06
288.2	1.8845e-06
288.4	1.7181e-06
288.6	1.5664e-06
288.8	1.4281e-06
289.0	1.3019e-06
289.2	1.187e-06
289.4	1.0822e-06
289.6	9.8659e-07
289.8	8.9946e-07
290.0	8.2165e-07
290.2	7.691e-07
290.4	7.1991e-07
290.6	6.7386e-07
290.8	6.3076e-07
291.0	5.9042e-07
291.2	5.5265e-07
291.4	5.173e-07
291.6	4.8422e-07
291.8	4.5325e-07
292.0	4.4313e-07
292.2	4.3352e-07
292.4	4.2412e-07
292.6	4.1492e-07
292.8	4.0593e-07
293.0	3.9713e-07
293.2	3.8852e-07
293.4	3.8009e-07
293.6	3.7185e-07
293.8	3.6379e-07
294.0	3.5757e-07
294.2	3.519e-07
294.4	3.4631e-07
294.6	3.4082e-07
294.8	3.3542e-07
295.0	3.301e-07
295.2	3.2486e-07
295.4	3.1971e-07
295.6	3.1464e-07
295.8	3.0965e-07
296.0	3.0582e-07
296.2	3.0278e-07
296.4	2.9977e-07
296.6	2.968e-07
296.8	2.9385e-07
297.0	2.9093e-07
297.2	2.8805e-07
297.4	2.8519e-07
297.6	2.8235e-07
297.8	2.7955e-07
298.0	2.7653e-07
298.2	2.7316e-07
298.4	2.6984e-07
298.6	2.6655e-07
298.8	2.633e-07
299.0	2.601e-07
299.2	2.5693e-07
299.4	2.538e-07
299.6	2.5071e-07
299.8	2.4766e-07
300.0	2.4464e-07
300.2	2.4171e-07
300.4	2.3881e-07
300.6	2.3594e-07
300.8	2.3311e-07
301.0	2.3032e-07
301.2	2.2756e-07
301.4	2.2483e-07
301.6	2.2213e-07
301.8	2.1946e-07
302.0	2.3093e-07
302.2	2.4347e-07
302.4	2.5669e-07
302.6	2.7063e-07
302.8	2.8532e-07
303.0	3.0082e-07
303.2	3.1715e-07
303.4	3.3437e-07
303.6	3.5253e-07
303.8	3.7167e-07
304.0	4.4083e-07
304.2	5.4105e-07
304.4	6.6405e-07
304.6	8.1501e-07
304.8	1.0003e-06
305.0	1.2277e-06
305.2	1.5068e-06
305.4	1.8493e-06
305.6	2.2698e-06
305.8	2.7858e-06
306.0	2.5647e-06
306.2	1.9173e-06
306.4	1.4334e-06
306.6	1.0716e-06
306.8	8.0108e-07
307.0	5.9888e-07
307.2	4.4771e-07
307.4	3.347e-07
307.6	2.5022e-07
307.8	1.8706e-07
308.0	1.679e-07
308.2	2.0058e-07
308.4	2.3963e-07
308.6	2.8628e-07
308.8	3.4202e-07
309.0	4.086e-07
309.2	4.8814e-07
309.4	5.8318e-07
309.6	6.9671e-07
309.8	8.3234e-07
310.0	9.8405e-07
310.2	1.0591e-06
310.4	1.1398e-06
310.6	1.2266e-06
310.8	1.3201e-06
311.0	1.4208e-06
311.2	1.5291e-06
311.4	1.6456e-06
311.6	1.771e-06
311.8	1.906e-06
312.0	1.8905e-06
312.2	1.8697e-06
312.4	1.849e-06
312.6	1.8286e-06
312.8	1.8084e-06
313.0	1.7885e-06
313.2	1.7687e-06
313.4	1.7492e-06
313.6	1.7299e-06
313.8	1.7108e-06
314.0	1.6518e-06
314.2	1.5837e-06
314.4	1.5185e-06
314.6	1.4559e-06
314.8	1.3959e-06
315.0	1.3384e-06
315.2	1.2833e-06
315.4	1.2304e-06
315.6	1.1797e-06
315.8	1.1311e-06
316.0	9.8295e-07
316.2	7.9777e-07
316.4	6.4748e-07
316.6	5.255e-07
316.8	4.265e-07
317.0	3.4615e-07
317.2	2.8094e-07
317.4	2.2801e-07
317.6	1.8505e-07
317.8	1.5019e-07
318.0	1.4419e-07
318.2	1.7808e-07
318.4	2.1993e-07
318.6	2.7163e-07
318.8	3.3547e-07
319.0	4.1432e-07
319.2	5.117e-07
319.4	6.3197e-07
319.6	7.8051e-07
319.8	9.6396e-07
320.0	1.1597e-06
320.2	1.1285e-06
320.4	1.0981e-06
320.6	1.0685e-06
320.8	1.0398e-06
321.0	1.0118e-06
321.2	9.8453e-07
321.4	9.5802e-07
321.6	9.3222e-07
321.8	9.0712e-07
322.0	7.5564e-07
322.2	6.2325e-07
322.4	5.1405e-07
322.6	4.2399e-07
322.8	3.497e-07
323.0	2.8843e-07
323.2	2.379e-07
323.4	1.9622e-07
