Typical Measured Spectrum of Semrock FF01-407/494/576 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	2.8258e-06
270.2	2.9975e-06
270.4	3.1795e-06
270.6	3.3726e-06
270.8	3.5775e-06
271.0	3.7948e-06
271.2	4.0253e-06
271.4	4.2698e-06
271.6	4.5291e-06
271.8	4.8042e-06
272.0	4.4533e-06
272.2	4.1281e-06
272.4	3.8266e-06
272.6	3.5471e-06
272.8	3.288e-06
273.0	3.0479e-06
273.2	2.8253e-06
273.4	2.6189e-06
273.6	2.4276e-06
273.8	2.2503e-06
274.0	2.3784e-06
274.2	2.6031e-06
274.4	2.8489e-06
274.6	3.1179e-06
274.8	3.4124e-06
275.0	3.7347e-06
275.2	4.0874e-06
275.4	4.4734e-06
275.6	4.8958e-06
275.8	5.3582e-06
276.0	5.1966e-06
276.2	4.6174e-06
276.4	4.1028e-06
276.6	3.6456e-06
276.8	3.2393e-06
277.0	2.8783e-06
277.2	2.5576e-06
277.4	2.2725e-06
277.6	2.0193e-06
277.8	1.7942e-06
278.0	1.7869e-06
278.2	2.1609e-06
278.4	2.6132e-06
278.6	3.1602e-06
278.8	3.8218e-06
279.0	4.6217e-06
279.2	5.5892e-06
279.4	6.7591e-06
279.6	8.174e-06
279.8	9.885e-06
280.0	1.1714e-05
280.2	1.1156e-05
280.4	1.0624e-05
280.6	1.0118e-05
280.8	9.6356e-06
281.0	9.1764e-06
281.2	8.7391e-06
281.4	8.3227e-06
281.6	7.9261e-06
281.8	7.5483e-06
282.0	6.2421e-06
282.2	5.1394e-06
282.4	4.2315e-06
282.6	3.484e-06
282.8	2.8686e-06
283.0	2.3618e-06
283.2	1.9446e-06
283.4	1.6011e-06
283.6	1.3182e-06
283.8	1.0854e-06
284.0	1.2744e-06
284.2	1.6737e-06
284.4	2.1983e-06
284.6	2.8872e-06
284.8	3.7919e-06
285.0	4.9803e-06
285.2	6.541e-06
285.4	8.5909e-06
285.6	1.1283e-05
285.8	1.4819e-05
286.0	1.6053e-05
286.2	1.4902e-05
286.4	1.3834e-05
286.6	1.2842e-05
286.8	1.1921e-05
287.0	1.1066e-05
287.2	1.0272e-05
287.4	9.5359e-06
287.6	8.8521e-06
287.8	8.2173e-06
288.0	7.6567e-06
288.2	7.1832e-06
288.4	6.739e-06
288.6	6.3222e-06
288.8	5.9312e-06
289.0	5.5644e-06
289.2	5.2203e-06
289.4	4.8975e-06
289.6	4.5946e-06
289.8	4.3105e-06
290.0	3.9904e-06
290.2	3.1346e-06
290.4	2.4623e-06
290.6	1.9342e-06
290.8	1.5194e-06
291.0	1.1935e-06
291.2	9.3754e-07
291.4	7.3647e-07
291.6	5.7851e-07
291.8	4.5444e-07
292.0	5.1764e-07
292.2	5.9297e-07
292.4	6.7927e-07
292.6	7.7812e-07
292.8	8.9136e-07
293.0	1.0211e-06
293.2	1.1697e-06
293.4	1.3399e-06
293.6	1.5349e-06
293.8	1.7583e-06
294.0	1.5795e-06
294.2	1.3276e-06
294.4	1.1158e-06
294.6	9.3783e-07
294.8	7.8824e-07
295.0	6.6251e-07
295.2	5.5683e-07
295.4	4.6801e-07
295.6	3.9335e-07
295.8	3.3061e-07
296.0	3.0582e-07
296.2	3.0278e-07
296.4	2.9977e-07
296.6	2.968e-07
296.8	2.9385e-07
297.0	2.9093e-07
297.2	2.8805e-07
297.4	2.8519e-07
297.6	2.8235e-07
297.8	2.7955e-07
298.0	2.7653e-07
298.2	2.7316e-07
298.4	2.6984e-07
298.6	2.6655e-07
298.8	2.633e-07
299.0	2.601e-07
299.2	2.5693e-07
299.4	2.538e-07
299.6	2.5071e-07
299.8	2.4766e-07
300.0	2.4464e-07
300.2	2.4171e-07
300.4	2.3881e-07
300.6	2.3594e-07
300.8	2.3311e-07
301.0	2.3032e-07
301.2	2.2756e-07
301.4	2.2483e-07
301.6	2.2213e-07
301.8	2.1946e-07
302.0	2.1619e-07
302.2	2.1295e-07
302.4	2.0976e-07
302.6	2.0661e-07
302.8	2.0351e-07
303.0	2.0046e-07
303.2	1.9745e-07
303.4	1.9449e-07
303.6	1.9157e-07
303.8	1.887e-07
304.0	2.2219e-07
304.2	2.7553e-07
304.4	3.4168e-07
304.6	4.2372e-07
304.8	5.2545e-07
305.0	6.516e-07
305.2	8.0804e-07
305.4	1.002e-06
305.6	1.2426e-06
305.8	1.5409e-06
306.0	1.6459e-06
306.2	1.5777e-06
306.4	1.5125e-06
306.6	1.4499e-06
306.8	1.3899e-06
307.0	1.3324e-06
307.2	1.2772e-06
307.4	1.2244e-06
307.6	1.1737e-06
307.8	1.1251e-06
308.0	1.0526e-06
308.2	9.4801e-07
308.4	8.5378e-07
308.6	7.6892e-07
308.8	6.9249e-07
309.0	6.2366e-07
309.2	5.6167e-07
309.4	5.0584e-07
309.6	4.5556e-07
309.8	4.1028e-07
310.0	3.8284e-07
310.2	4.9155e-07
310.4	6.3113e-07
310.6	8.1035e-07
310.8	1.0405e-06
311.0	1.3359e-06
311.2	1.7153e-06
311.4	2.2023e-06
311.6	2.8277e-06
311.8	3.6307e-06
312.0	2.9879e-06
312.2	2.4195e-06
312.4	1.9593e-06
312.6	1.5866e-06
312.8	1.2848e-06
313.0	1.0404e-06
313.2	8.4249e-07
313.4	6.8223e-07
313.6	5.5246e-07
313.8	4.4737e-07
314.0	3.9173e-07
314.2	3.5088e-07
314.4	3.1429e-07
314.6	2.8152e-07
314.8	2.5216e-07
315.0	2.2586e-07
315.2	2.0231e-07
315.4	1.8121e-07
315.6	1.6232e-07
315.8	1.4539e-07
316.0	1.3859e-07
316.2	1.3794e-07
316.4	1.373e-07
316.6	1.3666e-07
316.8	1.3602e-07
317.0	1.3539e-07
317.2	1.3476e-07
317.4	1.3413e-07
317.6	1.3351e-07
317.8	1.3288e-07
318.0	1.484e-07
318.2	1.9696e-07
318.4	2.6142e-07
318.6	3.4697e-07
318.8	4.6051e-07
319.0	6.1121e-07
319.2	8.1123e-07
319.4	1.0767e-06
319.6	1.429e-06
319.8	1.8967e-06
320.0	2.4473e-06
320.2	2.5124e-06
320.4	2.5793e-06
320.6	2.648e-06
320.8	2.7185e-06
321.0	2.7908e-06
321.2	2.8651e-06
321.4	2.9414e-06
321.6	3.0197e-06
321.8	3.1001e-06
322.0	2.6279e-06
322.2	2.2005e-06
322.4	1.8427e-06
322.6	1.543e-06
322.8	1.2921e-06
323.0	1.0819e-06
323.2	9.0598e-07
323.4	7.5864e-07
323.6	6.3527e-07
323.8	5.3196e-07
324.0	5.3351e-07
324.2	5.6732e-07
324.4	6.0327e-07
324.6	6.415e-07
324.8	6.8216e-07
325.0	7.2539e-07
325.2	7.7137e-07
325.4	8.2025e-07
325.6	8.7224e-07
325.8	9.2752e-07
326.0	8.3718e-07
326.2	6.6775e-07
326.4	5.3261e-07
326.6	4.2482e-07
326.8	3.3885e-07
327.0	2.7027e-07
327.2	2.1557e-07
327.4	1.7195e-07
327.6	1.3715e-07
327.8	1.0939e-07
328.0	9.9346e-08
328.2	1.1053e-07
328.4	1.2298e-07
328.6	1.3683e-07
328.8	1.5224e-07
329.0	1.6938e-07
329.2	1.8846e-07
329.4	2.0968e-07
329.6	2.3329e-07
329.8	2.5956e-07
330.0	2.8117e-07
330.2	2.4253e-07
330.4	2.092e-07
330.6	1.8044e-07
330.8	1.5564e-07
331.0	1.3425e-07
331.2	1.158e-07
331.4	9.9886e-08
331.6	8.6158e-08
331.8	7.4317e-08
332.0	7.329e-08
332.2	7.2735e-08
332.4	7.2185e-08
332.6	7.1638e-08
332.8	7.1096e-08
333.0	7.0558e-08
333.2	7.0024e-08
333.4	6.9494e-08
333.6	6.8968e-08
333.8	6.8446e-08
334.0	7.6732e-08
334.2	8.9118e-08
334.4	1.035e-07
334.6	1.2021e-07
334.8	1.3962e-07
335.0	1.6216e-07
335.2	1.8834e-07
335.4	2.1874e-07
335.6	2.5405e-07
335.8	2.9506e-07
336.0	3.0202e-07
336.2	2.8416e-07
336.4	2.6736e-07
336.6	2.5155e-07
336.8	2.3667e-07
337.0	2.2268e-07
337.2	2.0951e-07
337.4	1.9712e-07
337.6	1.8547e-07
337.8	1.745e-07
338.0	1.6037e-07
338.2	1.4277e-07
338.4	1.271e-07
338.6	1.1315e-07
338.8	1.0073e-07
339.0	8.9677e-08
339.2	7.9834e-08
339.4	7.1073e-08
339.6	6.3272e-08
339.8	5.6328e-08
340.0	5.0817e-08
340.2	5.0313e-08
340.4	4.9815e-08
340.6	4.9322e-08
340.8	4.8833e-08
341.0	4.8349e-08
341.2	4.7871e-08
341.4	4.7396e-08
341.6	4.6927e-08
341.8	4.6462e-08
342.0	4.6122e-08
342.2	4.5798e-08
342.4	4.5477e-08
342.6	4.5157e-08
342.8	4.484e-08
343.0	4.4525e-08
343.2	4.4212e-08
343.4	4.3902e-08
343.6	4.3593e-08
343.8	4.3287e-08
344.0	4.303e-08
344.2	4.2793e-08
344.4	4.2556e-08
344.6	4.2321e-08
344.8	4.2088e-08
345.0	4.1855e-08
345.2	4.1624e-08
345.4	4.1394e-08
345.6	4.1166e-08
345.8	4.0939e-08
346.0	4.4046e-08
346.2	5.0477e-08
346.4	5.7847e-08
346.6	6.6293e-08
346.8	7.5972e-08
347.0	8.7063e-08
347.2	9.9775e-08
347.4	1.1434e-07
347.6	1.3104e-07
347.8	1.5017e-07
348.0	1.6834e-07
348.2	1.8217e-07
348.4	1.9714e-07
348.6	2.1335e-07
348.8	2.3088e-07
349.0	2.4986e-07
349.2	2.7039e-07
349.4	2.9261e-07
349.6	3.1666e-07
349.8	3.4269e-07
350.0	3.5815e-07
350.2	2.824e-07
350.4	2.2267e-07
350.6	1.7557e-07
350.8	1.3843e-07
351.0	1.0915e-07
351.2	8.6065e-08
351.4	6.7861e-08
351.6	5.3507e-08
351.8	4.2189e-08
352.0	4.6734e-08
352.2	5.3539e-08
352.4	6.1335e-08
352.6	7.0266e-08
352.8	8.0497e-08
353.0	9.2217e-08
353.2	1.0564e-07
353.4	1.2103e-07
353.6	1.3865e-07
353.8	1.5884e-07
354.0	1.661e-07
354.2	1.6821e-07
354.4	1.7035e-07
354.6	1.7252e-07
354.8	1.7471e-07
355.0	1.7693e-07
355.2	1.7918e-07
355.4	1.8146e-07
355.6	1.8377e-07
355.8	1.8611e-07
356.0	1.8225e-07
356.2	1.741e-07
356.4	1.6631e-07
356.6	1.5887e-07
356.8	1.5176e-07
357.0	1.4497e-07
357.2	1.3849e-07
357.4	1.3229e-07
357.6	1.2637e-07
357.8	1.2072e-07
358.0	1.315e-07
358.2	1.7302e-07
358.4	2.2766e-07
358.6	2.9955e-07
358.8	3.9414e-07
359.0	5.1861e-07
359.2	6.8237e-07
359.4	8.9785e-07
359.6	1.1814e-06
359.8	1.5544e-06
360	1.988e-07
360.2	2.0841e-07
360.4	2.1848e-07
360.6	2.2904e-07
360.8	2.4011e-07
361	2.5171e-07
361.2	2.6388e-07
361.4	2.7663e-07
361.6	2.9e-07
361.8	3.0402e-07
362	3.1353e-07
362.2	3.2291e-07
362.4	3.3256e-07
362.6	3.4251e-07
362.8	3.5275e-07
363	3.633e-07
363.2	3.7417e-07
363.4	3.8536e-07
363.6	3.9688e-07
363.8	4.0875e-07
364	4.1647e-07
364.2	4.2292e-07
364.4	4.2948e-07
364.6	4.3614e-07
364.8	4.429e-07
365	4.4977e-07
365.2	4.5674e-07
365.4	4.6382e-07
365.6	4.7101e-07
365.8	4.7831e-07
366	4.7833e-07
366.2	4.7348e-07
366.4	4.6868e-07
366.6	4.6393e-07
366.8	4.5923e-07
367	4.5457e-07
367.2	4.4996e-07
367.4	4.454e-07
367.6	4.4088e-07
367.8	4.3641e-07
368	4.3602e-07
368.2	4.407e-07
368.4	4.4543e-07
368.6	4.5021e-07
368.8	4.5504e-07
369	4.5992e-07
369.2	4.6486e-07
369.4	4.6985e-07
369.6	4.7489e-07
369.8	4.7999e-07
370	4.843e-07
370.2	4.8368e-07
370.4	4.8306e-07
370.6	4.8245e-07
370.8	4.8183e-07
371	4.8122e-07
371.2	4.806e-07
371.4	4.7999e-07
371.6	4.7938e-07
371.8	4.7877e-07
372	4.8168e-07
372.2	4.8499e-07
372.4	4.8832e-07
372.6	4.9167e-07
372.8	4.9505e-07
373	4.9845e-07
373.2	5.0187e-07
373.4	5.0532e-07
373.6	5.0878e-07
373.8	5.1228e-07
374	5.1579e-07
374.2	5.1934e-07
374.4	5.229e-07
374.6	5.3203e-07
374.8	5.4212e-07
375	5.5241e-07
375.2	5.6289e-07
375.4	5.7357e-07
375.6	5.8445e-07
375.8	5.9554e-07
376	6.0684e-07
376.2	6.1835e-07
376.4	6.2827e-07
376.6	6.3268e-07
376.8	6.3713e-07
377	6.416e-07
377.2	6.4611e-07
377.4	6.5065e-07
377.6	6.5522e-07
377.8	6.5982e-07
378	6.6446e-07
378.2	6.6912e-07
378.4	6.7472e-07
378.6	6.8957e-07
378.8	7.0475e-07
379	7.2026e-07
379.2	7.3611e-07
379.4	7.5231e-07
379.6	7.6886e-07
379.8	7.8578e-07
380	8.0308e-07
380.2	8.2075e-07
380.4	8.3881e-07
380.6	8.3405e-07
380.8	8.2786e-07
381	8.2171e-07
381.2	8.1561e-07
381.4	8.0956e-07
381.6	8.0355e-07
381.8	7.9759e-07
382	7.9167e-07
382.2	7.8579e-07
382.4	7.7996e-07
382.6	7.7417e-07
382.8	7.6842e-07
383	7.6749e-07
383.2	7.7279e-07
383.4	7.7812e-07
383.6	7.8349e-07
383.8	7.889e-07
384	7.9435e-07
384.2	7.9983e-07
384.4	8.0535e-07
384.6	8.1091e-07
384.8	8.1651e-07
385.0	9.6852e-07
385.2	4.5364e-07
385.4	2.1881e-07
385.6	3.3208e-07
385.8	5.0399e-07
386.0	7.5375e-07
386.2	1.1102e-06
386.4	1.6352e-06
386.6	1.1722e-06
386.8	8.4025e-07
387.0	9.6845e-07
387.2	1.1216e-06
387.4	1.1529e-06
387.6	1.0273e-06
387.8	9.1539e-07
388.0	1.2986e-06
388.2	1.838e-06
388.4	1.6276e-06
388.6	1.4412e-06
388.8	1.2534e-06
389.0	1.0681e-06
389.2	9.1016e-07
389.4	1.2544e-06
389.6	1.7224e-06
389.8	1.8481e-06
390.0	1.983e-06
390.2	1.8902e-06
390.4	1.5849e-06
390.6	1.329e-06
390.8	4.878e-07
391.0	1.8871e-07
391.2	3.9952e-07
391.4	8.4582e-07
391.6	1.2872e-06
391.8	1.3892e-06
392.0	1.4993e-06
392.2	1.4546e-06
392.4	1.4112e-06
392.6	1.321e-06
392.8	1.2364e-06
393.0	1.2075e-06
393.2	1.2395e-06
393.4	1.2724e-06
393.6	1.4068e-06
393.8	1.5555e-06
394.0	2.1065e-06
394.2	2.8528e-06
394.4	3.1307e-06
