Typical Measured Spectrum of Semrock FF436/514/604-Di01 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Form of data:  Wavelength (nm) <tab> Transmission (0 to 1)	
300	0.0039387
300.2	0.004414834
300.4	0.004948527
300.6	0.005515106
300.8	0.006111506
301	0.0067724
301.2	0.00705712
301.4	0.00735381
301.6	0.00736014
301.8	0.007075361
302	0.0068016
302.2	0.005992412
302.4	0.005279493
302.6	0.004409508
302.8	0.003491367
303	0.0027644
303.2	0.002057725
303.4	0.001531701
303.6	0.001281308
303.8	0.001204555
304	0.0011324
304.2	0.001497977
304.4	0.001981576
304.6	0.002609861
304.8	0.003422358
305	0.0044878
305.2	0.005417972
305.4	0.006540937
305.6	0.007897421
305.8	0.009536143
306	0.0115149
306.2	0.014182249
306.4	0.017467472
306.6	0.021068241
306.8	0.024885123
307	0.0293935
307.2	0.033425188
307.4	0.038009872
307.6	0.043672938
307.8	0.050701624
308	0.0588615
308.2	0.070416388
308.4	0.084239573
308.6	0.10001462
308.8	0.11576846
309	0.1315223
309.2	0.14167774
309.4	0.15183318
309.6	0.1566566
309.8	0.156148
310	0.1556394
310.2	0.14623856
310.4	0.13683772
310.6	0.12530192
310.8	0.11163116
311	0.0979604
311.2	0.084380515
311.4	0.072683158
311.6	0.064359494
311.8	0.058583952
312	0.0533267
312.2	0.052407368
312.4	0.051503884
312.6	0.050714468
312.8	0.050034323
313	0.0493633
313.2	0.046674414
313.4	0.044131995
313.6	0.040595433
313.8	0.036328691
314	0.0325104
314.2	0.027404835
314.4	0.023101069
314.6	0.019269861
314.8	0.015906209
315	0.0131297
315.2	0.010986697
315.4	0.009193471
315.6	0.007903114
315.8	0.006979485
316	0.0061638
316.2	0.006816809
316.4	0.007539
316.6	0.008615966
316.8	0.010175408
317	0.0120171
317.2	0.012949792
317.4	0.013954874
317.6	0.014325677
317.8	0.014009755
318	0.0137008
318.2	0.012504352
318.4	0.011412386
318.6	0.009980129
318.8	0.008362581
319	0.0070072
319.2	0.005137471
319.4	0.003766641
319.6	0.002640533
319.8	0.001769951
320	0.0011864
320.2	0.001012219
320.4	0.00086361
320.6	0.00095494
320.8	0.001368513
321	0.0019612
321.2	0.003700099
321.4	0.006980795
321.6	0.012017723
321.8	0.0188784
322	0.0296557
322.2	0.03918134
322.4	0.051766689
322.6	0.064272237
322.8	0.074989138
323	0.087493
323.2	0.092586358
323.4	0.097976222
323.6	0.100255632
323.8	0.099199907
324	0.0981553
324.2	0.0929785
324.4	0.08807473
324.6	0.08359305
324.8	0.079494867
325	0.0755976
325.2	0.075872967
325.4	0.076149338
325.6	0.078119112
325.8	0.081914459
326	0.0858942
326.2	0.090704007
326.4	0.095783148
326.6	0.10036516
326.8	0.10423868
327	0.1081122
327.2	0.10868664
327.4	0.10926108
327.6	0.1081961
327.8	0.1054917
328	0.1027873
328.2	0.099141279
328.4	0.095624587
328.6	0.09519276
328.8	0.097804209
329	0.1004873
329.2	0.1153497
329.4	0.1302121
329.6	0.14626554
329.8	0.16351002
330	0.1807545
330.2	0.18966762
330.4	0.19858074
330.6	0.20346598
330.8	0.20432334
331	0.2051807
331.2	0.20342042
331.4	0.20166014
331.6	0.198039
331.8	0.192557
332	0.187075
332.2	0.17526756
332.4	0.16346012
332.6	0.1518237
332.8	0.1403583
333	0.1288929
333.2	0.12083286
333.4	0.11277282
333.6	0.10616058
333.8	0.10099614
334	0.0958317
334.2	0.095743359
334.4	0.095655099
334.6	0.10005404
334.8	0.10894012
335	0.1178262
335.2	0.13397048
335.4	0.15011476
335.6	0.16573626
335.8	0.18083498
336	0.1959337
336.2	0.20123154
336.4	0.20652938
336.6	0.20586978
336.8	0.19925274
337	0.1926357
337.2	0.17837442
337.4	0.16411314
337.6	0.1482682
337.8	0.1308396
338	0.113411
338.2	0.093629683
338.4	0.077298653
338.6	0.062066569
338.8	0.048469774
339	0.0378516
339.2	0.02866607
339.4	0.021709612
