lambda_chroma_emD535_30m	chroma_emD535_30m
300.00	-1.890E-06
301.00	-2.009E-06
302.00	-3.980E-07
303.00	2.382E-06
304.00	3.154E-06
305.00	-7.539E-08
306.00	-9.504E-08
307.00	6.070E-06
308.00	-1.865E-06
309.00	1.590E-05
310.00	6.416E-06
311.00	-3.151E-06
312.00	-1.632E-06
313.00	-1.701E-07
314.00	-3.501E-06
315.00	-2.040E-06
316.00	-4.368E-07
317.00	-5.780E-07
318.00	-6.435E-07
319.00	-7.305E-06
320.00	-3.789E-06
321.00	-5.532E-06
322.00	-4.003E-06
323.00	-3.681E-06
324.00	1.442E-06
325.00	-3.057E-06
326.00	5.381E-06
327.00	-1.148E-05
328.00	-1.705E-06
329.00	-7.718E-06
330.00	-1.876E-06
331.00	-8.026E-06
332.00	4.889E-06
333.00	8.135E-07
334.00	5.450E-06
335.00	-1.221E-06
336.00	-2.940E-06
337.00	-4.527E-06
338.00	2.815E-06
339.00	-9.753E-06
340.00	-3.904E-06
341.00	-9.791E-06
342.00	-3.911E-06
343.00	-5.595E-06
344.00	9.646E-07
345.00	-5.540E-06
346.00	-3.863E-06
347.00	-3.440E-06
348.00	-3.841E-06
349.00	-5.533E-06
350.00	-1.689E-06
351.00	-1.202E-05
352.00	-3.967E-06
353.00	-5.750E-06
354.00	-6.386E-06
355.00	1.425E-05
356.00	1.460E-06
357.00	-5.342E-06
358.00	5.537E-06
359.00	1.490E-06
360.00	7.936E-07
361.00	5.507E-06
362.00	-1.440E-06
363.00	-9.634E-06
364.00	5.481E-06
365.00	5.687E-06
366.00	5.889E-06
367.00	-1.763E-05
368.00	-5.924E-06
369.00	-5.630E-06
370.00	8.691E-07
371.00	5.596E-06
372.00	-1.420E-06
373.00	-5.443E-06
374.00	9.991E-06
375.00	-1.494E-06
376.00	-1.304E-06
377.00	-3.213E-06
378.00	-3.788E-06
379.00	-7.854E-06
380.00	8.312E-07
381.00	-1.668E-06
382.00	-1.461E-06
383.00	-7.701E-06
384.00	-1.713E-06
385.00	-3.710E-06
386.00	-3.453E-06
387.00	-2.634E-05
388.00	5.785E-06
389.00	-3.487E-06
390.00	-1.764E-05
391.00	-5.954E-06
392.00	-1.596E-05
393.00	-6.263E-06
394.00	-1.252E-05
395.00	1.835E-06
396.00	-1.652E-06
397.00	-1.238E-05
398.00	9.747E-07
399.00	-1.544E-06
400.00	7.897E-07
401.00	-6.209E-06
402.00	1.011E-05
403.00	-1.760E-06
404.00	1.010E-05
405.00	-4.163E-06
406.00	1.493E-05
407.00	2.905E-05
408.00	-3.877E-06
409.00	-7.901E-06
410.00	-1.312E-05
411.00	1.710E-06
412.00	5.754E-06
413.00	-5.951E-06
414.00	-1.892E-06
415.00	-2.448E-05
416.00	-4.441E-06
417.00	-1.575E-05
418.00	1.495E-06
419.00	-1.676E-05
420.00	-6.384E-06
421.00	1.968E-05
422.00	1.828E-06
423.00	6.474E-06
424.00	7.497E-05
425.00	6.158E-06
426.00	-3.479E-06
427.00	-7.640E-06
428.00	-8.565E-06
429.00	-3.775E-06
430.00	-8.121E-06
431.00	-3.477E-06
432.00	1.966E-05
433.00	-3.237E-06
434.00	-9.773E-07
435.00	-9.041E-07
436.00	-3.815E-06
437.00	1.077E-05
438.00	-8.194E-06
439.00	3.338E-05
440.00	-8.030E-06
441.00	-1.019E-05
442.00	-1.904E-05
443.00	1.536E-05
444.00	1.537E-05
445.00	-5.526E-06
446.00	-1.092E-06
447.00	-1.063E-06
448.00	-1.195E-05
449.00	-1.004E-06
450.00	-3.153E-06
451.00	-3.114E-06
452.00	2.406E-05
453.00	-8.939E-07
454.00	-7.303E-06
455.00	-7.243E-06
456.00	1.660E-06
457.00	-3.730E-06
458.00	-8.261E-06
459.00	1.092E-05
460.00	-3.601E-06
461.00	2.903E-05
462.00	-5.755E-06
463.00	-1.467E-05
464.00	-3.408E-06
465.00	-1.671E-05
466.00	-7.736E-06
467.00	1.111E-05
468.00	-5.401E-06
469.00	2.426E-06
470.00	-1.396E-05
471.00	1.555E-05
472.00	3.280E-05
473.00	-2.955E-06
474.00	-8.375E-06
475.00	1.098E-05
476.00	2.014E-05
477.00	-1.319E-06
478.00	-3.544E-06
479.00	2.010E-05
480.00	-1.191E-06
481.00	-1.153E-06
482.00	2.006E-05
483.00	-9.937E-06
484.00	-5.443E-06
485.00	6.817E-06
486.00	-3.143E-06
487.00	-1.619E-05
488.00	1.129E-05
489.00	4.164E-05
490.00	2.699E-06
491.00	-1.367E-05
492.00	-6.053E-06
493.00	1.104E-05
494.00	6.469E-06
495.00	-1.048E-05
496.00	6.545E-06
497.00	1.113E-05
498.00	-5.767E-06
499.00	2.472E-05
500.00	6.680E-06
501.00	-1.140E-06
502.00	2.262E-06
503.00	-3.317E-06
504.00	-5.511E-06
505.00	2.388E-06
506.00	6.859E-06
507.00	-1.203E-05
508.00	-9.535E-07
509.00	-9.734E-06
510.00	-3.105E-06
511.00	6.977E-06
512.00	2.447E-05
513.00	1.423E-04
514.00	4.338E-04
515.00	1.588E-03
516.00	5.722E-03
517.00	2.209E-02
518.00	9.394E-02
519.00	3.224E-01
520.00	6.112E-01
521.00	7.329E-01
522.00	7.617E-01
523.00	7.726E-01
524.00	7.771E-01
525.00	7.832E-01
526.00	7.997E-01
527.00	8.126E-01
528.00	8.002E-01
529.00	7.649E-01
530.00	7.321E-01
531.00	7.250E-01
532.00	7.410E-01
533.00	7.635E-01
534.00	7.745E-01
535.00	7.684E-01
536.00	7.613E-01
