Typical Measured Spectrum of Semrock FF01-475/64 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	2.196e-06
270.2	2.1856e-06
270.4	2.1752e-06
270.6	2.1649e-06
270.8	2.1546e-06
271.0	2.1444e-06
271.2	2.1342e-06
271.4	2.1241e-06
271.6	2.114e-06
271.8	2.1039e-06
272.0	2.6034e-06
272.2	3.2322e-06
272.4	4.0128e-06
272.6	4.9819e-06
272.8	6.1851e-06
273.0	7.6789e-06
273.2	9.5335e-06
273.4	1.1836e-05
273.6	1.4694e-05
273.8	1.8243e-05
274.0	1.7901e-05
274.2	1.6436e-05
274.4	1.5092e-05
274.6	1.3857e-05
274.8	1.2724e-05
275.0	1.1683e-05
275.2	1.0728e-05
275.4	9.8501e-06
275.6	9.0444e-06
275.8	8.3046e-06
276.0	8.2206e-06
276.2	8.6025e-06
276.4	9.0021e-06
276.6	9.4203e-06
276.8	9.8579e-06
277.0	1.0316e-05
277.2	1.0795e-05
277.4	1.1296e-05
277.6	1.1821e-05
277.8	1.237e-05
278.0	1.2289e-05
278.2	1.1195e-05
278.4	1.0199e-05
278.6	9.2906e-06
278.8	8.4636e-06
279.0	7.7101e-06
279.2	7.0237e-06
279.4	6.3985e-06
279.6	5.8288e-06
279.8	5.3099e-06
280.0	4.8044e-06
280.2	4.0572e-06
280.4	3.4263e-06
280.6	2.8934e-06
280.8	2.4435e-06
281.0	2.0635e-06
281.2	1.7426e-06
281.4	1.4716e-06
281.6	1.2427e-06
281.8	1.0495e-06
282.0	1.0252e-06
282.2	1.0053e-06
282.4	9.8574e-07
282.6	9.6658e-07
282.8	9.4778e-07
283.0	9.2935e-07
283.2	9.1128e-07
283.4	8.9356e-07
283.6	8.7619e-07
283.8	8.5915e-07
284.0	8.4129e-07
284.2	8.2348e-07
284.4	8.0605e-07
284.6	7.8899e-07
284.8	7.7228e-07
285.0	7.5593e-07
285.2	7.3993e-07
285.4	7.2426e-07
285.6	7.0893e-07
285.8	6.9392e-07
286.0	7.2569e-07
286.2	7.9616e-07
286.4	8.7346e-07
286.6	9.5828e-07
286.8	1.0513e-06
287.0	1.1534e-06
287.2	1.2654e-06
287.4	1.3883e-06
287.6	1.5231e-06
287.8	1.671e-06
288.0	1.7355e-06
288.2	1.6516e-06
288.4	1.5717e-06
288.6	1.4957e-06
288.8	1.4234e-06
289.0	1.3545e-06
289.2	1.289e-06
289.4	1.2267e-06
289.6	1.1674e-06
289.8	1.1109e-06
290.0	1.0812e-06
290.2	1.3034e-06
290.4	1.5712e-06
290.6	1.894e-06
290.8	2.2832e-06
291.0	2.7523e-06
291.2	3.3178e-06
291.4	3.9995e-06
291.6	4.8213e-06
291.8	5.812e-06
292.0	5.5739e-06
292.2	5.3015e-06
292.4	5.0423e-06
292.6	4.7958e-06
292.8	4.5614e-06
293.0	4.3384e-06
293.2	4.1263e-06
293.4	3.9246e-06
293.6	3.7327e-06
293.8	3.5503e-06
294.0	3.3614e-06
294.2	3.1783e-06
294.4	3.0051e-06
294.6	2.8414e-06
294.8	2.6866e-06
295.0	2.5403e-06
295.2	2.4019e-06
295.4	2.271e-06
295.6	2.1473e-06
295.8	2.0303e-06
296.0	1.8213e-06
296.2	1.5727e-06
296.4	1.3581e-06
296.6	1.1727e-06
296.8	1.0127e-06
297.0	8.7446e-07
297.2	7.5512e-07
297.4	6.5206e-07
297.6	5.6306e-07
297.8	4.8621e-07
298.0	4.3772e-07
298.2	4.206e-07
298.4	4.0416e-07
298.6	3.8835e-07
298.8	3.7317e-07
299.0	3.5857e-07
299.2	3.4455e-07
299.4	3.3108e-07
299.6	3.1813e-07
299.8	3.0569e-07
300.0	2.9329e-07
300.2	2.7781e-07
300.4	2.6315e-07
300.6	2.4926e-07
300.8	2.3611e-07
301.0	2.2365e-07
301.2	2.1184e-07
301.4	2.0066e-07
301.6	1.9007e-07
301.8	1.8004e-07
302.0	1.8859e-07
302.2	1.987e-07
302.4	2.0935e-07
302.6	2.2058e-07
302.8	2.3241e-07
303.0	2.4487e-07
303.2	2.58e-07
303.4	2.7183e-07
303.6	2.8641e-07
303.8	3.0177e-07
304.0	3.6685e-07
304.2	4.6657e-07
304.4	5.9339e-07
304.6	7.547e-07
304.8	9.5985e-07
305.0	1.2208e-06
305.2	1.5526e-06
305.4	1.9747e-06
305.6	2.5114e-06
305.8	3.1941e-06
306.0	3.3377e-06
306.2	3.0164e-06
306.4	2.726e-06
306.6	2.4635e-06
306.8	2.2263e-06
307.0	2.012e-06
307.2	1.8183e-06
307.4	1.6432e-06
307.6	1.485e-06
307.8	1.342e-06
308.0	1.3384e-06
308.2	1.557e-06
308.4	1.8114e-06
308.6	2.1074e-06
308.8	2.4517e-06
309.0	2.8522e-06
309.2	3.3182e-06
309.4	3.8603e-06
309.6	4.4911e-06
309.8	5.2248e-06
310.0	6.0878e-06
310.2	7.1863e-06
310.4	8.4831e-06
310.6	1.0014e-05
310.8	1.1821e-05
311.0	1.3954e-05
311.2	1.6472e-05
311.4	1.9444e-05
311.6	2.2953e-05
311.8	2.7095e-05
312.0	2.7961e-05
312.2	2.8652e-05
312.4	2.9359e-05
312.6	3.0084e-05
312.8	3.0827e-05
313.0	3.1588e-05
313.2	3.2368e-05
313.4	3.3167e-05
313.6	3.3986e-05
313.8	3.4825e-05
314.0	3.2473e-05
314.2	2.9414e-05
314.4	2.6644e-05
314.6	2.4135e-05
314.8	2.1862e-05
315.0	1.9803e-05
315.2	1.7938e-05
315.4	1.6249e-05
315.6	1.4718e-05
315.8	1.3332e-05
316.0	1.2021e-05
316.2	1.0805e-05
316.4	9.7113e-06
316.6	8.7286e-06
316.8	7.8453e-06
317.0	7.0514e-06
317.2	6.3378e-06
317.4	5.6964e-06
317.6	5.12e-06
317.8	4.6019e-06
318.0	4.2352e-06
318.2	4.0326e-06
318.4	3.8397e-06
318.6	3.6561e-06
318.8	3.4813e-06
319.0	3.3148e-06
319.2	3.1562e-06
319.4	3.0053e-06
319.6	2.8616e-06
319.8	2.7247e-06
320.0	2.5018e-06
320.2	1.7599e-06
320.4	1.238e-06
320.6	8.7087e-07
320.8	6.1261e-07
321.0	4.3094e-07
321.2	3.0314e-07
321.4	2.1324e-07
321.6	1.5001e-07
321.8	1.0552e-07
322.0	1.0288e-07
322.2	1.03e-07
322.4	1.0311e-07
322.6	1.0323e-07
322.8	1.0335e-07
323.0	1.0347e-07
323.2	1.0358e-07
323.4	1.037e-07
323.6	1.0382e-07
323.8	1.0394e-07
324.0	1.1102e-07
324.2	1.2118e-07
324.4	1.3227e-07
324.6	1.4437e-07
324.8	1.5759e-07
325.0	1.7201e-07
325.2	1.8775e-07
325.4	2.0493e-07
325.6	2.2368e-07
325.8	2.4415e-07
326.0	2.3668e-07
326.2	2.1018e-07
326.4	1.8665e-07
326.6	1.6575e-07
326.8	1.4719e-07
327.0	1.3071e-07
327.2	1.1608e-07
327.4	1.0308e-07
327.6	9.1537e-08
327.8	8.1288e-08
328.0	8.6122e-08
328.2	1.1826e-07
328.4	1.6238e-07
328.6	2.2296e-07
328.8	3.0615e-07
329.0	4.2038e-07
329.2	5.7724e-07
329.4	7.9261e-07
329.6	1.0883e-06
329.8	1.4944e-06
330.0	1.9905e-06
330.2	2.1205e-06
330.4	2.2591e-06
330.6	2.4068e-06
330.8	2.5641e-06
331.0	2.7316e-06
331.2	2.9102e-06
331.4	3.1003e-06
331.6	3.303e-06
331.8	3.5188e-06
332.0	3.4366e-06
332.2	3.3276e-06
332.4	3.222e-06
332.6	3.1198e-06
332.8	3.0208e-06
333.0	2.9249e-06
333.2	2.8321e-06
333.4	2.7423e-06
333.6	2.6553e-06
333.8	2.571e-06
334.0	2.3895e-06
334.2	2.1891e-06
334.4	2.0055e-06
334.6	1.8372e-06
334.8	1.6831e-06
335.0	1.542e-06
335.2	1.4126e-06
335.4	1.2941e-06
335.6	1.1856e-06
335.8	1.0861e-06
336.0	1.0042e-06
336.2	9.3483e-07
336.4	8.7024e-07
336.6	8.101e-07
336.8	7.5413e-07
337.0	7.0202e-07
337.2	6.5351e-07
337.4	6.0835e-07
337.6	5.6631e-07
337.8	5.2718e-07
338.0	4.908e-07
338.2	4.5699e-07
338.4	4.255e-07
338.6	3.9619e-07
338.8	3.689e-07
339.0	3.4348e-07
339.2	3.1982e-07
339.4	2.9779e-07
339.6	2.7727e-07
339.8	2.5817e-07
340.0	2.3621e-07
340.2	1.9117e-07
340.4	1.5472e-07
340.6	1.2522e-07
340.8	1.0134e-07
341.0	8.2017e-08
341.2	6.6378e-08
341.4	5.3721e-08
341.6	4.3478e-08
341.8	3.5188e-08
342.0	4.3685e-08
342.2	5.6579e-08
342.4	7.3279e-08
342.6	9.4908e-08
342.8	1.2292e-07
343.0	1.592e-07
343.2	2.0619e-07
343.4	2.6705e-07
343.6	3.4587e-07
343.8	4.4795e-07
344.0	4.3232e-07
344.2	3.7726e-07
344.4	3.2922e-07
344.6	2.873e-07
344.8	2.5071e-07
345.0	2.1878e-07
345.2	1.9092e-07
345.4	1.6661e-07
345.6	1.4539e-07
345.8	1.2688e-07
346.0	1.1782e-07
346.2	1.1435e-07
346.4	1.1098e-07
346.6	1.0771e-07
346.8	1.0453e-07
347.0	1.0145e-07
347.2	9.8463e-08
347.4	9.556e-08
347.6	9.2743e-08
347.8	9.001e-08
348.0	9.7571e-08
348.2	1.2284e-07
348.4	1.5464e-07
348.6	1.9469e-07
348.8	2.451e-07
349.0	3.0856e-07
349.2	3.8846e-07
349.4	4.8905e-07
349.6	6.1568e-07
349.8	7.7511e-07
350.0	9.5671e-07
350.2	1.0403e-06
350.4	1.1312e-06
350.6	1.2301e-06
350.8	1.3376e-06
351.0	1.4545e-06
351.2	1.5816e-06
351.4	1.7198e-06
351.6	1.8702e-06
351.8	2.0336e-06
352.0	2.081e-06
352.2	2.1112e-06
352.4	2.1417e-06
352.6	2.1727e-06
352.8	2.2042e-06
353.0	2.2361e-06
353.2	2.2685e-06
353.4	2.3013e-06
353.6	2.3347e-06
353.8	2.3685e-06
354.0	2.3717e-06
354.2	2.3628e-06
354.4	2.354e-06
354.6	2.3453e-06
354.8	2.3366e-06
355.0	2.3279e-06
355.2	2.3192e-06
355.4	2.3106e-06
355.6	2.302e-06
355.8	2.2934e-06
356.0	2.3027e-06
356.2	2.3259e-06
356.4	2.3493e-06
356.6	2.3729e-06
356.8	2.3968e-06
357.0	2.4209e-06
357.2	2.4452e-06
357.4	2.4698e-06
357.6	2.4947e-06
357.8	2.5198e-06
358.0	2.5392e-06
358.2	2.5504e-06
358.4	2.5616e-06
358.6	2.5729e-06
358.8	2.5842e-06
359.0	2.5955e-06
359.2	2.6069e-06
359.4	2.6184e-06
359.6	2.6299e-06
359.8	2.6415e-06
360.0	2.6555e-06
360.2	2.6861e-06
360.4	2.717e-06
360.6	2.7482e-06
360.8	2.7799e-06
361.0	2.8118e-06
361.2	2.8442e-06
361.4	2.8769e-06
361.6	2.91e-06
361.8	2.9435e-06
362.0	3.0226e-06
362.2	3.1092e-06
362.4	3.1984e-06
362.6	3.2901e-06
362.8	3.3844e-06
363.0	3.4814e-06
363.2	3.5812e-06
363.4	3.6839e-06
363.6	3.7895e-06
363.8	3.8982e-06
364.0	3.9098e-06
364.2	3.8878e-06
364.4	3.8658e-06
364.6	3.844e-06
364.8	3.8223e-06
365.0	3.8007e-06
365.2	3.7793e-06
365.4	3.7579e-06
365.6	3.7367e-06
365.8	3.7156e-06
366.0	3.6855e-06
366.2	3.6494e-06
366.4	3.6136e-06
366.6	3.5782e-06
366.8	3.5432e-06
367.0	3.5085e-06
367.2	3.4741e-06
367.4	3.4401e-06
367.6	3.4064e-06
367.8	3.3731e-06
368.0	3.4221e-06
368.2	3.5763e-06
368.4	3.7375e-06
368.6	3.906e-06
368.8	4.0821e-06
369.0	4.2661e-06
369.2	4.4583e-06
369.4	4.6593e-06
369.6	4.8693e-06
369.8	5.0888e-06
370.0	5.3333e-06
370.2	5.6771e-06
370.4	6.043e-06
370.6	6.4325e-06
370.8	6.8471e-06
371.0	7.2884e-06
371.2	7.7582e-06
371.4	8.2583e-06
371.6	8.7906e-06
371.8	9.3572e-06
372.0	9.3951e-06
372.2	9.3476e-06
372.4	9.3003e-06
372.6	9.2532e-06
372.8	9.2064e-06
373.0	9.1598e-06
373.2	9.1135e-06
373.4	9.0674e-06
373.6	9.0215e-06
373.8	8.9759e-06
374.0	8.9029e-06
374.2	8.8202e-06
374.4	8.7383e-06
374.6	8.6571e-06
374.8	8.5767e-06
375.0	8.497e-06
375.2	8.4181e-06
375.4	8.3399e-06
375.6	8.2624e-06
375.8	8.1857e-06
376.0	8.1469e-06
376.2	8.1352e-06
376.4	8.1235e-06
376.6	8.1118e-06
376.8	8.1002e-06
377.0	8.0885e-06
377.2	8.0769e-06
377.4	8.0653e-06
377.6	8.0537e-06
377.8	8.0421e-06
378.0	8.2857e-06
378.2	8.8833e-06
378.4	9.524e-06
378.6	1.0211e-05
378.8	1.0947e-05
379.0	1.1737e-05
379.2	1.2583e-05
379.4	1.3491e-05
379.6	1.4464e-05
379.8	1.5507e-05
380.0	1.6575e-05
380.2	1.7412e-05
380.4	1.8292e-05
380.6	1.9216e-05
380.8	2.0187e-05
381.0	2.1207e-05
381.2	2.2278e-05
381.4	2.3404e-05
381.6	2.4586e-05
381.8	2.5828e-05
382.0	2.5948e-05
382.2	2.5879e-05
382.4	2.5811e-05
382.6	2.5743e-05
382.8	2.5674e-05
383.0	2.5607e-05
383.2	2.5539e-05
383.4	2.5471e-05
383.6	2.5404e-05
383.8	2.5337e-05
384.0	2.5239e-05
384.2	2.5129e-05
384.4	2.502e-05
384.6	2.4912e-05
384.8	2.4804e-05
385.0	2.4696e-05
385.2	2.4589e-05
385.4	2.4483e-05
385.6	2.4376e-05
385.8	2.4271e-05
386.0	2.4059e-05
386.2	2.3775e-05
386.4	2.3494e-05
386.6	2.3216e-05
386.8	2.2942e-05
387.0	2.2671e-05
387.2	2.2403e-05
387.4	2.2139e-05
387.6	2.1877e-05
387.8	2.1618e-05
388.0	2.1596e-05
388.2	2.1857e-05
388.4	2.212e-05
388.6	2.2387e-05
388.8	2.2656e-05
389.0	2.293e-05
389.2	2.3206e-05
389.4	2.3486e-05
389.6	2.3769e-05
389.8	2.4055e-05
390.0	2.4372e-05
390.2	2.4837e-05
390.4	2.5312e-05
390.6	2.5795e-05
390.8	2.6287e-05
391.0	2.6789e-05
391.2	2.7301e-05
391.4	2.7822e-05
391.6	2.8353e-05
391.8	2.8895e-05
392.0	2.8939e-05
392.2	2.8891e-05
392.4	2.8843e-05
392.6	2.8795e-05
392.8	2.8747e-05
393.0	2.8699e-05
393.2	2.8651e-05
393.4	2.8604e-05
393.6	2.8556e-05
