Typical Measured Spectrum of Semrock FF01-590/104 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 1e-6 (Optical Density 6) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
250.0	0.00258
250.2	0.00253
250.4	0.00249
250.6	0.00244
250.8	0.00239
251.0	0.00235
251.2	0.00206
251.4	0.00156
251.6	0.00118
251.8	8.9127e-04
252.0	6.7434e-04
252.2	5.1021e-04
252.4	3.8603e-04
252.6	2.9207e-04
252.8	2.2098e-04
253.0	1.672e-04
253.2	1.265e-04
253.4	9.5711e-05
253.6	7.2415e-05
253.8	5.479e-05
254.0	4.1454e-05
254.2	3.5218e-05
254.4	2.992e-05
254.6	2.542e-05
254.8	2.1596e-05
255.0	1.8347e-05
255.2	1.5587e-05
255.4	1.3242e-05
255.6	1.125e-05
255.8	9.558e-06
256.0	8.1202e-06
256.2	6.8987e-06
256.4	5.8609e-06
256.6	4.9793e-06
256.8	4.2302e-06
257.0	3.5939e-06
257.2	3.057e-06
257.4	3.3085e-06
257.6	3.5808e-06
257.8	3.8755e-06
258.0	4.1944e-06
258.2	4.5396e-06
258.4	4.9132e-06
258.6	5.3175e-06
258.8	5.7551e-06
259.0	6.2288e-06
259.2	6.7413e-06
259.4	7.2961e-06
259.6	7.8966e-06
259.8	8.5464e-06
260.0	9.2497e-06
260.2	7.9446e-06
260.4	6.8236e-06
260.6	5.8608e-06
260.8	5.0338e-06
261.0	4.3236e-06
261.2	3.7135e-06
261.4	3.1895e-06
261.6	2.7395e-06
261.8	2.3529e-06
262.0	2.0209e-06
262.2	1.7572e-06
262.4	1.822e-06
262.6	1.8893e-06
262.8	1.959e-06
263.0	2.0313e-06
263.2	2.1063e-06
263.4	2.184e-06
263.6	2.2646e-06
263.8	2.3482e-06
264.0	2.4349e-06
264.2	2.5247e-06
264.4	2.6179e-06
264.6	2.7145e-06
264.8	2.8147e-06
265.0	2.9186e-06
265.2	3.2095e-06
265.4	3.5294e-06
265.6	3.8812e-06
265.8	4.268e-06
266.0	4.6935e-06
266.2	5.1613e-06
266.4	5.6757e-06
266.6	6.2414e-06
266.8	6.8635e-06
267.0	7.5477e-06
267.2	8.3e-06
267.4	9.1272e-06
267.6	1.0037e-05
267.8	1.1037e-05
268.0	1.2138e-05
268.2	1.3347e-05
268.4	1.4678e-05
268.6	1.6141e-05
268.8	1.775e-05
269.0	1.9519e-05
269.2	2.1464e-05
269.4	2.3604e-05
269.6	2.2185e-05
269.8	2.0751e-05
270.0	1.9409e-05
270.2	1.8155e-05
270.4	1.6981e-05
270.6	1.5883e-05
270.8	1.4856e-05
271.0	1.3896e-05
271.2	1.2998e-05
271.4	1.2157e-05
271.6	1.1371e-05
271.8	1.0636e-05
272.0	9.9486e-06
272.2	9.3054e-06
272.4	8.7038e-06
272.6	8.1411e-06
272.8	7.6148e-06
273.0	7.1225e-06
273.2	6.6621e-06
273.4	6.2314e-06
273.6	5.8285e-06
273.8	5.4517e-06
274.0	5.0993e-06
274.2	5.143e-06
274.4	5.3925e-06
274.6	5.6541e-06
274.8	5.9284e-06
275.0	6.216e-06
275.2	6.5158e-06
275.4	6.83e-06
275.6	7.1594e-06
275.8	7.5047e-06
276.0	7.8667e-06
276.2	8.246e-06
276.4	8.6437e-06
276.6	9.0606e-06
276.8	9.4976e-06
277.0	9.9556e-06
277.2	1.0436e-05
277.4	1.0939e-05
277.6	1.1467e-05
277.8	1.202e-05
278.0	1.1333e-05
278.2	9.7814e-06
278.4	8.4421e-06
278.6	7.2863e-06
278.8	6.2887e-06
279.0	5.4277e-06
279.2	4.6845e-06
279.4	4.0431e-06
279.6	3.4896e-06
279.8	3.0118e-06
280.0	2.5994e-06
280.2	2.2435e-06
280.4	1.9363e-06
280.6	1.6712e-06
280.8	1.4424e-06
281.0	1.2449e-06
281.2	1.0745e-06
281.4	9.2736e-07
281.6	8.0039e-07
281.8	6.908e-07
282.0	5.9622e-07
282.2	5.1459e-07
282.4	4.4413e-07
282.6	4.1362e-07
282.8	4.8697e-07
283.0	5.7332e-07
283.2	6.7499e-07
283.4	7.9469e-07
283.6	9.3561e-07
283.8	1.1015e-06
284.0	1.2969e-06
284.2	1.5268e-06
284.4	1.7976e-06
284.6	2.1163e-06
284.8	2.4916e-06
285.0	2.9335e-06
285.2	2.4562e-06
285.4	2.0566e-06
285.6	1.722e-06
285.8	1.4419e-06
286.0	1.2073e-06
286.2	1.0109e-06
286.4	8.4641e-07
286.6	7.0871e-07
286.8	5.9341e-07
287.0	4.9686e-07
287.2	4.1603e-07
287.4	3.4834e-07
287.6	2.9167e-07
287.8	2.4422e-07
288.0	2.2526e-07
288.2	2.2163e-07
288.4	2.1805e-07
288.6	2.1453e-07
288.8	2.1106e-07
289.0	2.0766e-07
289.2	2.043e-07
289.4	2.01e-07
289.6	1.9776e-07
289.8	1.9457e-07
290.0	1.9142e-07
290.2	1.8833e-07
290.4	1.8529e-07
290.6	1.823e-07
290.8	1.7936e-07
291.0	1.7646e-07
291.2	1.7361e-07
291.4	1.7081e-07
291.6	1.6805e-07
291.8	1.6534e-07
292.0	1.6267e-07
292.2	1.6004e-07
292.4	1.5746e-07
292.6	1.543e-07
292.8	1.4988e-07
293.0	1.4559e-07
293.2	1.4142e-07
293.4	1.3736e-07
293.6	1.3343e-07
293.8	1.2961e-07
294.0	1.2589e-07
294.2	1.2229e-07
294.4	1.1878e-07
294.6	1.1538e-07
294.8	1.1207e-07
295.0	1.0886e-07
295.2	1.3029e-07
295.4	1.5593e-07
295.6	1.8662e-07
295.8	2.0954e-07
296.0	2.2073e-07
296.2	2.3253e-07
296.4	2.4495e-07
296.6	2.5804e-07
296.8	2.7183e-07
297.0	2.8635e-07
297.2	3.0165e-07
297.4	3.1776e-07
297.6	3.3474e-07
297.8	3.5263e-07
298.0	3.7147e-07
298.2	3.9131e-07
298.4	4.1222e-07
298.6	4.3425e-07
298.8	4.5745e-07
299.0	4.8189e-07
299.2	5.0764e-07
299.4	5.3476e-07
299.6	5.6333e-07
299.8	5.9343e-07
300.0	6.2513e-07
300.2	6.5853e-07
300.4	6.8411e-07
300.6	6.7537e-07
300.8	6.6676e-07
301.0	6.5825e-07
301.2	6.4985e-07
301.4	6.4155e-07
301.6	6.3337e-07
301.8	6.2528e-07
302.0	6.173e-07
302.2	6.0942e-07
302.4	6.0165e-07
302.6	5.9397e-07
302.8	5.8639e-07
303.0	5.789e-07
303.2	5.7152e-07
303.4	5.6422e-07
303.6	5.5702e-07
303.8	5.4991e-07
304.0	5.429e-07
304.2	5.3597e-07
304.4	5.2913e-07
304.6	5.2237e-07
304.8	5.1571e-07
305.0	5.0913e-07
305.2	5.5208e-07
305.4	5.9866e-07
305.6	6.4918e-07
305.8	7.0395e-07
306.0	7.6334e-07
306.2	8.2775e-07
306.4	8.9759e-07
306.6	9.7332e-07
306.8	1.0554e-06
307.0	1.1445e-06
307.2	1.1197e-06
307.4	1.0659e-06
307.6	1.0146e-06
307.8	9.6587e-07
308.0	9.1944e-07
308.2	8.7524e-07
308.4	8.3317e-07
308.6	7.9312e-07
308.8	7.55e-07
309.0	7.1871e-07
309.2	6.8416e-07
309.4	6.5127e-07
309.6	6.1997e-07
309.8	5.9017e-07
310.0	5.618e-07
310.2	5.3479e-07
310.4	5.0909e-07
310.6	4.8462e-07
310.8	4.6132e-07
311.0	4.3915e-07
311.2	4.1804e-07
311.4	3.9794e-07
311.6	3.7881e-07
311.8	3.5972e-07
312.0	3.4073e-07
312.2	3.2275e-07
312.4	3.0571e-07
312.6	2.8957e-07
312.8	2.7429e-07
313.0	2.5981e-07
313.2	2.461e-07
313.4	2.3311e-07
313.6	2.208e-07
313.8	2.0915e-07
314.0	1.9811e-07
314.2	1.8765e-07
314.4	1.7774e-07
314.6	1.6836e-07
314.8	1.5947e-07
315.0	1.5106e-07
315.2	1.4308e-07
315.4	1.3553e-07
315.6	1.2838e-07
315.8	1.216e-07
316.0	1.1518e-07
316.2	1.091e-07
316.4	1.0684e-07
316.6	1.1907e-07
316.8	1.3269e-07
317.0	1.4787e-07
317.2	1.6479e-07
317.4	1.8364e-07
317.6	2.0465e-07
317.8	2.2806e-07
318.0	2.5415e-07
318.2	2.8322e-07
318.4	3.1562e-07
318.6	3.5173e-07
318.8	3.9197e-07
319.0	4.3681e-07
319.2	4.8678e-07
319.4	5.4247e-07
319.6	6.0453e-07
319.8	6.7369e-07
320.0	7.5077e-07
320.2	8.3665e-07
320.4	9.3237e-07
320.6	1.039e-06
320.8	1.1579e-06
321.0	1.2904e-06
321.2	1.266e-06
321.4	1.2302e-06
321.6	1.1955e-06
321.8	1.1617e-06
322.0	1.1289e-06
322.2	1.097e-06
322.4	1.066e-06
322.6	1.0359e-06
322.8	1.0066e-06
323.0	9.7815e-07
323.2	9.5051e-07
323.4	9.2365e-07
323.6	8.9756e-07
323.8	8.722e-07
324.0	8.4755e-07
324.2	8.2361e-07
324.4	8.0034e-07
324.6	7.7772e-07
324.8	7.5575e-07
325.0	7.344e-07
325.2	7.1365e-07
325.4	6.9348e-07
325.6	6.7389e-07
325.8	6.6134e-07
326.0	6.5219e-07
326.2	6.4316e-07
326.4	6.3426e-07
326.6	6.2548e-07
326.8	6.1682e-07
327.0	6.0829e-07
327.2	5.9987e-07
327.4	5.9157e-07
327.6	5.8338e-07
327.8	5.753e-07
328.0	5.6734e-07
328.2	5.5949e-07
328.4	5.5175e-07
328.6	5.4411e-07
328.8	5.3658e-07
329.0	5.2915e-07
329.2	5.2183e-07
329.4	5.1461e-07
329.6	5.0749e-07
329.8	5.0046e-07
330.0	4.9354e-07
330.2	4.8671e-07
330.4	4.8103e-07
330.6	4.7689e-07
330.8	4.7278e-07
331.0	4.687e-07
331.2	4.6466e-07
331.4	4.6066e-07
331.6	4.5669e-07
331.8	4.5275e-07
332.0	4.4885e-07
332.2	4.4498e-07
332.4	4.4114e-07
