600 DCLP.csv	LF101818_P109625	Gabriele Dröscher	01.12.2009 14:04	Lambda 19 UV/Vis	2023	Rev. 9B/9C
nm	%T					
300	-0,000985					
301	-0,004178					
302	-0,002853					
303	0,000546					
304	0,000318					
305	-0,004862					
306	0,001592					
307	0,000467					
308	-0,001774					
309	-0,002229					
310	-0,001116					
311	-0,002391					
312	-0,006108					
313	-0,007604					
314	0,000214					
315	-0,00582					
316	-0,011827					
317	-0,008267					
318	-0,011586					
319	-0,014762					
320	0,002778					
321	-0,000994					
322	-0,003676					
323	0,00211					
324	0,004167					
325	0,002837					
326	-0,004353					
327	-0,000244					
328	0,002985					
329	-0,001848					
330	-0,001636					
331	0,003229					
332	0,004916					
333	0,003166					
334	0,000407					
335	0,001925					
336	0,002479					
337	-0,002011					
338	0,001171					
339	0,003183					
340	0,004674					
341	0,002893					
342	0,000619					
343	0,002056					
344	0,002189					
345	0,006182					
346	0,012357					
347	0,022703					
348	0,037416					
349	0,0667					
350	0,132237					
351	0,232221					
352	0,364327					
353	0,547775					
354	0,79053					
355	1,127272					
356	1,580594					
357	2,179549					
358	2,925923					
359	3,770778					
360	4,776117					
361	6,160361					
362	7,681698					
363	8,941944					
364	9,793519					
365	10,191622					
366	10,487219					
367	10,532542					
368	9,792281					
369	9,000276					
370	8,917017					
371	8,590407					
372	7,393561					
373	6,813519					
374	7,989294					
375	9,157456					
376	8,581359					
377	7,850231					
378	10,325147					
379	15,540865					
380	18,796138					
381	16,502674					
382	12,288857					
383	9,368024					
384	7,66734					
385	6,16562					
386	4,457865					
387	3,390083					
388	3,544668					
389	5,325936					
390	9,650008					
391	18,679414					
392	32,373926					
393	47,012201					
394	56,457835					
395	57,536975					
396	54,962564					
397	53,211263					
398	53,301829					
399	52,338177					
400	48,685467					
401	44,004339					
402	42,244738					
403	45,059049					
404	50,305527					
405	52,99753					
406	50,214291					
407	42,321737					
408	34,617075					
409	31,4467					
410	32,124475					
411	34,885822					
412	36,97311					
413	35,483271					
414	29,48193					
415	20,32945					
416	13,143776					
417	11,600789					
418	13,59019					
419	15,198349					
420	14,057592					
421	10,107219					
422	5,468059					
423	1,975564					
424	0,590834					
425	0,325286					
426	0,256672					
427	0,289201					
428	0,45436					
429	0,905608					
430	1,51641					
431	1,952697					
432	2,041858					
433	1,728395					
434	1,273476					
435	1,106121					
436	1,284246					
437	1,651641					
438	2,025251					
439	2,26209					
440	2,322018					
441	2,216641					
442	1,999397					
443	1,775814					
444	1,543223					
445	1,256348					
446	0,970206					
447	0,738182					
448	0,60504					
449	0,558911					
450	0,551619					
451	0,561492					
452	0,561942					
453	0,509745					
454	0,437733					
455	0,36488					
456	0,315761					
457	0,293115					
458	0,294711					
459	0,32845					
460	0,359545					
461	0,363208					
462	0,35122					
463	0,327194					
464	0,289127					
465	0,258799					
466	0,246811					
467	0,269607					
468	0,320751					
469	0,384714					
470	0,456491					
471	0,502273					
472	0,512324					
473	0,48642					
474	0,44504					
475	0,407173					
