Typical Measured Spectrum of Semrock BLP01-635R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
250.0	0.08058
250.2	0.07703
250.4	0.07588
250.6	0.07488
250.8	0.07388
251.0	0.07226
251.2	0.07015
251.4	0.06811
251.6	0.06596
251.8	0.06295
252.0	0.06008
252.2	0.05735
252.4	0.05555
252.6	0.05409
252.8	0.05266
253.0	0.05133
253.2	0.05014
253.4	0.04898
253.6	0.04785
253.8	0.01225
254.0	0.0029
254.2	0.00247
254.4	0.00293
254.6	0.00145
254.8	7.8631e-04
255.0	0.00201
255.2	0.00183
255.4	4.4938e-04
255.6	5.8466e-04
255.8	0.00136
256.0	0.00279
256.2	0.00371
256.4	0.00212
256.6	0.00175
256.8	0.00178
257.0	0.00108
257.2	5.5553e-04
257.4	1.8708e-04
257.6	2.906e-04
257.8	0.0017
258.0	0.0022
258.2	0.00192
258.4	9.3416e-04
258.6	7.8439e-04
258.8	0.00134
259.0	0.00141
259.2	0.00124
259.4	7.5781e-04
259.6	5.5606e-04
259.8	5.8947e-04
260.0	6.2489e-04
260.2	5.6725e-04
260.4	5.1492e-04
260.6	4.8379e-04
260.8	4.5871e-04
261.0	4.3493e-04
261.2	4.1239e-04
261.4	3.9101e-04
261.6	3.7075e-04
261.8	3.5153e-04
262.0	3.3331e-04
262.2	3.1603e-04
262.4	2.9965e-04
262.6	2.8412e-04
262.8	2.6939e-04
263.0	2.5543e-04
263.2	2.4219e-04
263.4	2.2963e-04
263.6	2.1328e-04
263.8	1.9388e-04
264.0	1.7625e-04
264.2	1.6022e-04
264.4	1.4564e-04
264.6	1.324e-04
264.8	1.2035e-04
265.0	1.0941e-04
265.2	1.1118e-04
265.4	1.1298e-04
265.6	1.1481e-04
265.8	1.1667e-04
266.0	1.1856e-04
266.2	1.2048e-04
266.4	1.1676e-04
266.6	1.1305e-04
266.8	1.0945e-04
267.0	1.0598e-04
267.2	1.0261e-04
267.4	9.9345e-05
267.6	9.6188e-05
267.8	9.313e-05
268.0	9.017e-05
268.2	8.7304e-05
268.4	8.4529e-05
268.6	8.1842e-05
268.8	7.924e-05
269.0	7.6722e-05
269.2	7.4283e-05
269.4	6.9076e-05
269.6	6.2999e-05
269.8	5.7456e-05
270.0	5.2401e-05
270.2	4.779e-05
270.4	4.3585e-05
270.6	3.975e-05
270.8	3.6253e-05
271.0	3.3063e-05
271.2	3.0154e-05
271.4	2.7501e-05
271.6	2.5081e-05
271.8	2.2875e-05
272.0	2.0862e-05
272.2	1.9026e-05
272.4	1.8346e-05
272.6	1.9371e-05
272.8	2.0454e-05
273.0	2.1598e-05
273.2	2.2805e-05
273.4	2.408e-05
273.6	2.5426e-05
273.8	2.6847e-05
274.0	2.8348e-05
274.2	2.9933e-05
274.4	3.1606e-05
274.6	3.3373e-05
274.8	3.5239e-05
275.0	3.7209e-05
275.2	2.7983e-05
275.4	2.1044e-05
275.6	1.8403e-05
275.8	1.8772e-05
276.0	1.9148e-05
276.2	1.9532e-05
276.4	1.9923e-05
276.6	2.0322e-05
276.8	2.0729e-05
277.0	2.1145e-05
277.2	2.1568e-05
277.4	2.2001e-05
277.6	2.2441e-05
277.8	2.2891e-05
278.0	2.335e-05
278.2	2.3818e-05
278.4	2.4295e-05
278.6	2.4619e-05
278.8	2.4255e-05
279.0	2.3897e-05
279.2	2.3544e-05
279.4	2.3196e-05
279.6	2.2853e-05
279.8	2.2516e-05
280.0	2.2183e-05
280.2	2.1855e-05
280.4	2.1532e-05
280.6	2.1214e-05
280.8	2.0901e-05
281.0	2.0592e-05
281.2	2.0288e-05
281.4	1.9988e-05
281.6	1.9693e-05
281.8	1.9008e-05
282.0	1.83e-05
282.2	1.7619e-05
282.4	1.6963e-05
282.6	1.6331e-05
282.8	1.5723e-05
283.0	1.5137e-05
283.2	1.4574e-05
283.4	1.4031e-05
283.6	1.3509e-05
283.8	1.3006e-05
284.0	1.2521e-05
284.2	1.2055e-05
284.4	1.1606e-05
284.6	1.1174e-05
284.8	1.0496e-05
285.0	9.6961e-06
285.2	8.9568e-06
285.4	8.2739e-06
285.6	7.6431e-06
285.8	7.0603e-06
286.0	6.522e-06
286.2	6.0248e-06
286.4	5.5654e-06
286.6	5.1411e-06
286.8	4.7491e-06
287.0	4.387e-06
287.2	4.0526e-06
287.4	3.7436e-06
287.6	3.4581e-06
287.8	3.3458e-06
288.0	3.597e-06
288.2	3.8671e-06
288.4	4.1575e-06
288.6	4.4696e-06
288.8	4.8052e-06
289.0	5.166e-06
289.2	5.5539e-06
289.4	5.971e-06
289.6	6.4193e-06
289.8	6.9013e-06
290.0	7.4195e-06
290.2	7.9766e-06
290.4	8.5756e-06
290.6	9.2195e-06
290.8	9.8969e-06
291.0	9.8731e-06
291.2	9.8493e-06
291.4	9.8256e-06
291.6	9.8019e-06
291.8	9.7783e-06
292.0	9.7548e-06
292.2	9.7313e-06
292.4	9.7079e-06
292.6	9.6845e-06
292.8	9.6612e-06
293.0	9.6379e-06
293.2	9.6147e-06
293.4	9.5916e-06
293.6	9.5685e-06
293.8	9.5454e-06
294.0	9.5237e-06
294.2	9.5025e-06
294.4	9.4813e-06
294.6	9.4601e-06
294.8	9.439e-06
295.0	9.418e-06
295.2	9.2247e-06
295.4	9.0353e-06
295.6	8.8499e-06
295.8	8.6683e-06
296.0	8.4904e-06
296.2	8.3161e-06
296.4	8.1454e-06
296.6	7.9782e-06
296.8	7.8145e-06
297.0	7.6541e-06
297.2	7.4749e-06
297.4	7.1987e-06
297.6	6.9327e-06
297.8	6.6765e-06
298.0	6.4298e-06
298.2	6.1922e-06
298.4	5.9634e-06
298.6	5.7431e-06
298.8	5.5308e-06
299.0	5.3265e-06
299.2	5.1297e-06
299.4	4.9401e-06
299.6	4.7576e-06
299.8	4.5818e-06
300.0	4.4125e-06
300.2	4.2494e-06
300.4	4.2522e-06
300.6	4.2752e-06
300.8	4.2983e-06
301.0	4.3215e-06
301.2	4.3448e-06
301.4	4.3683e-06
301.6	4.3919e-06
301.8	4.4156e-06
302.0	4.4395e-06
302.2	4.4634e-06
302.4	4.4876e-06
302.6	4.5118e-06
302.8	4.5362e-06
303.0	4.5607e-06
303.2	4.5853e-06
303.4	4.8e-06
303.6	5.1534e-06
303.8	5.5329e-06
304.0	5.9403e-06
304.2	6.3776e-06
304.4	6.8472e-06
304.6	7.3514e-06
304.8	7.8927e-06
305.0	8.4738e-06
305.2	1.2669e-05
305.4	1.2507e-05
305.6	1.2346e-05
305.8	1.2188e-05
306.0	1.2032e-05
306.2	1.1878e-05
306.4	1.1726e-05
306.6	1.1576e-05
306.8	1.1427e-05
307.0	1.1281e-05
307.2	1.1136e-05
307.4	1.0994e-05
307.6	1.0853e-05
307.8	1.0714e-05
308.0	1.0577e-05
308.2	1.0456e-05
308.4	1.0589e-05
308.6	1.0724e-05
308.8	1.086e-05
309.0	1.0998e-05
309.2	1.1138e-05
309.4	1.128e-05
309.6	1.1424e-05
309.8	1.1569e-05
310.0	1.1717e-05
310.2	1.1866e-05
310.4	1.2017e-05
310.6	1.217e-05
310.8	1.2325e-05
311.0	1.2482e-05
311.2	1.2641e-05
311.4	1.2696e-05
311.6	1.2713e-05
311.8	1.273e-05
312.0	1.2747e-05
312.2	1.2764e-05
312.4	1.2781e-05
312.6	1.2798e-05
312.8	1.2816e-05
313.0	1.2833e-05
313.2	1.285e-05
313.4	1.2867e-05
313.6	1.2885e-05
313.8	1.2902e-05
314.0	1.2919e-05
314.2	1.2937e-05
314.4	1.3079e-05
314.6	1.3399e-05
314.8	1.3727e-05
315.0	1.4064e-05
315.2	1.4408e-05
315.4	1.4761e-05
315.6	1.5122e-05
315.8	1.5492e-05
316.0	1.5872e-05
316.2	1.626e-05
316.4	1.6658e-05
316.6	1.7066e-05
316.8	1.7484e-05
317.0	1.7912e-05
317.2	1.8351e-05
317.4	1.8804e-05
317.6	1.9305e-05
317.8	1.9818e-05
318.0	2.0346e-05
318.2	2.0887e-05
318.4	2.1443e-05
318.6	2.2013e-05
318.8	2.2599e-05
319.0	2.3201e-05
319.2	2.3818e-05
319.4	2.4452e-05
319.6	2.5102e-05
319.8	2.577e-05
320.0	2.6456e-05
320.2	2.716e-05
320.4	2.7883e-05
320.6	2.8842e-05
320.8	2.9888e-05
321.0	3.0973e-05
321.2	3.2097e-05
321.4	3.3261e-05
321.6	3.4468e-05
321.8	3.5719e-05
322.0	3.7015e-05
322.2	3.8358e-05
322.4	3.975e-05
322.6	4.1192e-05
322.8	4.2687e-05
323.0	4.4236e-05
323.2	4.5841e-05
323.4	4.7505e-05
323.6	4.8068e-05
323.8	4.7514e-05
324.0	4.6966e-05
324.2	4.6424e-05
324.4	4.5888e-05
324.6	4.5359e-05
324.8	4.4836e-05
325.0	4.4319e-05
325.2	4.3808e-05
325.4	4.3302e-05
325.6	4.2803e-05
325.8	4.2309e-05
326.0	4.1821e-05
326.2	4.1339e-05
326.4	4.0862e-05
326.6	3.9938e-05
326.8	3.7412e-05
327.0	3.5046e-05
327.2	3.283e-05
327.4	3.0753e-05
327.6	2.8808e-05
327.8	2.6987e-05
328.0	2.528e-05
328.2	2.3681e-05
328.4	2.2183e-05
328.6	2.0781e-05
328.8	1.9466e-05
329.0	1.8235e-05
329.2	1.7082e-05
329.4	1.6002e-05
329.6	1.499e-05
329.8	1.4303e-05
330.0	1.367e-05
330.2	1.3065e-05
330.4	1.2487e-05
330.6	1.1934e-05
330.8	1.1406e-05
331.0	1.0901e-05
331.2	1.0418e-05
331.4	9.957e-06
331.6	9.5162e-06
331.8	9.0949e-06
332.0	8.6923e-06
332.2	8.3076e-06
332.4	7.9398e-06
332.6	7.5883e-06
332.8	7.4206e-06
333.0	7.3529e-06
333.2	7.2858e-06
333.4	7.2193e-06
333.6	7.1534e-06
333.8	7.0881e-06
334.0	7.0234e-06
334.2	6.9593e-06
334.4	6.8958e-06
334.6	6.8329e-06
334.8	6.7705e-06
335.0	6.7087e-06
335.2	6.6475e-06
335.4	6.5868e-06
335.6	6.5267e-06
335.8	6.4333e-06
336.0	6.2823e-06
336.2	6.1349e-06
336.4	5.9909e-06
336.6	5.8503e-06
336.8	5.7131e-06
337.0	5.579e-06
337.2	5.4481e-06
337.4	5.3202e-06
337.6	5.1954e-06
337.8	5.0735e-06
338.0	4.9544e-06
338.2	4.8381e-06
338.4	4.7246e-06
338.6	4.6137e-06
338.8	4.5119e-06
339.0	4.4801e-06
339.2	4.4485e-06
339.4	4.4172e-06
339.6	4.3861e-06
339.8	4.3552e-06
340.0	4.3245e-06
340.2	4.2941e-06
340.4	4.2638e-06
340.6	4.2338e-06
340.8	4.204e-06
341.0	4.1744e-06
341.2	4.145e-06
341.4	4.1158e-06
341.6	4.0868e-06
341.8	4.058e-06
342.0	4.0109e-06
342.2	3.9601e-06
342.4	3.91e-06
342.6	3.8605e-06
342.8	3.8117e-06
343.0	3.7634e-06
343.2	3.7158e-06
343.4	3.6688e-06
343.6	3.6224e-06
343.8	3.5765e-06
344.0	3.5313e-06
344.2	3.4866e-06
344.4	3.4425e-06
344.6	3.3989e-06
344.8	3.3559e-06
345.0	3.3408e-06
345.2	3.3478e-06
345.4	3.3549e-06
345.6	3.362e-06
345.8	3.369e-06
346.0	3.3761e-06
346.2	3.3832e-06
346.4	3.3903e-06
346.6	3.3975e-06
346.8	3.4046e-06
347.0	3.4118e-06
347.2	3.419e-06
347.4	3.4262e-06
347.6	3.4334e-06
347.8	3.4406e-06
348.0	3.4361e-06
348.2	3.4035e-06
348.4	3.3713e-06
348.6	3.3394e-06
348.8	3.3078e-06
349.0	3.2765e-06
349.2	3.2455e-06
349.4	3.2148e-06
349.6	3.1844e-06
349.8	3.1542e-06
350.0	3.1244e-06
350.2	3.0948e-06
350.4	3.0655e-06
350.6	3.0365e-06
350.8	3.0078e-06
351.0	2.9798e-06
351.2	2.9635e-06
351.4	2.9472e-06
351.6	2.931e-06
351.8	2.9149e-06
352.0	2.8989e-06
352.2	2.8829e-06
352.4	2.8671e-06
352.6	2.8514e-06
352.8	2.8357e-06
353.0	2.8201e-06
353.2	2.8046e-06
353.4	2.7892e-06
353.6	2.7739e-06
353.8	2.7587e-06
354.0	2.7435e-06
354.2	2.7481e-06
354.4	2.7578e-06
354.6	2.7675e-06
354.8	2.7773e-06
355.0	2.7871e-06
355.2	2.797e-06
355.4	2.8069e-06
355.6	2.8168e-06
355.8	2.8267e-06
356.0	2.8367e-06
356.2	2.8467e-06
356.4	2.8568e-06
356.6	2.8669e-06
356.8	2.877e-06
357.0	2.8872e-06
357.2	2.8852e-06
357.4	2.8736e-06
357.6	2.8619e-06
357.8	2.8504e-06
358.0	2.8388e-06
358.2	2.8274e-06
358.4	2.8159e-06
358.6	2.8046e-06
358.8	2.7932e-06
359.0	2.7819e-06
359.2	2.7707e-06
359.4	2.7595e-06
359.6	2.7483e-06
359.8	2.7372e-06
360.0	2.7261e-06
360.2	2.7408e-06
360.4	2.811e-06
360.6	2.8831e-06
360.8	2.957e-06
361.0	3.0328e-06
361.2	3.1105e-06
361.4	3.1903e-06
361.6	3.2721e-06
361.8	3.356e-06
362.0	3.442e-06
362.2	3.5302e-06
362.4	3.6207e-06
362.6	3.7136e-06
362.8	3.8088e-06
363.0	3.9064e-06
363.2	4.0761e-06
363.4	5.062e-06
363.6	6.2864e-06
363.8	7.8068e-06
364.0	9.695e-06
364.2	1.204e-05
364.4	1.4952e-05
364.6	1.8568e-05
364.8	2.306e-05
365.0	2.8637e-05
365.2	2.9653e-05
365.4	3.0705e-05
365.6	3.1794e-05
365.8	3.2922e-05
366.0	3.409e-05
366.2	3.204e-05
366.4	2.9347e-05
366.6	2.688e-05
366.8	2.4621e-05
367.0	2.2551e-05
367.2	2.0656e-05
367.4	1.8919e-05
367.6	1.7329e-05
367.8	1.5873e-05
368.0	1.4538e-05
368.2	1.3316e-05
368.4	1.2197e-05
368.6	1.1172e-05
368.8	1.0233e-05
369.0	9.3728e-06
369.2	8.8336e-06
369.4	8.5666e-06
369.6	8.3077e-06
369.8	8.0566e-06
370.0	7.813e-06
370.2	7.5769e-06
370.4	7.3479e-06
370.6	7.1258e-06
370.8	6.9104e-06
371.0	6.7015e-06
371.2	6.4989e-06
371.4	6.3025e-06
371.6	6.112e-06
371.8	5.9273e-06
372.0	5.7481e-06
372.2	5.5956e-06
372.4	5.521e-06
372.6	5.4474e-06
372.8	5.3747e-06
373.0	5.3031e-06
373.2	5.2324e-06
373.4	5.1626e-06
373.6	5.0938e-06
373.8	5.0258e-06
374.0	4.9588e-06
374.2	4.8927e-06
374.4	4.8275e-06
374.6	4.7631e-06
374.8	4.6996e-06
375.0	4.637e-06
375.2	4.5751e-06
375.4	4.6118e-06
375.6	4.6552e-06
375.8	4.6989e-06
