Typical Measured Spectrum of Semrock FF01-632/22 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	6.93e-07
300.2	8.3788e-07
300.4	1.0131e-06
300.6	1.2249e-06
300.8	1.481e-06
301.0	1.7906e-06
301.2	2.165e-06
301.4	2.6176e-06
301.6	3.1649e-06
301.8	3.8266e-06
302.0	2.8188e-06
302.2	2.0713e-06
302.4	1.5221e-06
302.6	1.1184e-06
302.8	8.2185e-07
303.0	6.0391e-07
303.2	4.4376e-07
303.4	3.2608e-07
303.6	2.3961e-07
303.8	1.7607e-07
304.0	1.936e-07
304.2	2.3772e-07
304.4	2.9188e-07
304.6	3.584e-07
304.8	4.4007e-07
305.0	5.4035e-07
305.2	6.6348e-07
305.4	8.1467e-07
305.6	1.0003e-06
305.8	1.2283e-06
306.0	1.3747e-06
306.2	1.4367e-06
306.4	1.5015e-06
306.6	1.5693e-06
306.8	1.6401e-06
307.0	1.7141e-06
307.2	1.7915e-06
307.4	1.8723e-06
307.6	1.9568e-06
307.8	2.0451e-06
308.0	2.0029e-06
308.2	1.7559e-06
308.4	1.5395e-06
308.6	1.3497e-06
308.8	1.1833e-06
309.0	1.0374e-06
309.2	9.0947e-07
309.4	7.9734e-07
309.6	6.9904e-07
309.8	6.1285e-07
310.0	5.4186e-07
310.2	5.2808e-07
310.4	5.1465e-07
310.6	5.0155e-07
310.8	4.888e-07
311.0	4.7636e-07
311.2	4.6424e-07
311.4	4.5244e-07
311.6	4.4093e-07
311.8	4.2971e-07
312.0	4.9622e-07
312.2	5.7552e-07
312.4	6.6749e-07
312.6	7.7416e-07
312.8	8.9788e-07
313.0	1.0414e-06
313.2	1.2078e-06
313.4	1.4008e-06
313.6	1.6247e-06
313.8	1.8843e-06
314.0	1.59e-06
314.2	1.2167e-06
314.4	9.3111e-07
314.6	7.1253e-07
314.8	5.4527e-07
315.0	4.1727e-07
315.2	3.1931e-07
315.4	2.4436e-07
315.6	1.8699e-07
315.8	1.431e-07
316.0	1.4433e-07
316.2	1.8004e-07
316.4	2.2459e-07
316.6	2.8016e-07
316.8	3.4949e-07
317.0	4.3597e-07
317.2	5.4385e-07
317.4	6.7843e-07
317.6	8.463e-07
317.8	1.0557e-06
318.0	1.1169e-06
318.2	8.8726e-07
318.4	7.0481e-07
318.6	5.5988e-07
318.8	4.4475e-07
319.0	3.5329e-07
319.2	2.8064e-07
319.4	2.2293e-07
319.6	1.7709e-07
319.8	1.4067e-07
320.0	1.1388e-07
320.2	1.1455e-07
320.4	1.1523e-07
320.6	1.1591e-07
320.8	1.1659e-07
321.0	1.1728e-07
321.2	1.1798e-07
321.4	1.1867e-07
321.6	1.1938e-07
321.8	1.2008e-07
322.0	1.1946e-07
322.2	1.1881e-07
322.4	1.1816e-07
322.6	1.1752e-07
322.8	1.1688e-07
323.0	1.1624e-07
323.2	1.1561e-07
323.4	1.1498e-07
323.6	1.1436e-07
323.8	1.1373e-07
324.0	1.8426e-07
324.2	3.4256e-07
324.4	6.3685e-07
324.6	1.184e-06
324.8	2.2011e-06
325.0	4.0921e-06
325.2	7.6077e-06
325.4	1.4144e-05
325.6	2.6294e-05
325.8	4.8884e-05
326.0	4.3522e-05
326.2	2.2736e-05
326.4	1.1877e-05
326.6	6.2044e-06
326.8	3.2411e-06
327.0	1.6931e-06
327.2	8.8448e-07
327.4	4.6205e-07
327.6	2.4137e-07
327.8	1.2609e-07
328.0	8.5477e-08
328.2	8.7863e-08
328.4	9.0316e-08
328.6	9.2838e-08
328.8	9.5429e-08
329.0	9.8093e-08
329.2	1.0083e-07
329.4	1.0365e-07
329.6	1.0654e-07
329.8	1.0951e-07
330.0	1.1445e-07
330.2	1.401e-07
330.4	1.7149e-07
330.6	2.0991e-07
330.8	2.5693e-07
331.0	3.145e-07
331.2	3.8496e-07
331.4	4.712e-07
331.6	5.7677e-07
331.8	7.06e-07
332.0	6.2731e-07
332.2	5.4808e-07
332.4	4.7885e-07
332.6	4.1837e-07
332.8	3.6552e-07
333.0	3.1935e-07
333.2	2.7902e-07
333.4	2.4377e-07
333.6	2.1298e-07
333.8	1.8608e-07
334.0	1.6474e-07
334.2	1.4648e-07
334.4	1.3024e-07
334.6	1.158e-07
334.8	1.0296e-07
335.0	9.155e-08
335.2	8.1401e-08
335.4	7.2377e-08
335.6	6.4353e-08
335.8	5.7219e-08
336.0	5.4052e-08
336.2	5.3497e-08
336.4	5.2949e-08
336.6	5.2405e-08
336.8	5.1868e-08
337.0	5.1336e-08
337.2	5.0809e-08
337.4	5.0288e-08
337.6	4.9772e-08
337.8	4.9262e-08
338.0	5.1528e-08
338.2	5.9103e-08
338.4	6.7791e-08
338.6	7.7756e-08
338.8	8.9185e-08
339.0	1.023e-07
339.2	1.1733e-07
339.4	1.3458e-07
339.6	1.5436e-07
339.8	1.7705e-07
340.0	1.9715e-07
340.2	1.6553e-07
340.4	1.3898e-07
340.6	1.1669e-07
340.8	9.7979e-08
341.0	8.2266e-08
341.2	6.9072e-08
341.4	5.7995e-08
341.6	4.8694e-08
341.8	4.0884e-08
342.0	4.2753e-08
342.2	4.5452e-08
342.4	4.8321e-08
342.6	5.1372e-08
342.8	5.4615e-08
343.0	5.8063e-08
343.2	6.1728e-08
343.4	6.5625e-08
343.6	6.9768e-08
343.8	7.4172e-08
344.0	7.137e-08
344.2	6.6309e-08
344.4	6.1606e-08
344.6	5.7238e-08
344.8	5.3179e-08
345.0	4.9408e-08
345.2	4.5904e-08
345.4	4.2649e-08
345.6	3.9625e-08
345.8	3.6815e-08
346.0	3.5649e-08
346.2	3.5684e-08
346.4	3.5719e-08
346.6	3.5754e-08
346.8	3.5789e-08
347.0	3.5825e-08
347.2	3.586e-08
347.4	3.5895e-08
347.6	3.593e-08
347.8	3.5966e-08
348.0	4.0115e-08
348.2	5.3582e-08
348.4	7.1571e-08
348.6	9.56e-08
348.8	1.277e-07
349.0	1.7057e-07
349.2	2.2783e-07
349.4	3.0432e-07
349.6	4.0649e-07
349.8	5.4296e-07
350.0	6.8519e-07
350.2	5.0328e-07
350.4	3.6966e-07
350.6	2.7152e-07
350.8	1.9943e-07
351.0	1.4648e-07
351.2	1.0759e-07
351.4	7.9027e-08
351.6	5.8046e-08
351.8	4.2635e-08
352.0	4.1592e-08
352.2	4.145e-08
352.4	4.1309e-08
352.6	4.1168e-08
352.8	4.1028e-08
353.0	4.0888e-08
353.2	4.0748e-08
353.4	4.0609e-08
353.6	4.0471e-08
353.8	4.0333e-08
354.0	4.9503e-08
354.2	6.5247e-08
354.4	8.5997e-08
354.6	1.1335e-07
354.8	1.494e-07
355.0	1.9691e-07
355.2	2.5954e-07
355.4	3.4208e-07
355.6	4.5087e-07
355.8	5.9427e-07
356.0	6.5949e-07
356.2	6.4108e-07
356.4	6.2319e-07
356.6	6.058e-07
356.8	5.8889e-07
357.0	5.7246e-07
357.2	5.5648e-07
357.4	5.4095e-07
357.6	5.2585e-07
357.8	5.1117e-07
358.0	5.0073e-07
358.2	4.964e-07
358.4	4.9211e-07
358.6	4.8785e-07
358.8	4.8364e-07
359.0	4.7946e-07
359.2	4.7531e-07
359.4	4.712e-07
359.6	4.6713e-07
359.8	4.6309e-07
360.0	4.4657e-07
360.2	3.4021e-07
360.4	2.5919e-07
360.6	1.9746e-07
360.8	1.5043e-07
361.0	1.146e-07
361.2	8.7308e-08
361.4	6.6514e-08
361.6	5.0673e-08
361.8	3.8604e-08
362.0	4.5936e-08
362.2	5.6238e-08
362.4	6.8851e-08
362.6	8.4292e-08
362.8	1.032e-07
363.0	1.2634e-07
363.2	1.5468e-07
363.4	1.8937e-07
363.6	2.3184e-07
363.8	2.8383e-07
364.0	3.0435e-07
364.2	3.1332e-07
364.4	3.2255e-07
364.6	3.3206e-07
364.8	3.4185e-07
365.0	3.5193e-07
365.2	3.6231e-07
365.4	3.7299e-07
365.6	3.8399e-07
365.8	3.9531e-07
366.0	3.8908e-07
366.2	3.7119e-07
366.4	3.5411e-07
366.6	3.3783e-07
366.8	3.2229e-07
367.0	3.0746e-07
367.2	2.9332e-07
367.4	2.7983e-07
367.6	2.6696e-07
367.8	2.5468e-07
368.0	2.4766e-07
368.2	2.4742e-07
368.4	2.4719e-07
368.6	2.4695e-07
368.8	2.4671e-07
369.0	2.4648e-07
369.2	2.4624e-07
369.4	2.4601e-07
369.6	2.4577e-07
369.8	2.4554e-07
370.0	2.3876e-07
370.2	1.9215e-07
370.4	1.5463e-07
370.6	1.2445e-07
370.8	1.0015e-07
371.0	8.0598e-08
371.2	6.4863e-08
371.4	5.22e-08
371.6	4.2009e-08
371.8	3.3808e-08
372.0	4.1021e-08
372.2	5.1214e-08
372.4	6.394e-08
372.6	7.9828e-08
372.8	9.9664e-08
373.0	1.2443e-07
373.2	1.5535e-07
373.4	1.9395e-07
373.6	2.4214e-07
373.8	3.0231e-07
374.0	2.6695e-07
374.2	2.1194e-07
374.4	1.6827e-07
374.6	1.3359e-07
374.8	1.0606e-07
375.0	8.4207e-08
375.2	6.6854e-08
375.4	5.3078e-08
375.6	4.214e-08
375.8	3.3456e-08
376.0	3.464e-08
376.2	4.2812e-08
376.4	5.2912e-08
376.6	6.5394e-08
376.8	8.0821e-08
377.0	9.9887e-08
377.2	1.2345e-07
377.4	1.5258e-07
377.6	1.8857e-07
377.8	2.3305e-07
378.0	2.6715e-07
378.2	2.7716e-07
378.4	2.8755e-07
378.6	2.9832e-07
378.8	3.095e-07
379.0	3.211e-07
379.2	3.3313e-07
379.4	3.4561e-07
379.6	3.5856e-07
379.8	3.72e-07
380.0	3.7926e-07
380.2	3.4573e-07
380.4	3.1516e-07
380.6	2.873e-07
380.8	2.619e-07
381.0	2.3875e-07
381.2	2.1764e-07
381.4	1.984e-07
381.6	1.8086e-07
381.8	1.6487e-07
382.0	1.7795e-07
382.2	1.9472e-07
382.4	2.1307e-07
382.6	2.3315e-07
382.8	2.5512e-07
383.0	2.7916e-07
383.2	3.0546e-07
383.4	3.3425e-07
383.6	3.6575e-07
383.8	4.0021e-07
384.0	4.0895e-07
384.2	4.0894e-07
384.4	4.0894e-07
384.6	4.0893e-07
384.8	4.0892e-07
385.0	4.0892e-07
385.2	4.0891e-07
385.4	4.089e-07
385.6	4.0889e-07
385.8	4.0889e-07
386.0	3.447e-07
386.2	2.5932e-07
386.4	1.9509e-07
386.6	1.4677e-07
386.8	1.1042e-07
387.0	8.3069e-08
387.2	6.2494e-08
387.4	4.7015e-08
387.6	3.537e-08
387.8	2.661e-08
388.0	2.5391e-08
388.2	3.2786e-08
388.4	4.2336e-08
388.6	5.4668e-08
388.8	7.0592e-08
389.0	9.1154e-08
389.2	1.177e-07
389.4	1.5199e-07
389.6	1.9626e-07
389.8	2.5343e-07
390.0	3.2375e-07
390.2	3.8713e-07
390.4	4.6293e-07
390.6	5.5356e-07
390.8	6.6195e-07
391.0	7.9155e-07
391.2	9.4653e-07
391.4	1.1318e-06
391.6	1.3534e-06
391.8	1.6184e-06
392.0	1.5655e-06
392.2	1.4847e-06
392.4	1.408e-06
392.6	1.3354e-06
392.8	1.2665e-06
393.0	1.2011e-06
393.2	1.1391e-06
393.4	1.0803e-06
393.6	1.0246e-06
393.8	9.7169e-07
394.0	9.3062e-07
394.2	8.9405e-07
394.4	8.5891e-07
394.6	8.2516e-07
394.8	7.9273e-07
395.0	7.6158e-07
395.2	7.3165e-07
395.4	7.0289e-07
395.6	6.7527e-07
395.8	6.4873e-07
396.0	5.3733e-07
396.2	4.0316e-07
396.4	3.0249e-07
396.6	2.2696e-07
396.8	1.7029e-07
397.0	1.2777e-07
397.2	9.5864e-08
397.4	7.1927e-08
397.6	5.3967e-08
397.8	4.0492e-08
398.0	3.3462e-08
398.2	3.1118e-08
398.4	2.8938e-08
398.6	2.6911e-08
398.8	2.5026e-08
399.0	2.3273e-08
399.2	2.1643e-08
399.4	2.0126e-08
399.6	1.8717e-08
399.8	1.7405e-08
400.0	1.6349e-08
400.2	1.6256e-08
400.4	1.6163e-08
400.6	1.607e-08
400.8	1.5978e-08
401.0	1.5886e-08
401.2	1.5795e-08
401.4	1.5705e-08
401.6	1.5615e-08
401.8	1.5525e-08
402.0	1.5443e-08
402.2	1.5361e-08
402.4	1.5281e-08
402.6	1.52e-08
402.8	1.512e-08
403.0	1.5041e-08
403.2	1.4962e-08
403.4	1.4883e-08
403.6	1.4805e-08
403.8	1.4727e-08
404.0	1.4659e-08
404.2	1.4596e-08
404.4	1.4532e-08
404.6	1.4469e-08
404.8	1.4407e-08
405.0	1.4344e-08
405.2	1.4282e-08
405.4	1.422e-08
405.6	1.4158e-08
405.8	1.4097e-08
406.0	1.656e-08
406.2	2.1929e-08
406.4	2.9039e-08
406.6	3.8454e-08
406.8	5.0922e-08
407.0	6.7431e-08
407.2	8.9293e-08
407.4	1.1824e-07
407.6	1.5658e-07
407.8	2.0734e-07
408.0	2.1904e-07
408.2	1.715e-07
408.4	1.3428e-07
408.6	1.0514e-07
408.8	8.2318e-08
409.0	6.4452e-08
409.2	5.0464e-08
409.4	3.9512e-08
409.6	3.0937e-08
409.8	2.4222e-08
410.0	1.9498e-08
410.2	1.8605e-08
410.4	1.7753e-08
410.6	1.694e-08
410.8	1.6164e-08
411.0	1.5424e-08
411.2	1.4717e-08
411.4	1.4043e-08
411.6	1.34e-08
411.8	1.2786e-08
412.0	1.6022e-08
412.2	2.0875e-08
412.4	2.7196e-08
412.6	3.5432e-08
412.8	4.6162e-08
413.0	6.0141e-08
413.2	7.8354e-08
413.4	1.0208e-07
413.6	1.33e-07
413.8	1.7327e-07
414.0	1.5298e-07
414.2	1.1696e-07
414.4	8.9428e-08
414.6	6.8374e-08
414.8	5.2277e-08
415.0	3.9969e-08
415.2	3.0559e-08
415.4	2.3365e-08
415.6	1.7864e-08
415.8	1.3658e-08
416.0	1.2205e-08
416.2	1.2182e-08
416.4	1.2159e-08
416.6	1.2136e-08
416.8	1.2113e-08
417.0	1.209e-08
417.2	1.2067e-08
417.4	1.2044e-08
417.6	1.2021e-08
417.8	1.1999e-08
418.0	1.3601e-08
418.2	1.807e-08
418.4	2.4007e-08
418.6	3.1895e-08
418.8	4.2375e-08
419.0	5.6298e-08
419.2	7.4795e-08
419.4	9.9369e-08
419.6	1.3202e-07
419.8	1.7539e-07
420.0	2.2011e-07
420.2	2.0247e-07
420.4	1.8624e-07
420.6	1.7131e-07
420.8	1.5758e-07
421.0	1.4495e-07
421.2	1.3333e-07
421.4	1.2265e-07
421.6	1.1282e-07
421.8	1.0377e-07
422.0	1.0704e-07
422.2	1.1199e-07
422.4	1.1717e-07
422.6	1.2258e-07
422.8	1.2825e-07
423.0	1.3418e-07
423.2	1.4038e-07
423.4	1.4687e-07
423.6	1.5365e-07
423.8	1.6076e-07
