Typical Measured Spectrum of Semrock FF01-545/55 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
265.0	7.6004e-07
265.2	7.5178e-07
265.4	7.436e-07
265.6	7.3551e-07
265.8	7.2751e-07
266.0	7.196e-07
266.2	7.1177e-07
266.4	7.0403e-07
266.6	6.9637e-07
266.8	6.888e-07
267.0	6.8131e-07
267.2	6.7439e-07
267.4	6.6775e-07
267.6	6.6117e-07
267.8	6.5466e-07
268.0	6.4821e-07
268.2	6.4182e-07
268.4	6.355e-07
268.6	6.2924e-07
268.8	6.2304e-07
269.0	6.169e-07
269.2	6.1082e-07
269.4	6.0481e-07
269.6	5.9885e-07
269.8	5.9295e-07
270.0	5.8711e-07
270.2	5.8132e-07
270.4	5.756e-07
270.6	5.6993e-07
270.8	5.6432e-07
271.0	5.5926e-07
271.2	5.5426e-07
271.4	5.4929e-07
271.6	5.4437e-07
271.8	5.395e-07
272.0	5.3467e-07
272.2	5.2988e-07
272.4	5.2513e-07
272.6	5.2043e-07
272.8	5.1577e-07
273.0	5.1115e-07
273.2	5.0657e-07
273.4	5.0203e-07
273.6	4.9754e-07
273.8	4.9308e-07
274.0	4.8867e-07
274.2	4.8429e-07
274.4	4.7995e-07
274.6	4.7479e-07
274.8	4.6786e-07
275.0	4.6103e-07
275.2	4.5765e-07
275.4	4.543e-07
275.6	4.7113e-07
275.8	5.3732e-07
276.0	6.128e-07
276.2	6.9888e-07
276.4	7.9706e-07
276.6	9.0903e-07
276.8	1.0367e-06
277.0	1.1824e-06
277.2	1.3485e-06
277.4	1.5379e-06
277.6	1.7539e-06
277.8	2.0003e-06
278.0	2.2813e-06
278.2	2.6018e-06
278.4	2.9673e-06
278.6	3.3841e-06
278.8	3.8595e-06
279.0	4.4017e-06
279.2	5.02e-06
279.4	5.2153e-06
279.6	5.1233e-06
279.8	5.0329e-06
280.0	4.944e-06
280.2	4.8568e-06
280.4	4.7711e-06
280.6	4.6869e-06
280.8	4.6041e-06
281.0	4.5229e-06
281.2	4.4431e-06
281.4	4.3646e-06
281.6	4.2876e-06
281.8	4.2119e-06
282.0	4.1376e-06
282.2	4.0646e-06
282.4	3.9928e-06
282.6	3.9224e-06
282.8	3.8532e-06
283.0	3.7851e-06
283.2	3.5264e-06
283.4	3.2742e-06
283.6	3.0401e-06
283.8	2.8227e-06
284.0	2.6208e-06
284.2	2.4334e-06
284.4	2.2594e-06
284.6	2.0978e-06
284.8	1.9478e-06
285.0	1.8085e-06
285.2	1.8324e-06
285.4	1.8566e-06
285.6	1.9054e-06
285.8	1.9995e-06
286.0	2.0982e-06
286.2	2.2018e-06
286.4	2.3105e-06
286.6	2.4245e-06
286.8	2.5442e-06
287.0	2.6698e-06
287.2	2.8016e-06
287.4	2.94e-06
287.6	3.0851e-06
287.8	3.2374e-06
288.0	3.3972e-06
288.2	3.565e-06
288.4	3.741e-06
288.6	3.9257e-06
288.8	4.1195e-06
289.0	4.3229e-06
289.2	4.5363e-06
289.4	4.0407e-06
289.6	3.3379e-06
289.8	2.7574e-06
290.0	2.2778e-06
290.2	1.8817e-06
290.4	1.5544e-06
290.6	1.2841e-06
290.8	1.0608e-06
291.0	8.7627e-07
291.2	7.2387e-07
291.4	5.9798e-07
291.6	4.9398e-07
291.8	4.0806e-07
292.0	3.3709e-07
292.2	2.7847e-07
292.4	2.3004e-07
292.6	1.9003e-07
292.8	1.5698e-07
293.0	1.3019e-07
293.2	1.5972e-07
293.4	1.9594e-07
293.6	2.4038e-07
293.8	2.949e-07
294.0	3.6179e-07
294.2	4.4384e-07
294.4	5.445e-07
294.6	6.68e-07
294.8	8.195e-07
295.0	1.0054e-06
295.2	8.8766e-07
295.4	7.8374e-07
295.6	6.9199e-07
295.8	6.1098e-07
296.0	5.3945e-07
296.2	4.763e-07
296.4	4.2054e-07
296.6	3.713e-07
296.8	3.2784e-07
297.0	2.8946e-07
297.2	2.5557e-07
297.4	2.2565e-07
297.6	1.9923e-07
297.8	1.7591e-07
298.0	1.5531e-07
298.2	1.7402e-07
298.4	1.9642e-07
298.6	2.217e-07
298.8	2.5023e-07
299.0	2.8244e-07
299.2	3.1879e-07
299.4	3.5982e-07
299.6	4.0614e-07
299.8	4.5841e-07
300.0	5.1741e-07
300.2	5.8401e-07
300.4	6.5918e-07
300.6	7.4402e-07
300.8	8.3978e-07
301.0	9.4787e-07
301.2	1.0699e-06
301.4	1.2076e-06
301.6	1.363e-06
301.8	1.448e-06
302.0	1.34e-06
302.2	1.24e-06
302.4	1.1475e-06
302.6	1.0619e-06
302.8	9.8266e-07
303.0	9.0934e-07
303.2	8.415e-07
303.4	7.7872e-07
303.6	7.2062e-07
303.8	6.6686e-07
304.0	6.1711e-07
304.2	5.7107e-07
304.4	5.2846e-07
304.6	4.8903e-07
304.8	4.5255e-07
305.0	4.1878e-07
305.2	2.4403e-07
305.4	1.422e-07
305.6	9.2973e-08
305.8	9.2541e-08
306.0	9.2112e-08
306.2	9.1684e-08
306.4	9.1259e-08
306.6	9.0835e-08
306.8	9.0414e-08
307.0	8.9994e-08
307.2	8.9576e-08
307.4	8.916e-08
307.6	8.8747e-08
307.8	8.8335e-08
308.0	8.7925e-08
308.2	8.7517e-08
308.4	8.711e-08
308.6	8.6706e-08
308.8	8.6304e-08
309.0	8.5903e-08
309.2	8.5504e-08
309.4	8.5068e-08
309.6	8.4599e-08
309.8	8.4133e-08
310.0	8.367e-08
310.2	8.3209e-08
310.4	8.275e-08
310.6	8.2294e-08
310.8	8.1841e-08
311.0	8.139e-08
311.2	8.0942e-08
311.4	8.0496e-08
311.6	8.0052e-08
311.8	7.9611e-08
312.0	7.9173e-08
312.2	7.8736e-08
312.4	7.8303e-08
312.6	7.7871e-08
312.8	7.7442e-08
313.0	7.7016e-08
313.2	7.6583e-08
313.4	7.6152e-08
313.6	7.5723e-08
313.8	7.5296e-08
314.0	7.4872e-08
314.2	7.4451e-08
314.4	7.4031e-08
314.6	7.3614e-08
314.8	7.32e-08
315.0	7.2787e-08
315.2	7.2377e-08
315.4	7.197e-08
315.6	7.1564e-08
315.8	7.1161e-08
316.0	7.076e-08
316.2	7.0362e-08
316.4	6.9965e-08
316.6	6.9571e-08
316.8	6.9198e-08
317.0	6.891e-08
317.2	6.8622e-08
317.4	6.8336e-08
317.6	6.8051e-08
317.8	6.7767e-08
318.0	6.7485e-08
318.2	6.7203e-08
318.4	6.6923e-08
318.6	6.6644e-08
318.8	6.6366e-08
319.0	6.6089e-08
319.2	6.5813e-08
319.4	6.5539e-08
319.6	6.5266e-08
319.8	6.4993e-08
320.0	6.4722e-08
320.2	6.4452e-08
320.4	6.4184e-08
320.6	6.8716e-08
320.8	7.855e-08
321.0	8.9791e-08
321.2	1.0264e-07
321.4	1.1733e-07
321.6	1.3412e-07
321.8	1.5331e-07
322.0	1.7525e-07
322.2	2.0033e-07
322.4	2.29e-07
322.6	2.6178e-07
322.8	2.9924e-07
323.0	3.4206e-07
323.2	3.9101e-07
323.4	4.4697e-07
323.6	5.1094e-07
323.8	5.8405e-07
324.0	6.6764e-07
324.2	7.6318e-07
324.4	7.3488e-07
324.6	6.8972e-07
324.8	6.4733e-07
325.0	6.0755e-07
325.2	5.7022e-07
325.4	5.3518e-07
325.6	5.0229e-07
325.8	4.7142e-07
326.0	4.4245e-07
326.2	4.1526e-07
326.4	3.8974e-07
326.6	3.6579e-07
326.8	3.4331e-07
327.0	3.2222e-07
327.2	3.0241e-07
327.4	2.8383e-07
327.6	2.6639e-07
327.8	2.5002e-07
328.0	2.3283e-07
328.2	2.1126e-07
328.4	1.9168e-07
328.6	1.7391e-07
328.8	1.5779e-07
329.0	1.4317e-07
329.2	1.299e-07
329.4	1.1786e-07
329.6	1.0694e-07
329.8	9.7029e-08
330.0	8.8036e-08
330.2	7.9877e-08
330.4	7.2474e-08
330.6	6.5758e-08
330.8	5.9663e-08
331.0	5.4134e-08
331.2	4.9117e-08
331.4	4.4565e-08
331.6	4.0435e-08
331.8	3.8687e-08
332.0	3.8405e-08
332.2	3.8125e-08
332.4	3.7847e-08
332.6	3.7571e-08
332.8	3.7298e-08
333.0	3.7026e-08
333.2	3.6756e-08
333.4	3.6488e-08
333.6	3.6223e-08
333.8	3.5959e-08
334.0	3.5697e-08
334.2	3.5437e-08
334.4	3.5178e-08
334.6	3.4922e-08
334.8	3.4668e-08
335.0	3.4415e-08
335.2	3.398e-08
335.4	3.3551e-08
335.6	3.3151e-08
335.8	3.2824e-08
336.0	3.2501e-08
336.2	3.2181e-08
336.4	3.1864e-08
336.6	3.155e-08
336.8	3.1239e-08
337.0	3.0931e-08
337.2	3.0627e-08
337.4	3.0325e-08
337.6	3.0026e-08
337.8	2.973e-08
338.0	2.9438e-08
338.2	2.9148e-08
338.4	2.886e-08
338.6	2.8576e-08
338.8	2.8295e-08
339.0	2.8016e-08
339.2	2.774e-08
339.4	2.7508e-08
339.6	2.7304e-08
339.8	2.7102e-08
340.0	2.6902e-08
340.2	2.6703e-08
340.4	2.6505e-08
340.6	2.6309e-08
340.8	2.6115e-08
341.0	2.5922e-08
341.2	2.573e-08
341.4	2.554e-08
341.6	2.5351e-08
341.8	2.5163e-08
342.0	2.4977e-08
342.2	2.4792e-08
342.4	2.4609e-08
342.6	2.4427e-08
342.8	2.4246e-08
343.0	2.4067e-08
343.2	2.3981e-08
343.4	2.39e-08
343.6	2.3818e-08
343.8	2.3737e-08
344.0	2.3656e-08
344.2	2.3576e-08
344.4	2.3495e-08
344.6	2.3415e-08
344.8	2.3336e-08
345.0	2.3256e-08
345.2	2.3177e-08
345.4	2.3098e-08
345.6	2.3019e-08
345.8	2.2941e-08
346.0	2.2863e-08
346.2	2.2785e-08
346.4	2.2707e-08
346.6	2.263e-08
346.8	2.2587e-08
347.0	2.2615e-08
347.2	2.2643e-08
347.4	2.2671e-08
347.6	2.2699e-08
347.8	2.2727e-08
348.0	2.2755e-08
348.2	2.2783e-08
348.4	2.2811e-08
348.6	2.2839e-08
348.8	2.2867e-08
349.0	2.2895e-08
349.2	2.2924e-08
349.4	2.2952e-08
349.6	2.298e-08
349.8	2.3008e-08
350.0	2.3037e-08
350.2	2.3065e-08
350.4	2.3094e-08
350.6	2.3102e-08
350.8	2.3102e-08
351.0	2.3101e-08
351.2	2.3101e-08
351.4	2.31e-08
351.6	2.31e-08
351.8	2.3099e-08
352.0	2.3099e-08
352.2	2.3098e-08
352.4	2.3098e-08
352.6	2.3098e-08
352.8	2.3097e-08
353.0	2.3097e-08
353.2	2.3096e-08
353.4	2.3096e-08
353.6	2.3095e-08
353.8	2.3095e-08
354.0	2.3095e-08
354.2	2.3397e-08
354.4	2.7543e-08
354.6	3.2424e-08
354.8	3.8169e-08
355.0	4.4932e-08
355.2	5.2894e-08
355.4	6.2266e-08
355.6	7.3299e-08
355.8	8.6287e-08
356.0	1.0158e-07
356.2	1.1957e-07
356.4	1.4076e-07
356.6	1.657e-07
356.8	1.9507e-07
357.0	2.2963e-07
357.2	2.7032e-07
357.4	3.1822e-07
357.6	3.746e-07
357.8	4.4098e-07
358.0	4.7823e-07
358.2	4.7193e-07
358.4	4.657e-07
358.6	4.5956e-07
358.8	4.535e-07
359.0	4.4752e-07
359.2	4.4162e-07
359.4	4.358e-07
359.6	4.3005e-07
359.8	4.2438e-07
360.0	4.1879e-07
360.2	4.1326e-07
360.4	4.0781e-07
360.6	4.0244e-07
360.8	3.9713e-07
361.0	3.9189e-07
361.2	3.8673e-07
361.4	3.8163e-07
361.6	3.7659e-07
361.8	3.5766e-07
362.0	3.3766e-07
362.2	3.1877e-07
362.4	3.0094e-07
362.6	2.8411e-07
362.8	2.6822e-07
363.0	2.5322e-07
363.2	2.3905e-07
363.4	2.2568e-07
363.6	2.1306e-07
363.8	2.0114e-07
364.0	1.8989e-07
364.2	1.7927e-07
364.4	1.6925e-07
364.6	1.5978e-07
364.8	1.5084e-07
365.0	1.4241e-07
365.2	1.5617e-07
365.4	1.7127e-07
365.6	1.8783e-07
365.8	2.0598e-07
366.0	2.259e-07
366.2	2.4774e-07
366.4	2.7169e-07
366.6	2.9795e-07
366.8	3.2675e-07
367.0	3.2238e-07
367.2	2.7723e-07
367.4	2.384e-07
367.6	2.0501e-07
367.8	1.763e-07
368.0	1.5161e-07
368.2	1.3038e-07
368.4	1.1212e-07
368.6	9.6418e-08
368.8	8.2915e-08
369.0	7.1303e-08
369.2	6.1317e-08
369.4	5.273e-08
369.6	4.5345e-08
369.8	3.8995e-08
370.0	3.3533e-08
370.2	2.8837e-08
370.4	2.4799e-08
370.6	2.1326e-08
370.8	2.2573e-08
371.0	2.5167e-08
371.2	2.8059e-08
371.4	3.1283e-08
371.6	3.4878e-08
371.8	3.8886e-08
372.0	4.3354e-08
372.2	4.8336e-08
372.4	5.3891e-08
372.6	6.0083e-08
372.8	6.6988e-08
373.0	7.4685e-08
373.2	8.3267e-08
373.4	9.2836e-08
373.6	1.035e-07
373.8	1.154e-07
374.0	1.2866e-07
374.2	1.4344e-07
374.4	1.5397e-07
374.6	1.3731e-07
374.8	1.2245e-07
375.0	1.092e-07
375.2	9.7388e-08
375.4	8.6851e-08
375.6	7.7454e-08
375.8	6.9074e-08
376.0	6.16e-08
376.2	5.4935e-08
376.4	4.8991e-08
376.6	4.369e-08
376.8	3.8963e-08
377.0	3.4747e-08
377.2	3.0988e-08
377.4	2.7635e-08
377.6	2.4645e-08
377.8	2.1978e-08
378.0	1.96e-08
378.2	1.9187e-08
378.4	2.0269e-08
378.6	2.1413e-08
378.8	2.2621e-08
379.0	2.3897e-08
379.2	2.5246e-08
379.4	2.667e-08
379.6	2.8175e-08
379.8	2.9765e-08
380.0	3.1444e-08
380.2	3.3219e-08
380.4	3.5093e-08
380.6	3.7073e-08
380.8	3.9165e-08
381.0	4.1375e-08
381.2	4.3709e-08
381.4	4.6175e-08
381.6	4.8781e-08
381.8	5.1533e-08
382.0	5.4691e-08
382.2	5.806e-08
382.4	6.1636e-08
382.6	6.5432e-08
382.8	6.9462e-08
383.0	7.3741e-08
383.2	7.8283e-08
383.4	8.3104e-08
383.6	8.8223e-08
383.8	9.3657e-08
384.0	9.9425e-08
384.2	1.0555e-07
384.4	1.1205e-07
384.6	1.1895e-07
384.8	1.2628e-07
385.0	1.3406e-07
385.2	1.4231e-07
385.4	1.5108e-07
385.6	1.5055e-07
385.8	1.3232e-07
386.0	1.163e-07
386.2	1.0222e-07
386.4	8.9845e-08
386.6	7.8967e-08
386.8	6.9406e-08
387.0	6.1003e-08
387.2	5.3617e-08
387.4	4.7125e-08
387.6	4.1419e-08
387.8	3.6404e-08
388.0	3.1997e-08
388.2	2.8123e-08
388.4	2.4718e-08
388.6	2.1725e-08
388.8	1.9095e-08
389.0	1.6783e-08
