Typical Measured Spectrum of Semrock FF01-561/14 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
301	1.7122E-06
301.2	1.6916E-06
301.4	1.6713E-06
301.6	1.6512E-06
301.8	1.6314E-06
302	1.6118E-06
302.2	1.5924E-06
302.4	1.5733E-06
302.6	1.5544E-06
302.8	1.5357E-06
303	1.5793E-06
303.2	1.6261E-06
303.4	1.6744E-06
303.6	1.724E-06
303.8	1.7752E-06
304	1.8279E-06
304.2	1.8821E-06
304.4	1.9379E-06
304.6	1.9954E-06
304.8	2.0546E-06
305	1.7096E-06
305.2	1.3372E-06
305.4	1.0459E-06
305.6	8.1807E-07
305.8	6.3987E-07
306	5.0049E-07
306.2	3.9146E-07
306.4	3.0619E-07
306.6	2.3949E-07
306.8	1.8732E-07
307	1.6828E-07
307.2	1.6713E-07
307.4	1.6598E-07
307.6	1.6484E-07
307.8	1.6371E-07
308	1.6259E-07
308.2	1.6147E-07
308.4	1.6036E-07
308.6	1.5926E-07
308.8	1.5817E-07
309	1.709E-07
309.2	2.1067E-07
309.4	2.5969E-07
309.6	3.2013E-07
309.8	3.9462E-07
310	4.8646E-07
310.2	5.9966E-07
310.4	7.3921E-07
310.6	9.1124E-07
310.8	1.1233E-06
311	1.3568E-06
311.2	1.3648E-06
311.4	1.3728E-06
311.6	1.3809E-06
311.8	1.389E-06
312	1.3971E-06
312.2	1.4053E-06
312.4	1.4136E-06
312.6	1.4219E-06
312.8	1.4302E-06
313	1.3628E-06
313.2	1.296E-06
313.4	1.2325E-06
313.6	1.1722E-06
313.8	1.1147E-06
314	1.0601E-06
314.2	1.0082E-06
314.4	9.5878E-07
314.6	9.118E-07
314.8	8.6713E-07
315	8.7476E-07
315.2	8.9771E-07
315.4	9.2126E-07
315.6	9.4542E-07
315.8	9.7022E-07
316	9.9567E-07
316.2	1.0218E-06
316.4	1.0486E-06
316.6	1.0761E-06
316.8	1.1043E-06
317	1.0692E-06
317.2	9.9417E-07
317.4	9.244E-07
317.6	8.5953E-07
317.8	7.9921E-07
318	7.4312E-07
318.2	6.9097E-07
318.4	6.4248E-07
318.6	5.9739E-07
318.8	5.5546E-07
319	5.3768E-07
319.2	5.5284E-07
319.4	5.6843E-07
319.6	5.8446E-07
319.8	6.0094E-07
320	6.1789E-07
320.2	6.3531E-07
320.4	6.5322E-07
320.6	6.7164E-07
320.8	6.9058E-07
321	7.1537E-07
321.2	7.871E-07
321.4	8.6603E-07
321.6	9.5287E-07
321.8	1.0484E-06
322	1.1535E-06
322.2	1.2692E-06
322.4	1.3965E-06
322.6	1.5365E-06
322.8	1.6906E-06
323	1.3383E-06
323.2	1.0373E-06
323.4	8.0405E-07
323.6	6.2324E-07
323.8	4.8309E-07
324	3.7445E-07
324.2	2.9025E-07
324.4	2.2498E-07
324.6	1.7439E-07
324.8	1.3517E-07
325	1.462E-07
325.2	1.7618E-07
325.4	2.123E-07
325.6	2.5584E-07
325.8	3.083E-07
326	3.7152E-07
326.2	4.477E-07
326.4	5.3951E-07
326.6	6.5014E-07
326.8	7.8346E-07
327	8.5438E-07
327.2	8.6411E-07
327.4	8.7395E-07
327.6	8.8391E-07
327.8	8.9397E-07
328	9.0415E-07
328.2	9.1445E-07
328.4	9.2487E-07
328.6	9.354E-07
328.8	9.4605E-07
329	9.1472E-07
329.2	8.243E-07
329.4	7.4282E-07
329.6	6.694E-07
329.8	6.0323E-07
330	5.436E-07
330.2	4.8987E-07
330.4	4.4145E-07
330.6	3.9781E-07
330.8	3.5849E-07
331	3.2109E-07
331.2	2.7297E-07
331.4	2.3207E-07
331.6	1.9729E-07
331.8	1.6773E-07
332	1.4259E-07
332.2	1.2122E-07
332.4	1.0306E-07
332.6	8.7615E-08
332.8	7.4485E-08
333	7.342E-08
333.2	7.2875E-08
333.4	7.2335E-08
333.6	7.1799E-08
333.8	7.1267E-08
334	7.0738E-08
334.2	7.0214E-08
334.4	6.9693E-08
334.6	6.9177E-08
334.8	6.8664E-08
335	6.8084E-08
335.2	6.7489E-08
335.4	6.69E-08
335.6	6.6315E-08
335.8	6.5736E-08
336	6.5162E-08
336.2	6.4592E-08
336.4	6.4028E-08
336.6	6.3468E-08
336.8	6.2914E-08
337	6.2296E-08
337.2	6.164E-08
337.4	6.099E-08
337.6	6.0347E-08
337.8	5.9711E-08
338	5.9082E-08
338.2	5.8459E-08
338.4	5.7843E-08
338.6	5.7234E-08
338.8	5.663E-08
339	5.7517E-08
339.2	6.0521E-08
339.4	6.3681E-08
339.6	6.7007E-08
339.8	7.0506E-08
340	7.4188E-08
340.2	7.8062E-08
340.4	8.2138E-08
340.6	8.6427E-08
340.8	9.094E-08
341	9.7011E-08
341.2	1.1392E-07
341.4	1.3377E-07
341.6	1.5708E-07
341.8	1.8445E-07
342	2.166E-07
342.2	2.5434E-07
342.4	2.9867E-07
342.6	3.5071E-07
342.8	4.1183E-07
343	3.4244E-07
343.2	2.7402E-07
343.4	2.1927E-07
343.6	1.7546E-07
343.8	1.4041E-07
344	1.1236E-07
344.2	8.9908E-08
344.4	7.1945E-08
344.6	5.7571E-08
344.8	4.6068E-08
345	4.3157E-08
345.2	4.2921E-08
345.4	4.2686E-08
345.6	4.2452E-08
345.8	4.2219E-08
346	4.1988E-08
346.2	4.1758E-08
346.4	4.1529E-08
346.6	4.1302E-08
346.8	4.1076E-08
347	4.0982E-08
347.2	4.0995E-08
347.4	4.1008E-08
347.6	4.1021E-08
347.8	4.1034E-08
348	4.1047E-08
348.2	4.106E-08
348.4	4.1073E-08
348.6	4.1085E-08
348.8	4.1098E-08
349	4.1101E-08
349.2	4.1086E-08
349.4	4.1071E-08
349.6	4.1057E-08
349.8	4.1042E-08
350	4.1028E-08
350.2	4.1013E-08
350.4	4.0998E-08
350.6	4.0984E-08
350.8	4.0969E-08
351	4.0964E-08
351.2	4.1029E-08
351.4	4.1095E-08
351.6	4.1161E-08
351.8	4.1227E-08
352	4.1293E-08
352.2	4.136E-08
352.4	4.1426E-08
352.6	4.1493E-08
352.8	4.1559E-08
353	4.4197E-08
353.2	4.7281E-08
353.4	5.058E-08
353.6	5.411E-08
353.8	5.7886E-08
354	6.1925E-08
354.2	6.6247E-08
354.4	7.087E-08
354.6	7.5815E-08
354.8	8.1106E-08
355	7.7948E-08
355.2	7.2144E-08
355.4	6.6773E-08
355.6	6.1802E-08
355.8	5.7201E-08
356	5.2942E-08
356.2	4.9E-08
356.4	4.5352E-08
356.6	4.1976E-08
356.8	3.885E-08
357	4.2684E-08
357.2	5.3233E-08
357.4	6.6389E-08
357.6	8.2795E-08
357.8	1.0326E-07
358	1.2878E-07
358.2	1.606E-07
358.4	2.0029E-07
358.6	2.4979E-07
358.8	3.1152E-07
359	3.4099E-07
359.2	3.0936E-07
359.4	2.8067E-07
359.6	2.5463E-07
359.8	2.3101E-07
360	2.0959E-07
360.2	1.9015E-07
360.4	1.7251E-07
360.6	1.5651E-07
360.8	1.4199E-07
361	1.3414E-07
361.2	1.6818E-07
361.4	2.1087E-07
361.6	2.6439E-07
361.8	3.315E-07
362	4.1563E-07
362.2	5.2113E-07
362.4	6.534E-07
362.6	8.1924E-07
362.8	1.0272E-06
363	7.658E-07
363.2	5.4738E-07
363.4	3.9125E-07
363.6	2.7966E-07
363.8	1.9989E-07
364	1.4288E-07
364.2	1.0212E-07
364.4	7.2996E-08
364.6	5.2176E-08
364.8	3.7294E-08
365	4.0668E-08
365.2	5.0491E-08
365.4	6.2687E-08
365.6	7.7828E-08
365.8	9.6627E-08
366	1.1997E-07
366.2	1.4895E-07
366.4	1.8492E-07
366.6	2.2959E-07
366.8	2.8505E-07
367	2.7287E-07
367.2	2.1965E-07
367.4	1.7681E-07
367.6	1.4232E-07
367.8	1.1456E-07
368	9.2218E-08
368.2	7.4231E-08
368.4	5.9753E-08
368.6	4.8098E-08
368.8	3.8717E-08
369	3.5346E-08
369.2	3.7753E-08
369.4	4.0325E-08
369.6	4.3071E-08
369.8	4.6005E-08
370	4.9138E-08
370.2	5.2485E-08
370.4	5.606E-08
370.6	5.9879E-08
370.8	6.3957E-08
371	6.6926E-08
371.2	6.2052E-08
371.4	5.7532E-08
371.6	5.3342E-08
371.8	4.9457E-08
372	4.5855E-08
372.2	4.2515E-08
372.4	3.9419E-08
372.6	3.6548E-08
372.8	3.3886E-08
373	3.3524E-08
373.2	3.3392E-08
373.4	3.3261E-08
373.6	3.3131E-08
373.8	3.3E-08
374	3.2871E-08
374.2	3.2742E-08
374.4	3.2613E-08
374.6	3.2486E-08
374.8	3.2358E-08
375	3.2242E-08
375.2	3.2129E-08
375.4	3.2017E-08
375.6	3.1906E-08
375.8	3.1795E-08
376	3.1684E-08
376.2	3.1573E-08
376.4	3.1463E-08
376.6	3.1354E-08
376.8	3.1244E-08
377	3.4248E-08
377.2	4.0054E-08
377.4	4.6846E-08
377.6	5.4789E-08
377.8	6.4079E-08
378	7.4944E-08
378.2	8.7651E-08
378.4	1.0251E-07
378.6	1.1989E-07
378.8	1.4022E-07
379	1.4259E-07
379.2	1.2178E-07
379.4	1.0401E-07
379.6	8.8835E-08
379.8	7.5872E-08
380	6.4801E-08
380.2	5.5345E-08
380.4	4.7269E-08
380.6	4.0371E-08
380.8	3.448E-08
381	3.0106E-08
381.2	2.9941E-08
381.4	2.9777E-08
381.6	2.9613E-08
381.8	2.9451E-08
382	2.9289E-08
382.2	2.9128E-08
382.4	2.8968E-08
382.6	2.8809E-08
382.8	2.8651E-08
383	2.849E-08
383.2	2.8329E-08
383.4	2.8169E-08
383.6	2.801E-08
383.8	2.7852E-08
384	2.7694E-08
384.2	2.7538E-08
384.4	2.7382E-08
384.6	2.7227E-08
384.8	2.7074E-08
385	3.1219E-08
385.2	3.8135E-08
385.4	4.6583E-08
385.6	5.6902E-08
385.8	6.9507E-08
386	8.4905E-08
386.2	1.0371E-07
386.4	1.2669E-07
386.6	1.5475E-07
386.8	1.8903E-07
387	1.8244E-07
387.2	1.4795E-07
387.4	1.1997E-07
387.6	9.729E-08
387.8	7.8894E-08
388	6.3977E-08
388.2	5.188E-08
388.4	4.2071E-08
388.6	3.4116E-08
388.8	2.7666E-08
389	2.48E-08
389.2	2.5459E-08
389.4	2.6136E-08
389.6	2.6831E-08
389.8	2.7545E-08
390	2.8277E-08
390.2	2.9029E-08
390.4	2.9801E-08
390.6	3.0594E-08
390.8	3.1407E-08
391	3.3008E-08
391.2	4.0074E-08
391.4	4.8652E-08
391.6	5.9067E-08
391.8	7.1711E-08
392	8.7061E-08
392.2	1.057E-07
392.4	1.2832E-07
392.6	1.5579E-07
392.8	1.8914E-07
393	1.7012E-07
393.2	1.4601E-07
393.4	1.2531E-07
393.6	1.0755E-07
393.8	9.2311E-08
394	7.9228E-08
394.2	6.7999E-08
394.4	5.8362E-08
394.6	5.0091E-08
394.8	4.2992E-08
395	3.9108E-08
395.2	3.6388E-08
395.4	3.3858E-08
395.6	3.1503E-08
395.8	2.9312E-08
396	2.7274E-08
396.2	2.5377E-08
396.4	2.3613E-08
396.6	2.1971E-08
396.8	2.0443E-08
397	2.3211E-08
397.2	3.0532E-08
397.4	4.0162E-08
397.6	5.283E-08
397.8	6.9493E-08
398	9.1412E-08
398.2	1.2024E-07
398.4	1.5817E-07
398.6	2.0806E-07
398.8	2.7368E-07
399	2.9426E-07
399.2	2.4347E-07
399.4	2.0145E-07
399.6	1.6669E-07
399.8	1.3792E-07
400	1.1412E-07
400.2	9.4422E-08
400.4	7.8126E-08
400.6	6.4643E-08
400.8	5.3487E-08
401	4.7018E-08
401.2	5.8249E-08
401.4	7.2163E-08
401.6	8.94E-08
401.8	1.1076E-07
402	1.3721E-07
402.2	1.6999E-07
402.4	2.1059E-07
402.6	2.6089E-07
402.8	3.2321E-07
403	2.6268E-07
403.2	2.0265E-07
403.4	1.5634E-07
403.6	1.2061E-07
403.8	9.3045E-08
404	7.1781E-08
404.2	5.5376E-08
404.4	4.2721E-08
404.6	3.2958E-08
404.8	2.5426E-08
405	2.8504E-08
405.2	3.6194E-08
405.4	4.5959E-08
405.6	5.8359E-08
405.8	7.4104E-08
406	9.4097E-08
406.2	1.1948E-07
406.4	1.5172E-07
406.6	1.9265E-07
406.8	2.4463E-07
407	2.3047E-07
407.2	1.794E-07
407.4	1.3965E-07
407.6	1.0871E-07
407.8	8.462E-08
408	6.587E-08
408.2	5.1274E-08
408.4	3.9913E-08
408.6	3.1069E-08
408.8	2.4185E-08
409	2.3523E-08
409.2	2.9265E-08
409.4	3.6408E-08
409.6	4.5296E-08
409.8	5.6352E-08
410	7.0108E-08
410.2	8.7221E-08
410.4	1.0851E-07
410.6	1.35E-07
410.8	1.6795E-07
411	1.9865E-07
411.2	1.8356E-07
411.4	1.6962E-07
411.6	1.5673E-07
411.8	1.4483E-07
412	1.3383E-07
412.2	1.2366E-07
412.4	1.1427E-07
412.6	1.0559E-07
412.8	9.7571E-08
413	1.0286E-07
413.2	1.1079E-07
413.4	1.1933E-07
413.6	1.2852E-07
413.8	1.3843E-07
414	1.491E-07
414.2	1.6059E-07
414.4	1.7297E-07
414.6	1.863E-07
414.8	2.0066E-07
415	1.7217E-07
415.2	1.3552E-07
415.4	1.0668E-07
415.6	8.397E-08
415.8	6.6097E-08
416	5.2028E-08
416.2	4.0953E-08
416.4	3.2236E-08
416.6	2.5374E-08
416.8	1.9973E-08
417	1.9631E-08
417.2	2.2443E-08
417.4	2.5657E-08
417.6	2.9332E-08
417.8	3.3533E-08
418	3.8336E-08
418.2	4.3827E-08
418.4	5.0104E-08
418.6	5.7281E-08
418.8	6.5485E-08
419	7.0932E-08
419.2	7.2208E-08
419.4	7.3507E-08
419.6	7.4829E-08
419.8	7.6175E-08
420	7.7545E-08
420.2	7.894E-08
420.4	8.036E-08
420.6	8.1805E-08
420.8	8.3277E-08
421	8.2021E-08
421.2	6.8759E-08
421.4	5.7641E-08
421.6	4.8321E-08
421.8	4.0507E-08
422	3.3958E-08
422.2	2.8467E-08
422.4	2.3864E-08
422.6	2.0005E-08
422.8	1.677E-08
423	1.6257E-08
423.2	1.6201E-08
423.4	1.6146E-08
423.6	1.609E-08
423.8	1.6035E-08
424	1.598E-08
424.2	1.5925E-08
424.4	1.5871E-08
424.6	1.5816E-08
424.8	1.5762E-08
425	1.6517E-08
425.2	1.7657E-08
425.4	1.8877E-08
425.6	2.018E-08
425.8	2.1574E-08
426	2.3064E-08
426.2	2.4657E-08
426.4	2.6359E-08
426.6	2.818E-08
426.8	3.0126E-08
427	2.9733E-08
427.2	2.7729E-08
427.4	2.5861E-08
427.6	2.4118E-08
427.8	2.2492E-08
428	2.0977E-08
428.2	1.9563E-08
428.4	1.8244E-08
428.6	1.7015E-08
428.8	1.5868E-08
429	1.6192E-08
