Typical Measured Spectrum of Semrock BLP01-568R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
254,4	4,31951973588503E-07
255,4	5,04398123996866E-07
256,4	3,84500990257859E-07
257,4	3,48799989058153E-07
258,4	4,81297341308451E-07
259,4	4,69572292007905E-07
260,4	4,09542014900051E-07
261,4	1,68728118090615E-07
262,4	5,42435947390981E-07
263,4	5,06685484283088E-07
264,4	4,82646835029292E-07
265,4	4,94819108663988E-07
266,4	3,8607747358529E-07
267,4	4,82735750051019E-07
268,4	4,22499756158156E-07
269,4	4,46714924893602E-07
270,4	3,98414799775399E-07
271,4	4,70725215179906E-07
272,4	4,34684808539451E-07
273,4	3,98425808535235E-07
274,4	4,82921412949067E-07
275,4	3,02078254150174E-07
276,4	4,59093836913646E-07
277,4	4,22954317556968E-07
278,4	4,59070581244927E-07
279,4	4,35235651583811E-07
280,4	4,95584212209852E-07
281,4	4,35290774265947E-07
282,4	4,23345027118389E-07
283,4	4,71646333480222E-07
284,4	4,71889661529511E-07
285,4	4,71935299512475E-07
286,4	4,9605343650372E-07
287,4	4,35835360312011E-07
288,4	4,96455655730418E-07
289,4	5,08539231771601E-07
290,4	5,20707055857483E-07
291,4	4,24006449503899E-07
292,4	4,84588900755034E-07
293,4	5,20883334617999E-07
294,4	4,48239848462647E-07
295,4	4,72577959358627E-07
296,4	4,97001228960226E-07
297,4	4,3644594479902E-07
298,4	4,84915942566703E-07
299,4	5,09299749580934E-07
300,4	5,09241117655562E-07
301,4	4,72928473894556E-07
302,4	4,97267942815825E-07
303,4	5,09509707222334E-07
304,4	5,82406834351218E-07
305,4	5,09585970243938E-07
306,4	4,49089046601558E-07
307,4	4,48997024179733E-07
308,4	5,21884577101327E-07
309,4	3,64175279854752E-07
310,4	3,64283468171344E-07
311,4	3,76468343113044E-07
312,4	4,00968690892743E-07
313,4	3,7658885460231E-07
314,4	5,4677980105115E-07
315,4	4,3735234818705E-07
316,4	4,49537020350906E-07
317,4	4,01105357328692E-07
318,4	4,01068415861275E-07
319,4	4,61883515466294E-07
320,4	4,8636180620743E-07
321,4	4,49966791012133E-07
322,4	4,62160115039587E-07
323,4	4,25868445689904E-07
324,4	5,4764668434792E-07
325,4	4,98998755660742E-07
326,4	4,01646940050203E-07
327,4	4,38244488156932E-07
328,4	4,62670130318479E-07
329,4	4,50545299026917E-07
330,4	4,38357521396609E-07
331,4	4,38458468567552E-07
332,4	4,02039257861098E-07
333,4	4,75197845179753E-07
334,4	4,63061274368726E-07
335,4	5,24026756818993E-07
336,4	5,48339412798637E-07
337,4	5,48472001632658E-07
338,4	4,99751910017147E-07
339,4	4,87641280076561E-07
340,4	5,11946363745355E-07
341,4	5,36418148293565E-07
342,4	5,48636203656361E-07
343,4	5,73032775250887E-07
344,4	6,21842588684305E-07
345,4	6,34172583390793E-07
346,4	7,19572342824173E-07
347,4	7,19434835210802E-07
348,4	7,07446272475536E-07
349,4	7,19646906131841E-07
350,4	8,17117407548861E-07
351,4	8,5367087096104E-07
352,4	8,53694459084782E-07
353,4	8,65895460096833E-07
354,4	8,90412939679304E-07
355,4	8,65885491164325E-07
356,4	8,65791788808585E-07
357,4	9,14670058167933E-07
358,4	9,02400781267698E-07
359,4	8,90134149121068E-07
360,4	9,6326873079014E-07
361,4	1,04853386739535E-06
362,4	1,18284942375241E-06
363,4	1,32915755030184E-06
364,4	1,45092332557097E-06
365,4	1,52394559398217E-06
366,4	1,53609283221794E-06
367,4	1,42633803268946E-06
368,4	1,2919998482116E-06
369,4	1,13355203943445E-06
370,4	9,50780930488234E-07
371,4	8,5316977738173E-07
372,4	8,04278506210882E-07
373,4	7,4330398754799E-07
374,4	7,31059058238942E-07
375,4	7,43201303400446E-07
376,4	8,6496485687273E-07
377,4	9,01271136020525E-07
378,4	7,67220966459718E-07
379,4	8,1587093642512E-07
380,4	8,64405382782407E-07
381,4	8,52201830346528E-07
382,4	8,40813086811027E-07
383,4	8,41843693153386E-07
384,4	8,05242081204741E-07
385,4	7,56354617592485E-07
386,4	6,95342000373368E-07
387,4	6,46553493466498E-07
388,4	6,34349296603696E-07
389,4	5,97740197363578E-07
390,4	6,34331769127039E-07
391,4	6,34328847928013E-07
392,4	5,36731967756009E-07
393,4	5,2450721018307E-07
394,4	5,12285970756057E-07
395,4	5,36591096948559E-07
396,4	5,24367133083123E-07
397,4	4,7558424896191E-07
398,4	4,87754699654306E-07
399,4	4,99907281539694E-07
400,4	5,12056003890228E-07
401,4	5,36424324071274E-07
402,4	5,36327990035542E-07
403,4	5,11817890661084E-07
404,4	5,11770752662088E-07
405,4	5,11749541978936E-07
406,4	5,1170123203781E-07
407,4	4,99440161820975E-07
408,4	5,11524527211066E-07
409,4	5,35847813131476E-07
410,4	5,47972119801208E-07
411,4	5,84432639688661E-07
412,4	6,81747356519356E-07
413,4	7,54686293787352E-07
414,4	8,88506199951119E-07
415,4	1,02218019618036E-06
416,4	1,15581536263403E-06
417,4	1,38676369239688E-06
418,4	1,56900187520135E-06
419,4	1,6417365335161E-06
420,4	1,54416058438895E-06
421,4	1,30070096555633E-06
422,4	1,0574125550455E-06
423,4	9,60060192412881E-07
424,4	8,26251883760079E-07
425,4	6,92485146858467E-07
426,4	6,68103062696053E-07
427,4	6,43656949483361E-07
428,4	6,3134458897096E-07
429,4	6,19096662305998E-07
430,4	6,31191966334495E-07
431,4	6,18925623207521E-07
432,4	6,79423341056196E-07
433,4	6,67169927914089E-07
434,4	6,18550927768687E-07
435,4	6,18444117030816E-07
436,4	6,30452632709312E-07
437,4	6,4241468897345E-07
438,4	6,66468246664454E-07
439,4	6,90531449188709E-07
440,4	7,38819692549633E-07
441,4	7,38707422196854E-07
442,4	7,38498236606904E-07
443,4	7,14110572052764E-07
444,4	6,41307712163712E-07
445,4	5,08088613917509E-07
446,4	5,32125979539355E-07
447,4	5,07777511207142E-07
448,4	4,71406387250799E-07
449,4	4,834565656848E-07
450,4	4,83395343568063E-07
451,4	4,71251192977821E-07
452,4	4,71200196226659E-07
453,4	4,83207273206845E-07
454,4	4,83120496182325E-07
455,4	4,5885605042471E-07
456,4	5,67428914826798E-07
457,4	4,9492052237119E-07
458,4	4,46563746408841E-07
459,4	4,70564827550336E-07
460,4	4,70442406219595E-07
461,4	3,37670765701378E-07
462,4	3,7379756041676E-07
463,4	4,82212498433248E-07
464,4	4,94156443457339E-07
465,4	6,62651923027297E-07
466,4	5,17937626950515E-07
467,4	4,57574129988965E-07
468,4	4,69487963628437E-07
469,4	4,33210987064248E-07
470,4	4,57107621666003E-07
471,4	4,8100707311551E-07
472,4	4,92820156880895E-07
473,4	4,56578505950783E-07
474,4	4,44387119655269E-07
475,4	4,68233478812858E-07
476,4	4,56016400934734E-07
477,4	4,6785089286336E-07
478,4	4,6763979626923E-07
479,4	4,79450154195396E-07
480,4	4,79189686924496E-07
481,4	4,7887532819915E-07
482,4	4,78535832030906E-07
483,4	4,66171224992629E-07
484,4	4,65819283067449E-07
485,4	5,01356283859001E-07
486,4	4,6534865460351E-07
487,4	4,65301510777203E-07
488,4	4,41469253984736E-07
489,4	4,77423137624075E-07
490,4	5,25321847108104E-07
491,4	5,01531785726251E-07
492,4	4,77701343423296E-07
493,4	4,53787431005952E-07
494,4	5,1344090191376E-07
495,4	4,6573026672529E-07
496,4	4,6573348388711E-07
497,4	4,65694879411971E-07
498,4	4,53743547992609E-07
499,4	4,53758175192186E-07
500,4	4,05977965314921E-07
501,4	4,41781436112149E-07
502,4	4,65601598473942E-07
503,4	4,41701081512207E-07
504,4	3,81993051080036E-07
505,4	4,41664469073956E-07
506,4	4,53544038289622E-07
507,4	4,29625907627642E-07
508,4	4,53430221285384E-07
509,4	4,53400988501037E-07
510,4	4,41341190976892E-07
511,4	4,53169280980185E-07
512,4	4,53109807615765E-07
513,4	4,41062832967965E-07
514,4	4,4096737833638E-07
515,4	4,52770854194048E-07
516,4	4,40699403456518E-07
517,4	4,28645691332629E-07
518,4	4,52335280693874E-07
519,4	4,1646399671539E-07
520,4	4,28183041387331E-07
521,4	4,51794003759285E-07
522,4	4,27852882897682E-07
523,4	4,63305507253227E-07
524,4	4,15564521236706E-07
525,4	4,51011340977914E-07
526,4	4,50793310377727E-07
527,4	4,15003216398533E-07
528,4	4,14847486049026E-07
529,4	4,14679401101802E-07
530,4	4,38166794712258E-07
531,4	4,26173520991751E-07
532,4	4,4966228456646E-07
533,4	4,02153138727929E-07
534,4	4,13831421338472E-07
535,4	4,01860631741489E-07
536,4	3,78089365918574E-07
537,4	4,37017132066662E-07
538,4	4,25089583106828E-07
539,4	4,13107864255831E-07
540,4	4,24789196174405E-07
541,4	4,24696285575944E-07
542,4	4,36381632486554E-07
543,4	4,12652482961914E-07
544,4	3,7717114712688E-07
545,4	4,12437800980294E-07
546,4	4,24125576168828E-07
547,4	4,12229874993738E-07
548,4	4,35721974139332E-07
549,4	4,35587554430163E-07
550,4	4,12001182610963E-07
551,4	3,64846733753285E-07
552,4	4,11815285677232E-07
553,4	4,35279749171044E-07
554,4	3,99895449876961E-07
555,4	4,11535649938363E-07
556,4	4,23237814022313E-07
557,4	4,11390693308172E-07
558,4	5,75846143457662E-07
559,4	4,34721843371163E-07
560,4	4,58163473477076E-07
561,4	4,46323200478346E-07
562,4	4,58059044302119E-07
563,4	4,81420370347345E-07
564,4	5,04869880831449E-07
565,4	5,04765266144077E-07
566,4	6,57920566569392E-07
567,4	7,04761972878968E-07
568,4	7,16314038473342E-07
569,4	8,4538485387854E-07
570,4	9,62517119386742E-07
571,4	1,47870132707609E-06
572,345	3,75354197909939E-06
572,644	5,3582827704692E-06
573,146	9,24158606852578E-06
573,647	1,68758816499633E-05
573,946	2,50626036076541E-05
574,448	4,78222573552029E-05
574,95	9,35182115102678E-05
575,1	0,000116309781814128
575,239	0,000140892570809219
575,406	0,000178056891368877
575,574	0,000229144501577588
575,741	0,000291479315329875
575,908	0,000377829259911843
576,075	0,000486322224570916
576,243	0,000636980876688072
576,437666666667	0,000880029725337521
576,624	0,00119906003810299
576,791	0,00159131974671721
576,958	0,0021231449636057
577,1255	0,00286096732346108
577,2925	0,0038609802089847
577,46	0,00531361651737265
577,627	0,00732709160268181
577,7085	0,0082487591093422
577,8425	0,0106346064286774
578,0095	0,0149542521985784
578,177	0,0212981791225741
578,344	0,0306172308057434
578,511	0,0444438489075196
578,678	0,0651637967498519
578,8455	0,0962389712395687
579,005666666667	0,140178281995438
579,1715	0,205034541046942
579,3385	0,294718160638811
579,506	0,411191659693601
579,673	0,546233552455659
579,84	0,682670298586818
580,007	0,799726779995943
580,174	0,884264673644571
580,341	0,935771333955047
580,5085	0,962826750103902
580,6755	0,974492233700684
580,8425	0,97861443377489
581,0095	0,980079077842944
581,1765	0,98078712908373
581,3435	0,981744874410708
581,511	0,982930211937397
581,678	0,984313737048302
581,845	0,985536475436518
582,012	0,98649901136569
582,179	0,986651139115862
582,346	0,986610900531605
582,513	0,985967398232638
582,68	0,984718334772266
582,847	0,984166521285222
583,014	0,983242267041244
583,181	0,982547831961781
583,348	0,981826357196868
583,515	0,982011246569123
583,682	0,981996034363792
583,849	0,982772501026289
584,016	0,98292643641381
584,183	0,98429714664958
584,35	0,9854679651194
584,517	0,986532795584375
584,684	0,987485585146558
584,851	0,988294679979293
585,018	0,988994421048441
585,185	0,989313927091381
585,352	0,989406501790151
585,519	0,989211305747075
585,686	0,988781286695849
585,853	0,988318735028976
586,02	0,987783179489501
586,1865	0,987277965404793
586,3535	0,986331455142155
586,5205	0,985093319294074
586,6875	0,984805007333413
586,8545	0,984171273379353
587,0215	0,98377338090646
587,1885	0,983186829546465
587,3555	0,983377605635496
587,522	0,983250160324101
587,689	0,983933673366487
587,856	0,984308455679358
588,023	0,985153829865172
588,1895	0,985572714518596
588,3565	0,985975615420752
588,5235	0,986533898549373
588,6905	0,98745271438269
588,8575	0,988348793508142
589,024	0,989148392132993
589,191	0,989390277795335
589,358	0,990201747271082
589,5245	0,990344397100437
589,6915	0,990800020202331
589,8585	0,990681513597249
590,0255	0,990254239272486
590,192	0,990045650298653
590,359	0,989710145487593
590,5255	0,989105262988061
590,6925	0,988516697711108
590,8595	0,98793742115778
591,0265	0,986801961944001
591,193	0,986782196190479
591,36	0,985967533133842
591,5265	0,984945072778751
591,6935	0,98514407704667
591,8605	0,984855579014795
592,027	0,984406654902437
592,194	0,98451210800558
592,3605	0,984525606787495
592,5275	0,984883664408496
592,6945	0,984721519226867
592,861	0,98515859992177
593,0275	0,985551074909847
593,1945	0,986174499634982
593,3615	0,986762678337089
593,528	0,987395494607327
593,6945	0,988309679676445
593,8615	0,988879454758069
594,0285	0,98922356002465
594,195	0,98946132609662
594,3615	0,989676858785833
594,5285	0,990285703596552
594,6955	0,990340438159582
594,862	0,990617562029868
595,0285	0,990781485384532
595,1955	0,991266409464347
595,362	0,990711655737579
595,5285	0,990643036522867
595,6955	0,989914872039528
595,8625	0,98917102276171
596,029	0,988646485716317
596,1955	0,987801135391391
596,3625	0,987378550169745
596,529	0,986338817891175
596,6955	0,986002615388968
596,8625	0,985099561584742
597,029	0,98480942957363
597,1955	0,983785836091636
597,3625	0,983058474499769
597,529	0,982491594922273
597,6955	0,982693077318964
597,8625	0,982335837404475
598,029	0,981958528051193
598,1955	0,981898061388532
598,3625	0,981867971147718
598,5285	0,982047571016399
598,6955	0,982112984809051
598,862	0,982765847245693
599,0285	0,983455018185967
599,1955	0,983444736974818
599,362	0,984573333368913
599,5285	0,985239674478614
599,695	0,986083699329826
599,8615	0,986594283613334
600,0285	0,987193748469565
600,195	0,987866575511317
600,3615	0,988383903804345
600,528	0,988952618667186
600,6945	0,989918723041565
600,8615	0,989847256250466
601,0275	0,990263113890452
601,1945	0,990763747903351
601,361	0,990353370396038
601,5275	0,990565372454603
601,694	0,990705486070055
601,8605	0,990693934457366
602,027	0,990423085501836
602,1935	0,990243900597107
602,3605	0,989839746327975
602,5265	0,989558452556043
602,6935	0,988991002235103
602,8595	0,988439255044905
603,0265	0,987824440667174
603,1925	0,987416924098582
603,3595	0,986713001797514
603,5255	0,986334590189661
603,6925	0,985799551940235
603,8585	0,9852226296486
604,0255	0,984501267688555
604,1915	0,983881346634486
604,3585	0,983649312024533
604,5245	0,983650562042456
604,6915	0,983265919912794
604,8575	0,983542342034762
605,0245	0,983179264633864
605,1905	0,983204556732028
605,357	0,983163852578729
605,5235	0,983583337688719
605,69	0,984139929073685
605,8565	0,984583994915366
606,0225	0,984747097108216
606,1895	0,984944264966475
606,3555	0,985946714804457
606,5225	0,98594935397126
606,6885	0,986716344905097
606,855	0,987411463013998
607,0215	0,987565476121137
607,1875	0,988039756476499
607,3545	0,988913685880068
607,5205	0,988871483960053
607,687	0,989309563548372
