Typical Measured Spectrum of Semrock FF01-650/150 Optical Filter	
"For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited."	
"For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. "	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
371	1.41E-07
371.2	1.32E-07
371.4	1.24E-07
371.6	1.16E-07
371.8	1.09E-07
372	1.02E-07
372.2	9.55E-08
372.4	8.95E-08
372.6	8.39E-08
372.8	7.87E-08
373	7.37E-08
373.2	6.91E-08
373.4	6.48E-08
373.6	6.07E-08
373.8	5.69E-08
374	5.33E-08
374.2	5.00E-08
374.4	4.68E-08
374.6	4.39E-08
374.8	4.11E-08
375	3.86E-08
375.2	3.96E-08
375.4	4.15E-08
375.6	4.34E-08
375.8	4.54E-08
376	4.75E-08
376.2	4.98E-08
376.4	5.21E-08
376.6	5.45E-08
376.8	5.71E-08
377	5.98E-08
377.2	6.26E-08
377.4	6.55E-08
377.6	6.85E-08
377.8	7.17E-08
378	7.51E-08
378.2	7.86E-08
378.4	8.23E-08
378.6	8.61E-08
378.8	9.02E-08
379	9.44E-08
379.2	9.88E-08
379.4	1.03E-07
379.6	1.08E-07
379.8	1.13E-07
380	1.19E-07
380.2	1.20E-07
380.4	1.21E-07
380.6	1.22E-07
380.8	1.23E-07
381	1.24E-07
381.2	1.25E-07
381.4	1.26E-07
381.6	1.27E-07
381.8	1.28E-07
382	1.29E-07
382.2	1.30E-07
382.4	1.31E-07
382.6	1.32E-07
382.8	1.34E-07
383	1.35E-07
383.2	1.36E-07
383.4	1.37E-07
383.6	1.38E-07
383.8	1.39E-07
384	1.40E-07
384.2	1.41E-07
384.4	1.59E-07
384.6	1.87E-07
384.8	2.21E-07
385	2.61E-07
385.2	3.08E-07
385.4	3.64E-07
385.6	4.30E-07
385.8	5.07E-07
386	5.99E-07
386.2	7.07E-07
386.4	8.35E-07
386.6	9.86E-07
386.8	1.16E-06
387	1.37E-06
387.2	1.62E-06
387.4	1.91E-06
387.6	2.26E-06
387.8	2.67E-06
388	3.15E-06
388.2	3.71E-06
388.4	4.38E-06
388.6	5.17E-06
388.8	6.09E-06
389	7.19E-06
389.2	8.48E-06
389.4	1.00E-05
389.6	1.18E-05
389.8	1.39E-05
390	1.64E-05
390.2	1.94E-05
390.4	2.28E-05
390.6	2.66E-05
390.8	2.64E-05
391	2.62E-05
391.2	2.59E-05
391.4	2.57E-05
391.6	2.55E-05
391.8	2.53E-05
392	2.51E-05
392.2	2.49E-05
392.4	2.47E-05
392.6	2.45E-05
392.8	2.43E-05
393	2.41E-05
393.2	2.39E-05
393.4	2.37E-05
393.6	2.23E-05
393.8	2.10E-05
394	1.98E-05
394.2	1.86E-05
394.4	1.75E-05
394.6	1.65E-05
394.8	1.55E-05
395	1.46E-05
395.2	1.38E-05
395.4	1.30E-05
395.6	1.22E-05
395.8	1.15E-05
396	1.08E-05
396.2	1.02E-05
396.4	9.60E-06
396.6	9.04E-06
396.8	8.51E-06
397	8.01E-06
397.2	7.54E-06
397.4	7.10E-06
397.6	6.69E-06
397.8	6.29E-06
398	5.93E-06
398.2	5.58E-06
398.4	5.25E-06
398.6	5.19E-06
398.8	5.22E-06
399	5.24E-06
399.2	5.27E-06
399.4	5.30E-06
399.6	5.33E-06
399.8	5.35E-06
400	5.38E-06
400.2	5.41E-06
400.4	5.44E-06
400.6	5.47E-06
400.8	5.50E-06
401	5.53E-06
401.2	5.55E-06
401.4	5.58E-06
401.6	5.61E-06
401.8	5.64E-06
402	5.67E-06
402.2	5.70E-06
402.4	5.73E-06
402.6	5.76E-06
402.8	5.79E-06
403	5.82E-06
403.2	5.85E-06
403.4	5.88E-06
403.6	5.09E-06
403.8	3.77E-06
404	2.79E-06
404.2	2.07E-06
404.4	1.53E-06
404.6	1.14E-06
404.8	8.41E-07
405	6.23E-07
405.2	4.61E-07
405.4	3.42E-07
405.6	2.53E-07
405.8	1.88E-07
406	1.39E-07
406.2	1.03E-07
406.4	7.62E-08
406.6	5.65E-08
406.8	4.18E-08
407	3.10E-08
407.2	2.30E-08
407.4	1.70E-08
407.6	1.26E-08
407.8	1.04E-08
408	1.18E-08
408.2	1.33E-08
408.4	1.51E-08
408.6	1.71E-08
408.8	1.93E-08
409	2.18E-08
409.2	2.47E-08
409.4	2.80E-08
409.6	3.17E-08
409.8	3.58E-08
410	4.06E-08
410.2	4.59E-08
410.4	5.20E-08
410.6	5.88E-08
410.8	6.66E-08
411	7.54E-08
411.2	8.53E-08
411.4	9.65E-08
411.6	1.00E-07
411.8	1.00E-07
412	1.00E-07
412.2	1.00E-07
412.4	1.00E-07
412.6	1.00E-07
412.8	1.00E-07
413	1.00E-07
413.2	1.00E-07
413.4	1.00E-07
413.6	1.00E-07
413.8	1.00E-07
414	1.00E-07
414.2	1.00E-07
414.4	1.00E-07
414.6	1.00E-07
414.8	1.00E-07
415	1.00E-07
415.2	1.00E-07
415.4	1.00E-07
415.6	1.00E-07
415.8	1.00E-07
416	1.00E-07
416.2	1.00E-07
416.4	1.00E-07
416.6	1.00E-07
416.8	1.00E-07
417	1.00E-07
417.2	1.00E-07
417.4	1.00E-07
417.6	1.00E-07
417.8	1.00E-07
418	1.00E-07
418.2	1.00E-07
418.4	1.00E-07
418.6	1.00E-07
418.8	1.00E-07
419	1.00E-07
419.2	1.00E-07
419.4	1.00E-07
419.6	1.00E-07
419.8	1.00E-07
420	1.00E-07
420.2	1.00E-07
420.4	1.00E-07
420.6	1.00E-07
420.8	1.00E-07
421	1.00E-07
421.2	1.00E-07
421.4	1.00E-07
421.6	1.00E-07
421.8	1.00E-07
422	1.00E-07
422.2	1.00E-07
422.4	1.00E-07
422.6	1.00E-07
422.8	1.00E-07
423	1.00E-07
423.2	1.00E-07
423.4	1.00E-07
423.6	1.00E-07
423.8	1.00E-07
424	1.00E-07
424.2	1.00E-07
424.4	1.00E-07
424.6	1.00E-07
424.8	1.00E-07
425	1.00E-07
425.2	1.00E-07
425.4	1.00E-07
425.6	1.00E-07
425.8	1.00E-07
426	1.00E-07
426.2	1.00E-07
426.4	1.00E-07
426.6	1.00E-07
426.8	1.00E-07
427	1.00E-07
427.2	1.00E-07
427.4	1.00E-07
427.6	1.00E-07
427.8	1.00E-07
428	1.00E-07
428.2	1.00E-07
428.4	1.00E-07
428.6	1.00E-07
428.8	1.00E-07
429	1.00E-07
429.2	1.00E-07
429.4	1.00E-07
429.6	1.00E-07
429.8	1.00E-07
430	1.00E-07
430.2	9.92E-08
430.4	8.88E-08
430.6	7.94E-08
430.8	7.11E-08
431	6.36E-08
431.2	5.69E-08
431.4	5.09E-08
431.6	4.56E-08
431.8	4.08E-08
432	3.65E-08
432.2	3.27E-08
432.4	2.92E-08
432.6	2.62E-08
432.8	2.34E-08
433	2.10E-08
433.2	1.88E-08
433.4	1.68E-08
433.6	1.50E-08
433.8	1.34E-08
434	1.35E-08
434.2	1.51E-08
434.4	1.69E-08
434.6	1.89E-08
434.8	2.11E-08
435	2.36E-08
435.2	2.64E-08
435.4	2.94E-08
435.6	3.29E-08
435.8	3.68E-08
436	4.11E-08
436.2	4.59E-08
436.4	5.13E-08
436.6	5.73E-08
436.8	6.41E-08
437	7.16E-08
437.2	8.00E-08
437.4	8.94E-08
437.6	9.99E-08
437.8	1.00E-07
438	1.00E-07
438.2	1.00E-07
438.4	1.00E-07
438.6	1.00E-07
438.8	1.00E-07
439	1.00E-07
439.2	1.00E-07
439.4	1.00E-07
439.6	1.00E-07
439.8	1.00E-07
440	1.00E-07
440.2	1.00E-07
440.4	1.00E-07
440.6	1.00E-07
440.8	1.00E-07
441	1.00E-07
441.2	1.00E-07
441.4	1.00E-07
441.6	1.00E-07
441.8	1.00E-07
442	1.00E-07
442.2	1.00E-07
442.4	1.00E-07
442.6	1.00E-07
442.8	1.00E-07
443	1.00E-07
443.2	1.00E-07
443.4	1.00E-07
443.6	1.00E-07
443.8	1.00E-07
444	1.00E-07
444.2	1.00E-07
444.4	1.00E-07
444.6	1.00E-07
444.8	1.00E-07
445	1.00E-07
445.2	1.00E-07
445.4	1.00E-07
445.6	1.00E-07
445.8	1.00E-07
446	1.00E-07
446.2	1.00E-07
446.4	1.00E-07
446.6	1.00E-07
446.8	1.00E-07
447	1.00E-07
447.2	1.00E-07
447.4	1.00E-07
447.6	1.00E-07
447.8	1.00E-07
448	1.00E-07
448.2	1.00E-07
448.4	1.00E-07
448.6	1.00E-07
448.8	1.00E-07
449	1.00E-07
449.2	1.00E-07
449.4	1.00E-07
449.6	1.00E-07
449.8	1.00E-07
450	1.00E-07
450.2	1.00E-07
450.4	1.00E-07
450.6	1.00E-07
450.8	1.00E-07
451	1.00E-07
451.2	1.00E-07
451.4	1.00E-07
451.6	1.00E-07
451.8	1.00E-07
452	1.00E-07
452.2	1.00E-07
452.4	1.00E-07
452.6	9.36E-08
452.8	8.73E-08
453	8.14E-08
453.2	7.59E-08
453.4	7.08E-08
453.6	6.61E-08
453.8	6.16E-08
454	5.75E-08
454.2	5.36E-08
454.4	5.00E-08
454.6	4.66E-08
454.8	4.35E-08
455	4.06E-08
455.2	3.78E-08
455.4	3.53E-08
455.6	3.29E-08
455.8	3.07E-08
456	2.86E-08
456.2	2.85E-08
456.4	3.06E-08
456.6	3.28E-08
456.8	3.51E-08
457	3.77E-08
457.2	4.04E-08
457.4	4.33E-08
457.6	4.64E-08
457.8	4.98E-08
458	5.34E-08
458.2	5.72E-08
458.4	6.14E-08
458.6	6.58E-08
458.8	7.05E-08
459	7.56E-08
459.2	8.11E-08
459.4	8.70E-08
459.6	9.32E-08
459.8	1.00E-07
460	1.00E-07
460.2	1.00E-07
460.4	1.00E-07
460.6	1.00E-07
460.8	1.00E-07
461	1.00E-07
461.2	1.00E-07
461.4	1.00E-07
461.6	1.00E-07
461.8	1.00E-07
462	1.00E-07
462.2	1.00E-07
462.4	1.00E-07
462.6	1.00E-07
462.8	1.00E-07
463	1.00E-07
463.2	1.00E-07
463.4	1.00E-07
463.6	1.00E-07
463.8	1.00E-07
464	1.00E-07
464.2	1.00E-07
464.4	1.00E-07
464.6	1.00E-07
464.8	1.00E-07
465	1.00E-07
465.2	1.00E-07
465.4	1.00E-07
465.6	1.00E-07
465.8	1.00E-07
466	1.00E-07
466.2	1.00E-07
466.4	1.00E-07
466.6	1.00E-07
466.8	1.00E-07
467	1.00E-07
467.2	1.05E-07
467.4	1.94E-07
467.6	3.59E-07
467.8	6.64E-07
468	1.23E-06
468.2	1.21E-06
468.4	1.20E-06
468.6	1.18E-06
468.8	1.17E-06
469	1.15E-06
469.2	1.14E-06
469.4	1.13E-06
469.6	1.11E-06
469.8	1.10E-06
470	1.08E-06
470.2	1.07E-06
470.4	1.06E-06
470.6	1.04E-06
470.8	1.04E-06
471	1.04E-06
471.2	1.04E-06
471.4	1.04E-06
471.6	1.04E-06
471.8	1.04E-06
472	1.03E-06
472.2	1.03E-06
472.4	1.03E-06
472.6	1.03E-06
472.8	1.03E-06
473	1.03E-06
473.2	1.03E-06
473.4	1.02E-06
473.6	1.02E-06
473.8	1.02E-06
474	1.02E-06
474.2	1.02E-06
474.4	1.02E-06
474.6	1.04E-06
474.8	1.05E-06
475	1.06E-06
475.2	1.07E-06
475.4	1.08E-06
475.6	1.09E-06
475.8	1.10E-06
476	1.12E-06
476.2	1.13E-06
476.4	1.14E-06
476.6	1.15E-06
476.8	1.16E-06
477	1.18E-06
477.2	1.19E-06
477.4	1.20E-06
477.6	1.21E-06
477.8	1.23E-06
478	1.24E-06
478.2	1.25E-06
478.4	1.25E-06
478.6	1.26E-06
478.8	1.26E-06
479	1.27E-06
479.2	1.27E-06
479.4	1.28E-06
479.6	1.29E-06
479.8	1.29E-06
480	1.30E-06
480.2	1.30E-06
480.4	1.31E-06
480.6	1.32E-06
480.8	1.32E-06
481	1.33E-06
481.2	1.34E-06
481.4	1.34E-06
481.6	1.35E-06
481.8	1.35E-06
482	1.36E-06
482.2	1.36E-06
482.4	1.36E-06
482.6	1.37E-06
482.8	1.37E-06
483	1.38E-06
483.2	1.38E-06
483.4	1.38E-06
483.6	1.39E-06
483.8	1.39E-06
484	1.40E-06
484.2	1.40E-06
484.4	1.40E-06
484.6	1.41E-06
484.8	1.41E-06
485	1.42E-06
485.2	1.42E-06
485.4	1.42E-06
485.6	1.43E-06
485.8	1.44E-06
486	1.44E-06
486.2	1.45E-06
486.4	1.45E-06
486.6	1.46E-06
486.8	1.47E-06
487	1.47E-06
487.2	1.48E-06
487.4	1.49E-06
487.6	1.49E-06
487.8	1.50E-06
488	1.51E-06
488.2	1.51E-06
488.4	1.52E-06
488.6	1.53E-06
488.8	1.53E-06
489	1.54E-06
489.2	1.55E-06
489.4	1.57E-06
489.6	1.58E-06
489.8	1.60E-06
490	1.61E-06
490.2	1.63E-06
490.4	1.65E-06
490.6	1.66E-06
490.8	1.68E-06
491	1.69E-06
491.2	1.71E-06
491.4	1.73E-06
491.6	1.75E-06
491.8	1.76E-06
492	1.78E-06
492.2	1.80E-06
492.4	1.81E-06
492.6	1.83E-06
492.8	1.78E-06
493	1.56E-06
493.2	1.37E-06
493.4	1.20E-06
493.6	1.05E-06
493.8	9.18E-07
494	8.04E-07
494.2	7.04E-07
494.4	6.17E-07
494.6	5.40E-07
494.8	4.73E-07
495	4.14E-07
495.2	3.63E-07
495.4	3.18E-07
495.6	2.79E-07
495.8	2.44E-07
496	2.14E-07
496.2	1.87E-07
496.4	1.64E-07
496.6	1.61E-07
496.8	1.61E-07
497	1.61E-07
497.2	1.61E-07
497.4	1.61E-07
497.6	1.62E-07
497.8	1.62E-07
498	1.62E-07
498.2	1.62E-07
498.4	1.62E-07
498.6	1.62E-07
498.8	1.62E-07
499	1.62E-07
499.2	1.62E-07
499.4	1.62E-07
499.6	1.62E-07
499.8	1.62E-07
500	1.63E-07
500.2	1.63E-07
500.4	1.63E-07
500.6	1.64E-07
500.8	1.64E-07
501	1.65E-07
501.2	1.65E-07
501.4	1.66E-07
501.6	1.66E-07
501.8	1.67E-07
502	1.67E-07
502.2	1.68E-07
502.4	1.68E-07
502.6	1.69E-07
502.8	1.69E-07
503	1.70E-07
503.2	1.70E-07
503.4	1.71E-07
503.6	1.71E-07
503.8	1.71E-07
504	1.72E-07
504.2	1.72E-07
504.4	1.73E-07
504.6	1.73E-07
504.8	1.74E-07
505	1.74E-07
505.2	1.73E-07
505.4	1.73E-07
505.6	1.72E-07
505.8	1.72E-07
506	1.71E-07
506.2	1.70E-07
506.4	1.70E-07
506.6	1.69E-07
506.8	1.68E-07
507	1.68E-07
507.2	1.67E-07
507.4	1.66E-07
507.6	1.66E-07
507.8	1.65E-07
508	1.64E-07
508.2	1.64E-07
508.4	1.63E-07
508.6	1.63E-07
508.8	1.62E-07
509	1.61E-07
509.2	1.61E-07
509.4	1.60E-07
509.6	1.59E-07
509.8	1.59E-07
510	1.59E-07
