Typical Measured Spectrum of Semrock FF01-630/92 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	4.6118e-07
300.2	4.2474e-07
300.4	3.9117e-07
300.6	3.6026e-07
300.8	3.3179e-07
301.0	3.0557e-07
301.2	2.8143e-07
301.4	2.5919e-07
301.6	2.3871e-07
301.8	2.1984e-07
302.0	2.5188e-07
302.2	2.9053e-07
302.4	3.3511e-07
302.6	3.8654e-07
302.8	4.4586e-07
303.0	5.1428e-07
303.2	5.932e-07
303.4	6.8424e-07
303.6	7.8924e-07
303.8	9.1036e-07
304.0	8.2509e-07
304.2	6.9725e-07
304.4	5.8922e-07
304.6	4.9792e-07
304.8	4.2077e-07
305.0	3.5558e-07
305.2	3.0048e-07
305.4	2.5393e-07
305.6	2.1458e-07
305.8	1.8134e-07
306.0	1.6828e-07
306.2	1.6713e-07
306.4	1.6598e-07
306.6	1.6484e-07
306.8	1.6371e-07
307.0	1.6259e-07
307.2	1.6147e-07
307.4	1.6036e-07
307.6	1.5926e-07
307.8	1.5817e-07
308.0	1.6361e-07
308.2	1.8038e-07
308.4	1.9886e-07
308.6	2.1924e-07
308.8	2.4171e-07
309.0	2.6648e-07
309.2	2.9379e-07
309.4	3.2389e-07
309.6	3.5708e-07
309.8	3.9367e-07
310.0	4.3725e-07
310.2	5.1926e-07
310.4	6.1664e-07
310.6	7.3229e-07
310.8	8.6963e-07
311.0	1.0327e-06
311.2	1.2264e-06
311.4	1.4564e-06
311.6	1.7295e-06
311.8	2.0539e-06
312.0	1.6044e-06
312.2	1.2344e-06
312.4	9.4977e-07
312.6	7.3074e-07
312.8	5.6222e-07
313.0	4.3257e-07
313.2	3.3281e-07
313.4	2.5606e-07
313.6	1.9701e-07
313.8	1.5158e-07
314.0	1.654e-07
314.2	1.9975e-07
314.4	2.4124e-07
314.6	2.9134e-07
314.8	3.5184e-07
315.0	4.2491e-07
315.2	5.1316e-07
315.4	6.1974e-07
315.6	7.4845e-07
315.8	9.0389e-07
316.0	8.701e-07
316.2	7.1544e-07
316.4	5.8828e-07
316.6	4.8371e-07
316.8	3.9774e-07
317.0	3.2704e-07
317.2	2.6891e-07
317.4	2.2111e-07
317.6	1.8181e-07
317.8	1.495e-07
318.0	1.6261e-07
318.2	2.6909e-07
318.4	4.453e-07
318.6	7.369e-07
318.8	1.2194e-06
319.0	2.018e-06
319.2	3.3394e-06
319.4	5.5263e-06
319.6	9.1451e-06
319.8	1.5134e-05
320.0	2.3138e-05
320.2	1.8643e-05
320.4	1.5022e-05
320.6	1.2104e-05
320.8	9.7529e-06
321.0	7.8585e-06
321.2	6.332e-06
321.4	5.1021e-06
321.6	4.111e-06
321.8	3.3125e-06
322.0	3.023e-06
322.2	2.7808e-06
322.4	2.5581e-06
322.6	2.3531e-06
322.8	2.1646e-06
323.0	1.9912e-06
323.2	1.8317e-06
323.4	1.685e-06
323.6	1.55e-06
323.8	1.4258e-06
324.0	1.2519e-06
324.2	1.0827e-06
324.4	9.3635e-07
324.6	8.0979e-07
324.8	7.0034e-07
325.0	6.0569e-07
325.2	5.2382e-07
325.4	4.5302e-07
325.6	3.918e-07
325.8	3.3884e-07
326.0	2.9754e-07
326.2	2.6428e-07
326.4	2.3475e-07
326.6	2.0851e-07
326.8	1.8521e-07
327.0	1.6451e-07
327.2	1.4612e-07
327.4	1.2979e-07
327.6	1.1529e-07
327.8	1.024e-07
328.0	1.0035e-07
328.2	1.1467e-07
328.4	1.3103e-07
328.6	1.4973e-07
328.8	1.711e-07
329.0	1.9551e-07
329.2	2.2341e-07
329.4	2.553e-07
329.6	2.9173e-07
329.8	3.3336e-07
330.0	3.6869e-07
330.2	3.0869e-07
330.4	2.5845e-07
330.6	2.1639e-07
330.8	1.8117e-07
331.0	1.5169e-07
331.2	1.27e-07
331.4	1.0633e-07
331.6	8.9025e-08
331.8	7.4537e-08
332.0	7.342e-08
332.2	7.2875e-08
332.4	7.2335e-08
332.6	7.1799e-08
332.8	7.1267e-08
333.0	7.0738e-08
333.2	7.0214e-08
333.4	6.9693e-08
333.6	6.9177e-08
333.8	6.8664e-08
334.0	6.8084e-08
334.2	6.7489e-08
334.4	6.69e-08
334.6	6.6315e-08
334.8	6.5736e-08
335.0	6.5162e-08
335.2	6.4592e-08
335.4	6.4028e-08
335.6	6.3468e-08
335.8	6.2914e-08
336.0	6.2296e-08
336.2	6.164e-08
336.4	6.099e-08
336.6	6.0347e-08
336.8	5.9711e-08
337.0	5.9082e-08
337.2	5.8459e-08
337.4	5.7843e-08
337.6	5.7234e-08
337.8	5.663e-08
338.0	6.0579e-08
338.2	7.2016e-08
338.4	8.5613e-08
338.6	1.0178e-07
338.8	1.2099e-07
339.0	1.4383e-07
339.2	1.7099e-07
339.4	2.0327e-07
339.6	2.4165e-07
339.8	2.8727e-07
340.0	3.3256e-07
340.2	3.1973e-07
340.4	3.074e-07
340.6	2.9554e-07
340.8	2.8415e-07
341.0	2.7319e-07
341.2	2.6265e-07
341.4	2.5252e-07
341.6	2.4278e-07
341.8	2.3342e-07
342.0	2.6233e-07
342.2	2.9997e-07
342.4	3.4302e-07
342.6	3.9224e-07
342.8	4.4853e-07
343.0	5.129e-07
343.2	5.8651e-07
343.4	6.7067e-07
343.6	7.6692e-07
343.8	8.7698e-07
344.0	8.3803e-07
344.2	7.481e-07
344.4	6.6782e-07
344.6	5.9616e-07
344.8	5.3218e-07
345.0	4.7507e-07
345.2	4.2409e-07
345.4	3.7858e-07
345.6	3.3796e-07
345.8	3.0169e-07
346.0	2.9794e-07
346.2	3.1905e-07
346.4	3.4166e-07
346.6	3.6587e-07
346.8	3.918e-07
347.0	4.1957e-07
347.2	4.493e-07
347.4	4.8114e-07
347.6	5.1524e-07
347.8	5.5176e-07
348.0	5.5362e-07
348.2	5.0064e-07
348.4	4.5273e-07
348.6	4.094e-07
348.8	3.7022e-07
349.0	3.3479e-07
349.2	3.0275e-07
349.4	2.7377e-07
349.6	2.4757e-07
349.8	2.2388e-07
350.0	2.059e-07
350.2	2.1704e-07
350.4	2.288e-07
350.6	2.4119e-07
350.8	2.5424e-07
351.0	2.6801e-07
351.2	2.8252e-07
351.4	2.9782e-07
351.6	3.1395e-07
351.8	3.3095e-07
352.0	2.7589e-07
352.2	2.2472e-07
352.4	1.8303e-07
352.6	1.4908e-07
352.8	1.2143e-07
353.0	9.8905e-08
353.2	8.0559e-08
353.4	6.5616e-08
353.6	5.3445e-08
353.8	4.3532e-08
354.0	5.098e-08
354.2	6.7828e-08
354.4	9.0242e-08
354.6	1.2006e-07
354.8	1.5974e-07
355.0	2.1253e-07
355.2	2.8277e-07
355.4	3.7621e-07
355.6	5.0054e-07
355.8	6.6595e-07
356.0	6.9705e-07
356.2	6.1104e-07
356.4	5.3565e-07
356.6	4.6956e-07
356.8	4.1162e-07
357.0	3.6083e-07
357.2	3.1631e-07
357.4	2.7729e-07
357.6	2.4307e-07
357.8	2.1308e-07
358.0	1.9871e-07
358.2	2.0257e-07
358.4	2.0651e-07
358.6	2.1052e-07
358.8	2.1461e-07
359.0	2.1877e-07
359.2	2.2302e-07
359.4	2.2735e-07
359.6	2.3177e-07
359.8	2.3627e-07
360.0	2.3406e-07
360.2	1.8973e-07
360.4	1.538e-07
360.6	1.2468e-07
360.8	1.0107e-07
361.0	8.1929e-08
361.2	6.6414e-08
361.4	5.3837e-08
361.6	4.3642e-08
361.8	3.5377e-08
362.0	3.4792e-08
362.2	3.4756e-08
362.4	3.4721e-08
362.6	3.4685e-08
362.8	3.465e-08
363.0	3.4614e-08
363.2	3.4579e-08
363.4	3.4543e-08
363.6	3.4508e-08
363.8	3.4473e-08
364.0	3.8908e-08
364.2	4.5592e-08
364.4	5.3424e-08
364.6	6.2602e-08
364.8	7.3356e-08
365.0	8.5958e-08
365.2	1.0073e-07
365.4	1.1803e-07
365.6	1.383e-07
365.8	1.6206e-07
366.0	1.6748e-07
366.2	1.5917e-07
366.4	1.5127e-07
366.6	1.4376e-07
366.8	1.3663e-07
367.0	1.2984e-07
367.2	1.234e-07
367.4	1.1728e-07
367.6	1.1145e-07
367.8	1.0592e-07
368.0	1.0906e-07
368.2	1.2408e-07
368.4	1.4118e-07
368.6	1.6063e-07
368.8	1.8276e-07
369.0	2.0794e-07
369.2	2.3658e-07
369.4	2.6918e-07
369.6	3.0626e-07
369.8	3.4845e-07
370.0	3.7444e-07
370.2	2.8729e-07
370.4	2.2042e-07
370.6	1.6912e-07
370.8	1.2976e-07
371.0	9.9558e-08
371.2	7.6386e-08
371.4	5.8607e-08
371.6	4.4966e-08
371.8	3.4501e-08
372.0	3.3524e-08
372.2	3.3392e-08
372.4	3.3261e-08
372.6	3.3131e-08
372.8	3.3e-08
373.0	3.2871e-08
373.2	3.2742e-08
373.4	3.2613e-08
373.6	3.2486e-08
373.8	3.2358e-08
374.0	3.3935e-08
374.2	3.6206e-08
374.4	3.8628e-08
374.6	4.1213e-08
374.8	4.397e-08
375.0	4.6912e-08
375.2	5.0051e-08
375.4	5.34e-08
375.6	5.6973e-08
375.8	6.0785e-08
376.0	6.3827e-08
376.2	6.63e-08
376.4	6.8868e-08
376.6	7.1536e-08
376.8	7.4307e-08
377.0	7.7186e-08
377.2	8.0176e-08
377.4	8.3282e-08
377.6	8.6508e-08
377.8	8.9859e-08
378.0	9.286e-08
378.2	9.5344e-08
378.4	9.7895e-08
378.6	1.0051e-07
378.8	1.032e-07
379.0	1.0596e-07
379.2	1.088e-07
379.4	1.1171e-07
379.6	1.147e-07
379.8	1.1777e-07
380.0	1.1778e-07
380.2	1.0087e-07
380.4	8.6387e-08
380.6	7.3984e-08
380.8	6.3361e-08
381.0	5.4264e-08
381.2	4.6473e-08
381.4	3.98e-08
381.6	3.4086e-08
381.8	2.9192e-08
382.0	3.3691e-08
382.2	4.0576e-08
382.4	4.8869e-08
382.6	5.8856e-08
382.8	7.0884e-08
383.0	8.537e-08
383.2	1.0282e-07
383.4	1.2383e-07
383.6	1.4914e-07
383.8	1.7961e-07
384.0	1.6423e-07
384.2	1.3491e-07
384.4	1.1082e-07
384.6	9.1032e-08
384.8	7.4779e-08
385.0	6.1427e-08
385.2	5.0459e-08
385.4	4.145e-08
385.6	3.4049e-08
385.8	2.7969e-08
386.0	2.6684e-08
386.2	2.8436e-08
386.4	3.0302e-08
386.6	3.2292e-08
386.8	3.4411e-08
387.0	3.667e-08
387.2	3.9077e-08
387.4	4.1642e-08
387.6	4.4376e-08
387.8	4.7288e-08
388.0	5.0885e-08
388.2	5.5481e-08
388.4	6.0492e-08
388.6	6.5956e-08
388.8	7.1913e-08
389.0	7.8409e-08
389.2	8.5491e-08
389.4	9.3212e-08
389.6	1.0163e-07
389.8	1.1081e-07
390.0	1.1632e-07
390.2	9.673e-08
390.4	8.0437e-08
390.6	6.6889e-08
390.8	5.5622e-08
391.0	4.6254e-08
391.2	3.8463e-08
391.4	3.1984e-08
391.6	2.6597e-08
391.8	2.2117e-08
392.0	2.7069e-08
392.2	3.519e-08
392.4	4.5747e-08
392.6	5.9471e-08
392.8	7.7312e-08
393.0	1.005e-07
393.2	1.3066e-07
393.4	1.6985e-07
393.6	2.2081e-07
393.8	2.8705e-07
394.0	2.9465e-07
394.2	2.7591e-07
394.4	2.5836e-07
394.6	2.4193e-07
394.8	2.2654e-07
395.0	2.1214e-07
395.2	1.9864e-07
395.4	1.8601e-07
395.6	1.7418e-07
395.8	1.631e-07
396.0	1.4054e-07
396.2	1.1388e-07
396.4	9.228e-08
396.6	7.4776e-08
396.8	6.0592e-08
397.0	4.9098e-08
397.2	3.9785e-08
397.4	3.2238e-08
397.6	2.6123e-08
397.8	2.1168e-08
398.0	2.0085e-08
398.2	2.3391e-08
398.4	2.7242e-08
398.6	3.1727e-08
398.8	3.695e-08
399.0	4.3033e-08
399.2	5.0117e-08
399.4	5.8368e-08
399.6	6.7977e-08
399.8	7.9168e-08
400.0	9.2604e-08
400.2	1.1103e-07
400.4	1.3312e-07
400.6	1.596e-07
400.8	1.9136e-07
401.0	2.2943e-07
401.2	2.7508e-07
401.4	3.298e-07
401.6	3.9542e-07
401.8	4.7409e-07
402.0	4.5452e-07
402.2	4.2387e-07
402.4	3.9529e-07
402.6	3.6863e-07
402.8	3.4377e-07
403.0	3.2059e-07
403.2	2.9898e-07
403.4	2.7882e-07
403.6	2.6002e-07
403.8	2.4248e-07
404.0	2.4668e-07
404.2	2.5832e-07
404.4	2.7052e-07
404.6	2.8329e-07
404.8	2.9666e-07
405.0	3.1066e-07
405.2	3.2533e-07
405.4	3.4069e-07
405.6	3.5677e-07
405.8	3.7362e-07
406.0	3.6725e-07
406.2	3.4667e-07
406.4	3.2725e-07
406.6	3.0891e-07
406.8	2.916e-07
407.0	2.7526e-07
407.2	2.5984e-07
407.4	2.4528e-07
407.6	2.3154e-07
407.8	2.1856e-07
408.0	2.0284e-07
408.2	1.8474e-07
408.4	1.6825e-07
408.6	1.5323e-07
408.8	1.3956e-07
409.0	1.2711e-07
409.2	1.1576e-07
409.4	1.0543e-07
409.6	9.6022e-08
409.8	8.7453e-08
410.0	7.8834e-08
410.2	6.7584e-08
410.4	5.794e-08
410.6	4.9672e-08
410.8	4.2584e-08
411.0	3.6507e-08
411.2	3.1298e-08
411.4	2.6831e-08
411.6	2.3003e-08
411.8	1.972e-08
412.0	1.9241e-08
412.2	1.9173e-08
412.4	1.9105e-08
412.6	1.9037e-08
412.8	1.897e-08
413.0	1.8902e-08
413.2	1.8835e-08
413.4	1.8769e-08
413.6	1.8702e-08
413.8	1.8636e-08
414.0	1.8582e-08
414.2	1.8534e-08
414.4	1.8485e-08
414.6	1.8436e-08
414.8	1.8388e-08
415.0	1.8339e-08
415.2	1.8291e-08
415.4	1.8243e-08
415.6	1.8195e-08
415.8	1.8147e-08
416.0	1.8096e-08
416.2	1.8042e-08
416.4	1.7988e-08
416.6	1.7934e-08
416.8	1.788e-08
417.0	1.7827e-08
417.2	1.7774e-08
417.4	1.7721e-08
417.6	1.7668e-08
417.8	1.7615e-08
418.0	1.8577e-08
418.2	2.09e-08
418.4	2.3514e-08
418.6	2.6455e-08
418.8	2.9763e-08
419.0	3.3485e-08
419.2	3.7673e-08
419.4	4.2384e-08
419.6	4.7685e-08
419.8	5.3648e-08
420.0	5.7787e-08
420.2	5.0331e-08
420.4	4.3837e-08
420.6	3.8181e-08
420.8	3.3255e-08
421.0	2.8964e-08
421.2	2.5227e-08
421.4	2.1972e-08
421.6	1.9137e-08
421.8	1.6668e-08
422.0	1.8238e-08
422.2	2.0843e-08
422.4	2.3819e-08
422.6	2.7221e-08
422.8	3.1108e-08
423.0	3.555e-08
423.2	4.0627e-08
423.4	4.6428e-08
423.6	5.3059e-08
423.8	6.0635e-08
