Typical Measured Spectrum of Semrock FF436/514/604-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	0.00831
300.2	0.00926
300.4	0.00952
300.6	0.01024
300.8	0.0105
301.0	0.01163
301.2	0.01393
301.4	0.01577
301.6	0.01633
301.8	0.01614
302.0	0.01419
302.2	0.01048
302.4	0.0072
302.6	0.00452
302.8	0.003
303.0	0.0022
303.2	0.00174
303.4	0.00158
303.6	0.00144
303.8	0.00132
304.0	0.00146
304.2	0.00148
304.4	0.00153
304.6	0.00197
304.8	0.00268
305.0	0.00413
305.2	0.0064
305.4	0.00933
305.6	0.01243
305.8	0.01522
306.0	0.0178
306.2	0.01944
306.4	0.0225
306.6	0.0276
306.8	0.03651
307.0	0.04671
307.2	0.0584
307.4	0.06519
307.6	0.06851
307.8	0.06827
308.0	0.06673
308.2	0.06914
308.4	0.07579
308.6	0.08931
308.8	0.10954
309.0	0.13361
309.2	0.16568
309.4	0.20044
309.6	0.23505
309.8	0.25851
310.0	0.2643
310.2	0.25173
310.4	0.2193
310.6	0.17558
310.8	0.12688
311.0	0.08983
311.2	0.06346
311.4	0.05056
311.6	0.04593
311.8	0.04645
312.0	0.05182
312.2	0.06034
312.4	0.07018
312.6	0.07889
312.8	0.08319
313.0	0.08383
313.2	0.0796
313.4	0.07193
313.6	0.06276
313.8	0.05396
314.0	0.04646
314.2	0.0396
314.4	0.03223
314.6	0.02577
314.8	0.0197
315.0	0.0142
315.2	0.0101
315.4	0.0071
315.6	0.00535
315.8	0.00426
316.0	0.00369
316.2	0.00322
316.4	0.00299
316.6	0.00311
316.8	0.00324
317.0	0.00402
317.2	0.00607
317.4	0.01095
317.6	0.01719
317.8	0.0216
318.0	0.02292
318.2	0.02296
318.4	0.02042
318.6	0.01514
318.8	0.00854
319.0	0.00418
319.2	0.00228
319.4	0.00141
319.6	0.00127
319.8	0.00112
320.0	0.00101
320.2	9.6058e-04
320.4	0.001
320.6	0.00102
320.8	0.00107
321.0	0.00119
321.2	0.00132
321.4	0.00174
321.6	0.00245
321.8	0.00388
322.0	0.00732
322.2	0.01305
322.4	0.0268
322.6	0.0536
322.8	0.09456
323.0	0.1454
323.2	0.20376
323.4	0.25733
323.6	0.29078
323.8	0.30026
324.0	0.28452
324.2	0.24486
324.4	0.18919
324.6	0.13393
324.8	0.08962
325.0	0.06348
325.2	0.05062
325.4	0.04698
325.6	0.04926
325.8	0.05643
326.0	0.06662
326.2	0.07848
326.4	0.09045
326.6	0.10163
326.8	0.11175
327.0	0.12061
327.2	0.13087
327.4	0.14199
327.6	0.15219
327.8	0.16229
328.0	0.1666
328.2	0.16689
328.4	0.1607
328.6	0.14888
328.8	0.13234
329.0	0.11757
329.2	0.10811
329.4	0.10576
329.6	0.11837
329.8	0.14934
330.0	0.20044
330.2	0.25567
330.4	0.29589
330.6	0.31851
330.8	0.32117
331.0	0.30168
331.2	0.25846
331.4	0.20385
331.6	0.15951
331.8	0.13585
332.0	0.12609
332.2	0.12813
332.4	0.14019
332.6	0.15315
332.8	0.16372
333.0	0.16823
333.2	0.16517
333.4	0.15563
333.6	0.14184
333.8	0.12507
334.0	0.10885
334.2	0.09664
334.4	0.08857
334.6	0.08634
334.8	0.08972
335.0	0.09792
335.2	0.1117
335.4	0.13044
335.6	0.15597
335.8	0.18836
336.0	0.22767
336.2	0.26602
336.4	0.29966
336.6	0.32664
336.8	0.34512
337.0	0.34935
337.2	0.33508
337.4	0.30324
337.6	0.26139
337.8	0.21638
338.0	0.17139
338.2	0.12854
338.4	0.09117
338.6	0.06223
338.8	0.04165
339.0	0.02909
339.2	0.02153
339.4	0.01684
339.6	0.01373
339.8	0.01174
340.0	0.01042
340.2	0.00951
340.4	0.00883
340.6	0.00853
340.8	0.00841
341.0	0.00854
341.2	0.00902
341.4	0.01014
341.6	0.01181
341.8	0.01506
342.0	0.02292
342.2	0.03639
342.4	0.05274
342.6	0.07277
342.8	0.09458
343.0	0.11555
343.2	0.13339
343.4	0.14649
343.6	0.15135
343.8	0.1472
344.0	0.13462
344.2	0.11829
344.4	0.10069
344.6	0.08539
344.8	0.07569
345.0	0.0725
345.2	0.07519
345.4	0.08146
345.6	0.08703
345.8	0.0896
346.0	0.08772
346.2	0.08125
346.4	0.07032
346.6	0.0556
346.8	0.03967
347.0	0.0268
347.2	0.01845
347.4	0.0136
347.6	0.01054
347.8	0.00894
348.0	0.00787
348.2	0.00726
348.4	0.00673
348.6	0.00638
348.8	0.00601
349.0	0.00591
349.2	0.00571
349.4	0.00541
349.6	0.00514
349.8	0.005
350.0	0.00477
350.2	0.00483
350.4	0.00479
350.6	0.00505
350.8	0.00545
351.0	0.00608
351.2	0.00747
351.4	0.00945
351.6	0.01335
351.8	0.02055
352.0	0.03394
352.2	0.04938
352.4	0.06152
352.6	0.06965
352.8	0.0739
353.0	0.07479
353.2	0.07194
353.4	0.06565
353.6	0.0552
353.8	0.04292
354.0	0.03226
354.2	0.02586
354.4	0.02297
354.6	0.02313
354.8	0.02612
355.0	0.03141
355.2	0.03833
355.4	0.04692
355.6	0.05455
355.8	0.06025
356.0	0.06377
356.2	0.0645
356.4	0.06206
356.6	0.05693
356.8	0.04926
357.0	0.04065
357.2	0.03263
357.4	0.02619
357.6	0.0217
357.8	0.01886
358.0	0.0171
358.2	0.01683
358.4	0.0177
358.6	0.02056
358.8	0.02679
359.0	0.03877
359.2	0.05696
359.4	0.08269
359.6	0.1149
359.8	0.14731
360.0	0.17125
360.2	0.183
360.4	0.18552
360.6	0.17745
360.8	0.15904
361.0	0.13351
361.2	0.10067
361.4	0.06783
361.6	0.04388
361.8	0.02921
362.0	0.01976
362.2	0.01486
362.4	0.01381
362.6	0.01331
362.8	0.01354
363.0	0.01451
363.2	0.01604
363.4	0.01859
363.6	0.02242
363.8	0.0279
364.0	0.03521
364.2	0.04357
364.4	0.05234
364.6	0.06047
364.8	0.06601
365.0	0.06955
365.2	0.07017
365.4	0.06813
365.6	0.06395
365.8	0.05683
366.0	0.04964
366.2	0.04275
366.4	0.03655
366.6	0.03175
366.8	0.02845
367.0	0.02648
367.2	0.02496
367.4	0.02432
367.6	0.02459
367.8	0.02591
368.0	0.02837
368.2	0.03208
368.4	0.0374
368.6	0.04603
368.8	0.05909
369.0	0.07775
369.2	0.10375
369.4	0.13713
369.6	0.17735
369.8	0.22382
370.0	0.27553
370.2	0.32503
370.4	0.36674
370.6	0.39924
370.8	0.42622
371.0	0.44837
371.2	0.4699
371.4	0.48674
371.6	0.4981
371.8	0.50384
372.0	0.50386
372.2	0.49688
372.4	0.48055
372.6	0.45158
372.8	0.40937
373.0	0.35698
373.2	0.30208
373.4	0.25157
373.6	0.21049
373.8	0.17889
374.0	0.15736
374.2	0.14574
374.4	0.14401
374.6	0.15257
374.8	0.17314
375.0	0.20665
375.2	0.25333
375.4	0.31107
375.6	0.37463
375.8	0.43888
376.0	0.49912
376.2	0.55048
376.4	0.58654
376.6	0.60484
376.8	0.6031
377.0	0.58807
377.2	0.5613
377.4	0.52608
377.6	0.48126
377.8	0.43174
378.0	0.37738
378.2	0.32568
378.4	0.27618
378.6	0.22853
378.8	0.18328
379.0	0.14139
379.2	0.10604
379.4	0.07924
379.6	0.06049
379.8	0.048
380.0	0.04058
380.2	0.03701
380.4	0.03627
380.6	0.03912
380.8	0.04619
381.0	0.05693
381.2	0.06961
381.4	0.08382
381.6	0.10048
381.8	0.11909
382.0	0.15535
382.2	0.18325
382.4	0.19686
382.6	0.20323
382.8	0.20327
383.0	0.19907
383.2	0.19291
383.4	0.18298
383.6	0.17198
383.8	0.16063
384.0	0.15203
384.2	0.14711
384.4	0.14611
384.6	0.14638
384.8	0.14512
385.0	0.14196
385.2	0.13638
385.4	0.12888
385.6	0.11996
385.8	0.10811
386.0	0.09502
386.2	0.08065
386.4	0.06764
386.6	0.05611
386.8	0.04833
387.0	0.04207
387.2	0.0378
387.4	0.03513
387.6	0.03341
387.8	0.03532
388.0	0.0431
388.2	0.05649
388.4	0.07404
388.6	0.08977
388.8	0.10151
389.0	0.10817
389.2	0.1111
389.4	0.10859
389.6	0.10201
389.8	0.09052
390.0	0.07426
390.2	0.0561
390.4	0.03867
390.6	0.02601
390.8	0.01839
391.0	0.01422
391.2	0.0121
391.4	0.0108
391.6	0.01037
391.8	0.01017
392.0	0.01026
392.2	0.01005
392.4	0.00977
392.6	0.00941
392.8	0.00872
393.0	0.00796
393.2	0.00704
393.4	0.00612
393.6	0.00517
393.8	0.00426
394.0	0.00348
394.2	0.00289
394.4	0.0024
394.6	0.00201
394.8	0.00175
395.0	0.00155
395.2	0.00144
395.4	0.00137
395.6	0.00136
395.8	0.0014
396.0	0.00148
396.2	0.00165
396.4	0.00186
396.6	0.0021
396.8	0.00243
397.0	0.00289
397.2	0.00347
397.4	0.00416
397.6	0.00498
397.8	0.00579
398.0	0.00649
398.2	0.00699
398.4	0.0074
398.6	0.00749
398.8	0.00744
399.0	0.00717
399.2	0.00668
399.4	0.00613
399.6	0.00535
399.8	0.00468
400.0	0.00414
400.2	0.00377
400.4	0.00347
400.6	0.00341
400.8	0.00342
401.0	0.00359
401.2	0.00383
401.4	0.00413
401.6	0.00441
401.8	0.00468
402.0	0.00486
402.2	0.00486
402.4	0.00458
402.6	0.00427
402.8	0.00399
403.0	0.00373
403.2	0.00326
403.4	0.00276
403.6	0.00234
403.8	0.00198
404.0	0.0017
404.2	0.00148
404.4	0.0013
404.6	0.00113
404.8	0.00101
405.0	9.8347e-04
405.2	9.555e-04
405.4	9.2833e-04
405.6	9.0193e-04
405.8	9.7611e-04
406.0	0.00106
406.2	0.00114
406.4	0.00124
406.6	0.00147
406.8	0.00179
407.0	0.00218
407.2	0.00266
407.4	0.00325
407.6	0.00399
407.8	0.00488
408.0	0.00598
408.2	0.00698
408.4	0.00742
408.6	0.0079
408.8	0.0084
409.0	0.00878
409.2	0.00819
409.4	0.00763
409.6	0.00711
409.8	0.00663
410.0	0.0058
410.2	0.00504
410.4	0.00439
410.6	0.00381
410.8	0.00351
411.0	0.0033
411.2	0.00311
411.4	0.00293
411.6	0.00289
411.8	0.003
412.0	0.0031
412.2	0.00343
412.4	0.00382
412.6	0.0043
412.8	0.00492
413.0	0.00561
413.2	0.00637
413.4	0.00721
413.6	0.00785
413.8	0.00854
414.0	0.00898
414.2	0.00921
414.4	0.00933
414.6	0.00911
414.8	0.00874
415.0	0.00819
415.2	0.00754
415.4	0.00681
415.6	0.00611
415.8	0.00538
416.0	0.00476
416.2	0.00426
416.4	0.00383
416.6	0.00354
416.8	0.00333
417.0	0.00313
417.2	0.00302
417.4	0.00297
417.6	0.00304
417.8	0.00305
418.0	0.00315
418.2	0.00332
418.4	0.00353
418.6	0.00379
418.8	0.00411
419.0	0.00453
419.2	0.00497
419.4	0.00557
419.6	0.00616
419.8	0.00674
420.0	0.00743
420.2	0.00802
420.4	0.00855
420.6	0.00902
420.8	0.00942
421.0	0.00976
421.2	0.00987
421.4	0.00997
421.6	0.00998
421.8	0.00989
422.0	0.00945
422.2	0.00932
422.4	0.00928
422.6	0.00936
422.8	0.00945
423.0	0.00952
423.2	0.0098
423.4	0.01008
423.6	0.01045
423.8	0.01096
424.0	0.01135
424.2	0.01181
424.4	0.01218
424.6	0.01238
424.8	0.01246
425.0	0.01251
425.2	0.01227
425.4	0.01206
425.6	0.01169
425.8	0.01107
426.0	0.01043
426.2	0.00968
426.4	0.00886
426.6	0.00808
426.8	0.00736
427.0	0.00662
427.2	0.00596
427.4	0.00535
427.6	0.00467
427.8	0.00453
428.0	0.00439
428.2	0.00421
428.4	0.00403
428.6	0.00389
428.8	0.00381
429.0	0.00373
429.2	0.00394
429.4	0.00416
429.6	0.00442
429.8	0.00469
430.0	0.00505
430.2	0.0055
430.4	0.00599
430.6	0.00657
430.8	0.00748
431.0	0.00867
431.2	0.01023
431.4	0.01226
431.6	0.01505
431.8	0.01877
432.0	0.02405
432.2	0.03085
432.4	0.04035
432.6	0.05361
432.8	0.07127
433.0	0.09439
433.2	0.12165
433.4	0.15332
433.6	0.18696
433.8	0.22534
434.0	0.26416
434.2	0.29883
434.4	0.33417
434.6	0.36254
434.8	0.38306
435.0	0.37625
435.2	0.3895
435.4	0.40043
435.6	0.40804
435.8	0.41534
436.0	0.42649
436.2	0.44176
436.4	0.46274
436.6	0.49318
436.8	0.53148
437.0	0.57612
437.2	0.6238
437.4	0.67455
437.6	0.72498
437.8	0.77262
438.0	0.81138
438.2	0.84779
438.4	0.87934
438.6	0.90422
438.8	0.92136
439.0	0.93069
439.2	0.93583
439.4	0.93706
439.6	0.93819
439.8	0.93685
440.0	0.93451
440.2	0.93231
440.4	0.93305
440.6	0.93332
440.8	0.93477
441.0	0.93575
441.2	0.93475
441.4	0.93565
441.6	0.93535
441.8	0.93402
442.0	0.93323
442.2	0.93177
442.4	0.92965
442.6	0.92515
442.8	0.92159
443.0	0.91744
443.2	0.91186
443.4	0.90632
443.6	0.90319
443.8	0.89773
444.0	0.89419
444.2	0.8911
444.4	0.88741
444.6	0.88631
444.8	0.88767
445.0	0.88936
445.2	0.89062
445.4	0.89284
445.6	0.89675
445.8	0.89877
446.0	0.90232
446.2	0.90667
446.4	0.90925
446.6	0.91514
446.8	0.91695
447.0	0.92089
447.2	0.921
447.4	0.92248
447.6	0.92393
447.8	0.92455
448.0	0.92146
448.2	0.91991
448.4	0.92027
448.6	0.91843
448.8	0.91802
449.0	0.91692
449.2	0.9159
449.4	0.91569
449.6	0.91469
449.8	0.91527
450.0	0.91582
450.2	0.91518
450.4	0.91458
450.6	0.91573
450.8	0.91623
451.0	0.91702
451.2	0.91666
451.4	0.91789
451.6	0.92003
451.8	0.91734
452.0	0.91948
452.2	0.92151
452.4	0.92137
452.6	0.9221
452.8	0.92367
453.0	0.92352
453.2	0.92499
453.4	0.92766
453.6	0.9279
453.8	0.92849
454.0	0.93019
454.2	0.93093
454.4	0.93222
454.6	0.93288
454.8	0.93359
455.0	0.93555
455.2	0.93341
455.4	0.93241
455.6	0.93326
455.8	0.93437
456.0	0.93344
456.2	0.93259
456.4	0.93157
456.6	0.93141
456.8	0.93158
457.0	0.93176
457.2	0.93175
457.4	0.9314
457.6	0.93046
457.8	0.92962
458.0	0.9316
458.2	0.93184
458.4	0.93165
458.6	0.93181
458.8	0.9309
459.0	0.93162
459.2	0.93033
459.4	0.9321
459.6	0.9315
459.8	0.93213
460.0	0.93251
460.2	0.93261
460.4	0.93148
460.6	0.9297
460.8	0.92844
461.0	0.92594
461.2	0.92498
461.4	0.92384
461.6	0.92273
461.8	0.92139
462.0	0.91939
462.2	0.9181
462.4	0.91699
462.6	0.91576
462.8	0.91551
463.0	0.9142
463.2	0.91478
463.4	0.91339
