XF1006,400DF15
Wavelength (nm),%T
1100.056885,0.454487234
1099.003906,2.379808664
1097.950073,-1.137402892
1097.012573,-2.673418522
1095.957031,-3.729661226
1095.018188,-1.854984045
1093.96106,-1.211769819
1093.020752,-0.086072892
1091.962036,-2.539934158
1091.020264,-0.193769857
1089.959839,3.368214607
1089.016724,-2.209532738
1087.954712,0.653534949
1087.010132,-2.12807107
1085.946655,-1.301320314
1085.000488,1.597211838
1084.053833,0.763857484
1082.987915,1.129181623
1082.039795,-0.453134716
1080.97229,-2.622115135
1080.022705,-1.202269912
1078.953735,2.357218027
1078.002686,1.883679628
1077.051025,-2.15310955
1075.979614,4.123104572
1075.026611,-1.323618531
1073.953613,2.189090729
1072.999146,-0.444806516
1072.043945,0.641063273
1070.96875,-0.061971489
1070.012207,-0.581755996
1069.054932,3.04668355
1067.977295,-0.707809091
1067.018799,1.872285604
1066.059448,-2.8607409
1064.979492,-0.544344366
1064.018921,0.796193898
1063.057617,-2.017575979
1061.975342,-2.10748744
1061.012695,-1.122385979
1060.049316,-1.564764261
1058.964722,-0.409002513
1058,0.059375655
1057.034668,3.204282045
1055.947754,-0.094841436
1054.980957,-0.560258806
1054.01355,-0.390358806
1053.045532,-0.359472722
1051.955688,-0.591060281
1050.986206,-0.525809765
1050.016113,-1.070050597
1049.045288,0.083249599
1047.952515,1.429572582
1046.980347,0.491835356
1046.007568,0.842103064
1045.03418,0.450962216
1044.060059,0.702144921
1042.963501,-0.90730387
1041.988037,0.186908424
1041.011963,-0.813218474
1040.035278,-0.967958093
1039.057983,-1.531967163
1037.957642,0.029330349
1036.979004,0.877938986
1035.999634,-0.375421226
1035.019653,0.354340047
1034.03894,0.259830445
1033.057739,0.133848608
1031.953003,0.195593134
1030.970459,-0.174653933
1029.987183,0.172834113
1029.003296,-0.027917471
1028.018677,-0.382022679
1027.033569,-0.372556627
1026.047729,0.161414594
1025.061401,-0.412045479
1023.950867,0.169133663
1022.963074,0.722021937
1021.97467,-0.220149994
1020.985657,-0.069071099
1019.996033,-1.173764586
1019.005737,0.14010179
1018.014832,-0.59593451
1017.023254,0.102671422
1016.031067,-0.636242569
1015.038269,-0.4692249
1014.044861,0.547941864
1013.050842,-0.321321487
1012.056152,-0.309544385
1011.060852,0.065025114
1009.94043,0.167053014
1008.943787,0.093752749
1007.946533,-0.415340006
1006.948669,0.019776678
1005.950195,-0.093917236
1004.951111,0.312119365
1003.951355,-0.131245092
1002.950989,0.020255733
1001.950073,0.2781443
1000.948486,-0.253539592
999.9462891,-0.010643874
998.9434814,0.17404516
997.9400024,-0.184296995
997.0615234,-0.078748077
996.0569458,-0.006859408
995.0517578,0.187433958
994.0458984,0.113494672
993.0394897,0.003546982
992.0324707,-0.005499351
991.0248413,-0.122361094
990.0165405,0.026683727
989.0076904,0.44934544
987.99823,-0.044405513
986.9880981,-0.303357154
985.977417,-0.111408778
984.9661255,-0.116609573
983.9542236,0.12423154
982.9417114,-0.336348951
982.0552368,-0.059700072
981.0415649,0.026899643
980.0273438,0.139065489
979.0124512,-0.094728336
977.9970093,-0.12959756
976.980896,0.006023241
975.9642334,-0.171440914
974.9469604,-0.185435519
974.0563354,-0.336828262
973.0379639,-0.260869563
972.0189209,-0.181257084
970.9993286,-0.180956274
969.979126,-0.073471203
968.958374,0.048851267
967.9369507,-0.123067692
967.0427246,-0.222281739
966.0202026,-0.235028192
964.9971313,-0.072508238
963.9733887,0.027164942
962.9490967,-0.064297087
962.0523682,-0.382532537
961.0269775,0.290067732
960.0009155,-0.306731731
958.9743652,-0.061905935
957.9471436,-0.13473931
957.0479126,0.065154031
956.0195923,-0.04200932
954.9907227,-0.099345855
953.9612427,0.002588299
953.0599365,0.099236913
952.0293579,0.01451174
950.99823,0.052360613
949.9664917,-0.028453555
949.0632324,0.081637323
948.0303345,-0.002436309
946.9969482,-0.095943734
945.9628906,0.094306417
945.0576782,-0.018212568
944.022583,0.178005576
942.9868774,0.085274443
