Typical Measured Spectrum of Semrock FF01-536/40 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	1.7454e-05
270.2	1.6632e-05
270.4	1.5849e-05
270.6	1.5102e-05
270.8	1.4391e-05
271.0	1.3714e-05
271.2	1.3068e-05
271.4	1.2453e-05
271.6	1.1866e-05
271.8	1.1308e-05
272.0	1.0775e-05
272.2	1.0268e-05
272.4	9.7842e-06
272.6	9.3235e-06
272.8	9.1766e-06
273.0	9.2206e-06
273.2	9.2649e-06
273.4	9.3094e-06
273.6	9.3541e-06
273.8	9.3991e-06
274.0	9.4442e-06
274.2	9.4895e-06
274.4	9.5351e-06
274.6	9.5809e-06
274.8	9.6269e-06
275.0	9.6732e-06
275.2	8.2641e-06
275.4	7.0603e-06
275.6	6.0318e-06
275.8	5.1532e-06
276.0	4.4025e-06
276.2	3.7612e-06
276.4	3.2133e-06
276.6	2.7452e-06
276.8	2.3453e-06
277.0	2.0037e-06
277.2	1.7118e-06
277.4	1.4625e-06
277.6	1.2494e-06
277.8	1.1783e-06
278.0	1.1604e-06
278.2	1.1428e-06
278.4	1.1255e-06
278.6	1.1085e-06
278.8	1.0917e-06
279.0	1.0751e-06
279.2	1.0588e-06
279.4	1.0428e-06
279.6	1.027e-06
279.8	1.0114e-06
280.0	9.9606e-07
280.2	9.8096e-07
280.4	9.661e-07
280.6	9.5145e-07
280.8	9.3703e-07
281.0	9.2283e-07
281.2	9.0884e-07
281.4	8.9507e-07
281.6	8.815e-07
281.8	8.6677e-07
282.0	8.5198e-07
282.2	8.3744e-07
282.4	8.2315e-07
282.6	8.091e-07
282.8	7.9529e-07
283.0	7.8171e-07
283.2	7.6837e-07
283.4	7.5525e-07
283.6	7.4236e-07
283.8	7.2969e-07
284.0	7.1724e-07
284.2	7.05e-07
284.4	6.9296e-07
284.6	6.8114e-07
284.8	6.6951e-07
285.0	6.5808e-07
285.2	6.4685e-07
285.4	6.3581e-07
285.6	6.2496e-07
285.8	6.9998e-07
286.0	7.9115e-07
286.2	8.942e-07
286.4	1.0107e-06
286.6	1.1423e-06
286.8	1.2911e-06
287.0	1.4593e-06
287.2	1.6494e-06
287.4	1.8642e-06
287.6	2.107e-06
287.8	2.3815e-06
288.0	2.6916e-06
288.2	3.0422e-06
288.4	3.4385e-06
288.6	3.8864e-06
288.8	4.3926e-06
289.0	4.9647e-06
289.2	5.6114e-06
289.4	6.3423e-06
289.6	7.1022e-06
289.8	6.9585e-06
290.0	6.8178e-06
290.2	6.6799e-06
290.4	6.5448e-06
290.6	6.4125e-06
290.8	6.2828e-06
291.0	6.1557e-06
291.2	6.0312e-06
291.4	5.9093e-06
291.6	5.7897e-06
291.8	5.6727e-06
292.0	5.5579e-06
292.2	5.4455e-06
292.4	5.3354e-06
292.6	5.2275e-06
292.8	5.1218e-06
293.0	5.0182e-06
293.2	4.9167e-06
293.4	4.8173e-06
293.6	4.3606e-06
293.8	2.9037e-06
294.0	1.9336e-06
294.2	1.2875e-06
294.4	8.5736e-07
294.6	5.7091e-07
294.8	3.8017e-07
295.0	2.5315e-07
295.2	1.8992e-07
295.4	1.4248e-07
295.6	1.2395e-07
295.8	1.3803e-07
296.0	1.537e-07
296.2	1.7115e-07
296.4	1.9058e-07
296.6	2.1222e-07
296.8	2.3631e-07
297.0	2.6314e-07
297.2	2.9302e-07
297.4	3.2629e-07
297.6	3.6334e-07
297.8	4.0459e-07
298.0	4.5053e-07
298.2	5.0168e-07
298.4	5.5864e-07
298.6	6.2207e-07
298.8	6.927e-07
299.0	7.7135e-07
299.2	8.5893e-07
299.4	9.5645e-07
299.6	1.054e-06
299.8	1.0453e-06
300.0	1.0367e-06
300.2	1.0282e-06
300.4	1.0198e-06
300.6	1.0114e-06
300.8	1.0031e-06
301.0	9.9482e-07
301.2	9.8664e-07
301.4	9.7852e-07
301.6	9.7048e-07
301.8	9.625e-07
302.0	9.5459e-07
302.2	9.4674e-07
302.4	9.3895e-07
302.6	9.3123e-07
302.8	9.2358e-07
303.0	9.1598e-07
303.2	9.0845e-07
303.4	9.0098e-07
303.6	8.9357e-07
303.8	9.9589e-07
304.0	1.1407e-06
304.2	1.3066e-06
304.4	1.4966e-06
304.6	1.7143e-06
304.8	1.9636e-06
305.0	2.2491e-06
305.2	2.8109e-06
305.4	6.0499e-06
305.6	8.7125e-06
305.8	2.553e-06
306.0	1.4218e-06
306.2	1.4155e-06
306.4	1.4016e-06
306.6	1.464e-06
306.8	2.1676e-06
307.0	2.241e-06
307.2	1.4668e-06
307.4	1.3029e-06
307.6	1.2886e-06
307.8	1.2802e-06
308.0	1.7779e-06
308.2	4.599e-06
308.4	5.2558e-06
308.6	3.9062e-06
308.8	3.0805e-06
309.0	3.284e-06
309.2	8.0232e-06
309.4	5.6679e-06
309.6	1.5703e-06
309.8	1.9154e-06
310.0	2.9175e-06
310.2	4.4575e-06
310.4	5.1545e-06
310.6	4.4076e-06
310.8	4.291e-06
311.0	4.0793e-06
311.2	2.1292e-06
311.4	1.9733e-06
311.6	4.4067e-06
311.8	8.9691e-06
312.0	1.7457e-05
312.2	1.273e-05
312.4	7.8756e-06
312.6	3.3799e-06
312.8	1.8752e-06
313.0	1.2219e-06
313.2	1.7116e-06
313.4	2.5672e-06
313.6	3.8757e-06
313.8	4.7235e-06
314.0	4.7614e-06
314.2	2.4152e-06
314.4	1.2036e-06
314.6	1.203e-06
314.8	1.2001e-06
315.0	1.1943e-06
315.2	1.1855e-06
315.4	1.205e-06
315.6	1.8006e-06
315.8	1.9981e-06
316.0	1.3214e-06
316.2	1.1512e-06
316.4	1.1489e-06
316.6	2.5544e-06
316.8	3.6322e-06
317.0	1.5983e-06
317.2	1.6676e-06
317.4	3.1703e-06
317.6	1.8832e-06
317.8	1.1111e-06
318.0	1.1009e-06
318.2	1.6519e-06
318.4	3.723e-06
318.6	3.0879e-06
318.8	2.2524e-06
319.0	3.3825e-06
319.2	4.2668e-06
319.4	4.2511e-06
319.6	2.3208e-06
319.8	1.0479e-06
320.0	1.0367e-06
320.2	1.0249e-06
320.4	1.012e-06
320.6	1.9945e-06
320.8	5.7037e-06
321.0	2.1544e-06
321.2	1.1062e-06
321.4	1.6812e-06
321.6	2.3351e-06
321.8	3.0303e-06
322.0	1.8082e-06
322.2	1.0938e-06
322.4	1.1205e-06
322.6	1.7133e-06
322.8	3.9418e-06
323.0	5.1829e-06
323.2	5.6525e-06
323.4	4.1253e-06
323.6	2.5926e-06
323.8	1.3197e-06
324.0	1.7012e-06
324.2	3.1021e-06
324.4	3.5354e-06
324.6	2.8969e-06
324.8	1.233e-06
325.0	8.9671e-07
325.2	8.7584e-07
325.4	1.6035e-06
325.6	2.1703e-06
325.8	1.1318e-06
326.0	1.4619e-06
326.2	3.7963e-06
326.4	2.6678e-06
326.6	1.7889e-06
326.8	2.2675e-06
327.0	1.852e-06
327.2	9.5731e-07
327.4	2.0762e-06
327.6	5.5152e-06
327.8	3.8838e-06
328.0	2.2329e-06
328.2	9.6461e-07
328.4	7.5071e-07
328.6	7.5833e-07
328.8	2.1485e-06
329.0	3.917e-06
329.2	3.0344e-06
329.4	1.6175e-06
329.6	7.0186e-07
329.8	6.686e-07
330.0	6.6111e-07
330.2	6.5409e-07
330.4	1.248e-06
330.6	3.9077e-06
330.8	3.7297e-06
331.0	3.1433e-06
331.2	3.1097e-06
331.4	3.5342e-06
331.6	4.6142e-06
331.8	4.2002e-06
332.0	3.4755e-06
332.2	2.7035e-06
332.4	1.644e-06
332.6	7.1638e-07
332.8	1.3307e-06
333.0	3.997e-06
333.2	4.8989e-06
333.4	3.9988e-06
333.6	1.5342e-06
333.8	1.4472e-06
334.0	2.1699e-06
334.2	2.7652e-06
334.4	3.2766e-06
334.6	3.2622e-06
334.8	3.8779e-06
335.0	5.2141e-06
335.2	4.3973e-06
335.4	3.7405e-06
335.6	3.9938e-06
335.8	3.7462e-06
336.0	3.1104e-06
336.2	3.8085e-06
336.4	4.9339e-06
336.6	5.4109e-06
336.8	5.7835e-06
337.0	5.987e-06
337.2	6.1973e-06
337.4	6.2902e-06
337.6	4.8141e-06
337.8	4.4842e-06
338.0	5.7946e-06
338.2	4.9896e-06
338.4	3.5648e-06
338.6	4.0326e-06
338.8	4.3867e-06
339.0	4.3416e-06
339.2	5.3137e-06
339.4	7.428e-06
339.6	5.4526e-06
339.8	4.4731e-06
340.0	6.2462e-06
340.2	6.3312e-06
340.4	4.9112e-06
340.6	5.2619e-06
340.8	5.9821e-06
341.0	7.0282e-06
341.2	7.9238e-06
341.4	8.5432e-06
341.6	8.6358e-06
341.8	8.3984e-06
342.0	6.7307e-06
342.2	6.4968e-06
342.4	8.1955e-06
342.6	9.286e-06
342.8	1.0051e-05
343.0	9.7505e-06
343.2	9.6742e-06
343.4	1.0018e-05
343.6	9.679e-06
343.8	9.0154e-06
344.0	9.5247e-06
344.2	1.0145e-05
344.4	1.0909e-05
344.6	1.0843e-05
344.8	1.0204e-05
345.0	1.0788e-05
345.2	1.1372e-05
345.4	1.1291e-05
345.6	1.0781e-05
345.8	9.9365e-06
346.0	1.0656e-05
346.2	1.1702e-05
346.4	1.2384e-05
346.6	1.2671e-05
346.8	1.245e-05
347.0	1.1343e-05
347.2	1.0368e-05
347.4	1.2758e-05
347.6	1.4746e-05
347.8	1.5454e-05
348.0	1.4913e-05
348.2	1.3944e-05
348.4	1.5938e-05
348.6	1.7445e-05
348.8	1.7487e-05
349.0	1.7725e-05
349.2	1.8078e-05
349.4	1.721e-05
349.6	1.6129e-05
349.8	1.4607e-05
350.0	1.5509e-05
350.2	1.8521e-05
350.4	1.7756e-05
350.6	1.6978e-05
350.8	1.7909e-05
351.0	1.7831e-05
351.2	1.6814e-05
351.4	1.6498e-05
351.6	1.6487e-05
351.8	1.7509e-05
352.0	1.8029e-05
352.2	1.7877e-05
352.4	1.9036e-05
352.6	2.0513e-05
352.8	1.9527e-05
353.0	1.9312e-05
353.2	2.0272e-05
353.4	2.1243e-05
353.6	2.2174e-05
353.8	1.8868e-05
354.0	1.7257e-05
354.2	1.8272e-05
354.4	1.9133e-05
354.6	1.9909e-05
354.8	1.649e-05
355.0	1.4535e-05
355.2	1.5603e-05
355.4	1.6125e-05
355.6	1.621e-05
355.8	1.6655e-05
356.0	1.7128e-05
356.2	1.7506e-05
356.4	1.8756e-05
356.6	2.0989e-05
356.8	2.4753e-05
357.0	2.9548e-05
357.2	3.5619e-05
357.4	4.0814e-05
357.6	4.4117e-05
357.8	3.9738e-05
358.0	3.4219e-05
358.2	3.194e-05
358.4	2.9911e-05
358.6	2.8146e-05
358.8	2.6833e-05
359.0	2.5781e-05
359.2	2.6642e-05
359.4	2.7908e-05
359.6	2.9999e-05
359.8	3.66e-05
360.0	4.7663e-05
360.2	6.2124e-05
360.4	9.7723e-05
360.6	1.9084e-04
360.8	4.1731e-04
361.0	8.9714e-04
361.2	0.00113
361.4	0.0011
361.6	7.2709e-04
361.8	5.0361e-04
362.0	3.5595e-04
362.2	2.7707e-04
362.4	2.243e-04
362.6	1.9663e-04
362.8	1.9226e-04
363.0	1.9988e-04
363.2	2.2755e-04
363.4	2.7118e-04
363.6	3.6317e-04
363.8	5.0062e-04
364.0	7.0527e-04
364.2	9.6082e-04
364.4	0.00128
364.6	0.00158
364.8	0.00186
365.0	0.00208
365.2	0.00216
365.4	0.00219
365.6	0.0022
365.8	0.00224
366.0	0.00233
366.2	0.00262
366.4	0.00306
366.6	0.00398
366.8	0.00532
367.0	0.00745
367.2	0.00973
367.4	0.01229
367.6	0.01215
367.8	0.01146
368.0	0.00974
368.2	0.00849
368.4	0.00751
368.6	0.00737
368.8	0.00751
369.0	0.00842
369.2	0.01027
369.4	0.01344
369.6	0.01695
369.8	0.02011
370.0	0.01831
370.2	0.01347
370.4	0.00949
370.6	0.00636
370.8	0.00468
371.0	0.00357
371.2	0.00301
371.4	0.00267
371.6	0.00257
371.8	0.00269
372.0	0.00294
372.2	0.00377
372.4	0.0052
372.6	0.00828
372.8	0.01288
373.0	0.01978
373.2	0.01735
373.4	0.01362
373.6	0.00843
373.8	0.00573
374.0	0.00417
374.2	0.00351
374.4	0.00309
374.6	0.00307
374.8	0.00327
375.0	0.00373
375.2	0.00461
375.4	0.00568
375.6	0.00631
375.8	0.0059
376.0	0.00449
376.2	0.00298
376.4	0.0019
376.6	0.00131
376.8	9.5654e-04
377.0	7.718e-04
377.2	6.8457e-04
377.4	6.331e-04
377.6	6.7432e-04
377.8	7.5937e-04
378.0	9.6004e-04
378.2	0.00124
378.4	0.00163
378.6	0.00176
378.8	0.00173
379.0	0.00135
379.2	0.00102
379.4	7.517e-04
379.6	5.9276e-04
379.8	4.8864e-04
380.0	4.6498e-04
380.2	4.8696e-04
380.4	5.0998e-04
380.6	5.3409e-04
380.8	5.5934e-04
381.0	5.8578e-04
381.2	6.1347e-04
381.4	6.4247e-04
381.6	6.7284e-04
381.8	7.0465e-04
382.0	7.3796e-04
382.2	7.7285e-04
382.4	8.0938e-04
382.6	8.4764e-04
382.8	8.8771e-04
383.0	8.35e-04
383.2	7.6397e-04
383.4	6.9897e-04
383.6	6.3951e-04
383.8	5.851e-04
384.0	5.3533e-04
384.2	4.8979e-04
384.4	4.4812e-04
384.6	4.0999e-04
384.8	3.7512e-04
385.0	3.432e-04
385.2	3.1401e-04
385.4	2.8729e-04
385.6	2.6285e-04
385.8	2.4049e-04
386.0	2.2003e-04
386.2	2.0131e-04
386.4	1.8419e-04
386.6	1.6852e-04
386.8	1.5418e-04
387.0	1.4505e-04
387.2	1.3967e-04
387.4	1.345e-04
387.6	1.2951e-04
387.8	1.2471e-04
388.0	1.2009e-04
388.2	1.1564e-04
388.4	1.1135e-04
388.6	1.0723e-04
388.8	1.0325e-04
389.0	9.9425e-05
389.2	9.574e-05
389.4	9.2191e-05
389.6	8.8774e-05
389.8	8.5484e-05
390.0	8.2315e-05
390.2	7.4962e-05
390.4	6.8266e-05
390.6	6.2168e-05
390.8	5.6615e-05
391.0	5.1557e-05
391.2	4.6952e-05
391.4	4.2758e-05
391.6	3.8938e-05
391.8	3.546e-05
392.0	3.2292e-05
392.2	2.9408e-05
392.4	2.6781e-05
392.6	2.4388e-05
392.8	2.221e-05
393.0	1.8758e-05
393.2	1.5518e-05
393.4	1.2838e-05
393.6	1.0621e-05
393.8	8.7872e-06
394.0	7.2697e-06
394.2	6.0143e-06
394.4	4.9757e-06
394.6	4.1164e-06
394.8	3.4056e-06
395.0	2.8175e-06
395.2	2.3309e-06
395.4	1.9284e-06
395.6	1.5954e-06
395.8	1.3199e-06
396.0	1.0919e-06
396.2	9.0337e-07
396.4	7.4736e-07
396.6	6.183e-07
396.8	5.1153e-07
397.0	4.635e-07
397.2	4.5314e-07
