lambda_chroma_dic505dcxr	chroma_dic505dcxr
300.00	-2.276E-05
301.00	-1.644E-05
302.00	4.511E-06
303.00	-1.538E-05
304.00	-1.114E-05
305.00	3.100E-05
306.00	3.819E-05
307.00	-2.631E-05
308.00	4.748E-06
309.00	3.329E-05
310.00	1.940E-05
311.00	7.170E-05
312.00	5.406E-05
313.00	-9.772E-06
314.00	1.052E-05
315.00	-1.030E-05
316.00	1.336E-05
317.00	-1.245E-05
318.00	-2.253E-05
319.00	4.372E-05
320.00	2.378E-05
321.00	1.218E-05
322.00	4.758E-05
323.00	-3.455E-06
324.00	4.052E-05
325.00	2.003E-05
326.00	8.083E-06
327.00	-1.990E-05
328.00	3.359E-05
329.00	1.225E-05
330.00	1.635E-05
331.00	-7.240E-06
332.00	1.628E-05
333.00	-1.327E-05
334.00	4.967E-05
335.00	3.635E-05
336.00	4.697E-06
337.00	1.243E-05
338.00	-9.382E-07
339.00	2.425E-05
340.00	4.596E-05
341.00	3.643E-05
342.00	1.163E-04
343.00	5.270E-05
344.00	1.309E-04
345.00	2.264E-04
346.00	3.548E-04
347.00	4.506E-04
348.00	7.133E-04
349.00	9.375E-04
350.00	1.345E-03
351.00	1.775E-03
352.00	2.332E-03
353.00	2.663E-03
354.00	2.808E-03
355.00	2.942E-03
356.00	2.976E-03
357.00	2.967E-03
358.00	2.820E-03
359.00	2.536E-03
360.00	2.453E-03
361.00	2.406E-03
362.00	2.146E-03
363.00	2.084E-03
364.00	1.835E-03
365.00	1.713E-03
366.00	1.501E-03
367.00	1.229E-03
368.00	9.158E-04
369.00	7.128E-04
370.00	5.235E-04
371.00	4.226E-04
372.00	2.466E-04
373.00	2.412E-04
374.00	2.037E-04
375.00	2.157E-04
376.00	1.833E-04
377.00	2.309E-04
378.00	2.881E-04
379.00	3.831E-04
380.00	5.210E-04
381.00	8.118E-04
382.00	1.356E-03
383.00	1.830E-03
384.00	2.499E-03
385.00	2.824E-03
386.00	2.837E-03
387.00	2.717E-03
388.00	2.458E-03
389.00	2.244E-03
390.00	2.024E-03
391.00	1.940E-03
392.00	1.919E-03
393.00	1.877E-03
394.00	1.906E-03
395.00	2.046E-03
396.00	2.289E-03
397.00	2.561E-03
398.00	2.797E-03
399.00	2.868E-03
400.00	2.910E-03
401.00	2.734E-03
402.00	2.463E-03
403.00	2.198E-03
404.00	2.006E-03
405.00	1.880E-03
406.00	2.037E-03
407.00	2.279E-03
408.00	2.596E-03
409.00	3.127E-03
410.00	3.618E-03
411.00	3.780E-03
412.00	3.726E-03
413.00	3.558E-03
414.00	3.255E-03
415.00	2.918E-03
416.00	2.688E-03
417.00	2.562E-03
418.00	2.640E-03
419.00	2.958E-03
420.00	3.572E-03
421.00	4.440E-03
422.00	5.296E-03
423.00	6.201E-03
424.00	6.438E-03
425.00	6.533E-03
426.00	6.078E-03
427.00	5.348E-03
428.00	4.780E-03
429.00	4.189E-03
430.00	3.907E-03
431.00	4.023E-03
432.00	4.428E-03
433.00	5.472E-03
434.00	7.211E-03
435.00	9.574E-03
436.00	1.208E-02
437.00	1.390E-02
438.00	1.468E-02
439.00	1.432E-02
440.00	1.317E-02
441.00	1.150E-02
442.00	9.631E-03
443.00	8.194E-03
444.00	7.284E-03
445.00	7.187E-03
446.00	8.121E-03
447.00	1.041E-02
448.00	1.490E-02
449.00	2.089E-02
450.00	2.601E-02
451.00	2.854E-02
452.00	2.848E-02
453.00	2.589E-02
454.00	2.185E-02
455.00	1.650E-02
456.00	1.127E-02
457.00	7.145E-03
458.00	4.756E-03
459.00	3.566E-03
460.00	2.886E-03
461.00	2.542E-03
462.00	2.416E-03
463.00	2.404E-03
464.00	2.483E-03
465.00	2.665E-03
466.00	2.995E-03
467.00	3.393E-03
468.00	3.910E-03
469.00	4.642E-03
470.00	5.379E-03
471.00	6.080E-03
472.00	6.851E-03
473.00	7.668E-03
474.00	8.127E-03
475.00	8.564E-03
476.00	8.818E-03
477.00	8.917E-03
478.00	8.786E-03
479.00	8.765E-03
480.00	8.648E-03
481.00	8.493E-03
482.00	8.609E-03
483.00	8.783E-03
484.00	9.282E-03
485.00	1.024E-02
486.00	1.145E-02
487.00	1.327E-02
488.00	1.578E-02
489.00	1.953E-02
490.00	2.478E-02
491.00	3.160E-02
492.00	4.106E-02
493.00	5.384E-02
494.00	7.069E-02
495.00	9.354E-02
496.00	1.221E-01
497.00	1.572E-01
498.00	1.972E-01
499.00	2.412E-01
500.00	2.869E-01
501.00	3.339E-01
502.00	3.805E-01
503.00	4.291E-01
504.00	4.784E-01
505.00	5.299E-01
506.00	5.862E-01
507.00	6.418E-01
508.00	6.963E-01
509.00	7.474E-01
510.00	7.912E-01
511.00	8.294E-01
512.00	8.584E-01
513.00	8.766E-01
514.00	8.921E-01
515.00	8.997E-01
516.00	9.042E-01
517.00	9.083E-01
518.00	9.122E-01
519.00	9.135E-01
520.00	9.147E-01
521.00	9.148E-01
522.00	9.124E-01
523.00	9.123E-01
524.00	9.131E-01
525.00	9.130E-01
526.00	9.141E-01
527.00	9.172E-01
528.00	9.201E-01
529.00	9.254E-01
530.00	9.266E-01
531.00	9.310E-01
532.00	9.345E-01
533.00	9.376E-01
534.00	9.395E-01
535.00	9.385E-01
536.00	9.426E-01
537.00	9.409E-01
538.00	9.426E-01
539.00	9.428E-01
540.00	9.434E-01
541.00	9.437E-01
542.00	9.448E-01
543.00	9.455E-01
544.00	9.475E-01
545.00	9.457E-01
546.00	9.465E-01
547.00	9.461E-01
548.00	9.476E-01
549.00	9.475E-01
550.00	9.466E-01
551.00	9.460E-01
552.00	9.436E-01
553.00	9.434E-01
554.00	9.427E-01
555.00	9.438E-01
556.00	9.426E-01
557.00	9.437E-01
558.00	9.428E-01
559.00	9.427E-01
560.00	9.434E-01
561.00	9.439E-01
562.00	9.420E-01
563.00	9.406E-01
564.00	9.418E-01
565.00	9.404E-01
566.00	9.373E-01
567.00	9.367E-01
568.00	9.351E-01
569.00	9.348E-01
570.00	9.333E-01
571.00	9.316E-01
572.00	9.313E-01
573.00	9.306E-01
574.00	9.316E-01
575.00	9.327E-01
576.00	9.318E-01
577.00	9.347E-01
578.00	9.352E-01
579.00	9.364E-01
580.00	9.380E-01
581.00	9.394E-01
582.00	9.400E-01
583.00	9.410E-01
584.00	9.423E-01
585.00	9.427E-01
586.00	9.432E-01
587.00	9.440E-01
588.00	9.436E-01
589.00	9.428E-01
590.00	9.410E-01
591.00	9.415E-01
592.00	9.409E-01
593.00	9.403E-01
594.00	9.412E-01
595.00	9.400E-01
596.00	9.402E-01
597.00	9.397E-01
598.00	9.409E-01
599.00	9.408E-01
600.00	9.424E-01
601.00	9.419E-01
602.00	9.434E-01
603.00	9.443E-01
604.00	9.448E-01
605.00	9.443E-01
606.00	9.468E-01
607.00	9.469E-01
608.00	9.469E-01
609.00	9.472E-01
610.00	9.472E-01
611.00	9.484E-01
612.00	9.464E-01
613.00	9.464E-01
614.00	9.450E-01
615.00	9.455E-01
616.00	9.444E-01
617.00	9.433E-01
618.00	9.431E-01
619.00	9.435E-01
620.00	9.416E-01
621.00	9.427E-01
622.00	9.439E-01
623.00	9.433E-01
624.00	9.445E-01
625.00	9.454E-01
626.00	9.450E-01
627.00	9.457E-01
628.00	9.469E-01
629.00	9.473E-01
630.00	9.478E-01
631.00	9.473E-01
632.00	9.478E-01
633.00	9.467E-01
634.00	9.470E-01
635.00	9.456E-01
636.00	9.450E-01
637.00	9.422E-01
638.00	9.417E-01
639.00	9.386E-01
640.00	9.370E-01
641.00	9.320E-01
642.00	9.298E-01
643.00	9.262E-01
644.00	9.217E-01
645.00	9.182E-01
646.00	9.140E-01
647.00	9.107E-01
648.00	9.076E-01
649.00	9.035E-01
650.00	9.014E-01
651.00	8.975E-01
652.00	8.944E-01
653.00	8.927E-01
654.00	8.906E-01
655.00	8.891E-01
656.00	8.881E-01
657.00	8.879E-01
658.00	8.873E-01
659.00	8.888E-01
660.00	8.892E-01
661.00	8.908E-01
662.00	8.931E-01
663.00	8.948E-01
664.00	8.980E-01
665.00	8.997E-01
666.00	9.044E-01
667.00	9.082E-01
668.00	9.126E-01
669.00	9.168E-01
670.00	9.207E-01
671.00	9.249E-01
672.00	9.282E-01
673.00	9.326E-01
674.00	9.350E-01
675.00	9.394E-01
676.00	9.413E-01
677.00	9.425E-01
678.00	9.465E-01
679.00	9.465E-01
680.00	9.477E-01
681.00	9.482E-01
682.00	9.477E-01
683.00	9.482E-01
684.00	9.461E-01
685.00	9.449E-01
686.00	9.430E-01
687.00	9.417E-01
688.00	9.380E-01
689.00	9.372E-01
690.00	9.347E-01
691.00	9.325E-01
692.00	9.309E-01
693.00	9.291E-01
694.00	9.264E-01
695.00	9.262E-01
696.00	9.266E-01
697.00	9.249E-01
698.00	9.254E-01
699.00	9.252E-01
700.00	9.247E-01
701.00	9.251E-01
702.00	9.265E-01
703.00	9.266E-01
704.00	9.297E-01
705.00	9.290E-01
706.00	9.321E-01
707.00	9.332E-01
708.00	9.336E-01
