Typical Measured Spectrum of Semrock FF01-510/42 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	5.6626e-05
270.2	5.6028e-05
270.4	5.5436e-05
270.6	5.485e-05
270.8	5.427e-05
271.0	5.3696e-05
271.2	5.3128e-05
271.4	5.2567e-05
271.6	5.2011e-05
271.8	5.1461e-05
272.0	5.0917e-05
272.2	5.0379e-05
272.4	4.9847e-05
272.6	4.932e-05
272.8	4.8787e-05
273.0	4.6026e-05
273.2	4.3422e-05
273.4	4.0965e-05
273.6	3.8648e-05
273.8	3.6461e-05
274.0	3.4398e-05
274.2	3.2452e-05
274.4	3.0616e-05
274.6	2.8884e-05
274.8	2.7249e-05
275.0	2.5708e-05
275.2	2.5638e-05
275.4	2.5568e-05
275.6	2.5499e-05
275.8	2.543e-05
276.0	2.5361e-05
276.2	2.5292e-05
276.4	2.5223e-05
276.6	2.5155e-05
276.8	2.5087e-05
277.0	2.5019e-05
277.2	2.4951e-05
277.4	2.4883e-05
277.6	2.4816e-05
277.8	2.4308e-05
278.0	2.3063e-05
278.2	2.1881e-05
278.4	2.076e-05
278.6	1.9697e-05
278.8	1.8688e-05
279.0	1.7731e-05
279.2	1.6822e-05
279.4	1.596e-05
279.6	1.5143e-05
279.8	1.4367e-05
280.0	1.3631e-05
280.2	1.2933e-05
280.4	1.227e-05
280.6	1.1642e-05
280.8	1.1045e-05
281.0	1.048e-05
281.2	9.9428e-06
281.4	9.4334e-06
281.6	8.9502e-06
281.8	8.6621e-06
282.0	8.6264e-06
282.2	8.5908e-06
282.4	8.5554e-06
282.6	8.5201e-06
282.8	8.485e-06
283.0	8.45e-06
283.2	8.4151e-06
283.4	8.3804e-06
283.6	8.3459e-06
283.8	8.3115e-06
284.0	8.2772e-06
284.2	8.2431e-06
284.4	8.2091e-06
284.6	8.1752e-06
284.8	8.1415e-06
285.0	8.108e-06
285.2	8.0745e-06
285.4	8.0412e-06
285.6	8.0081e-06
285.8	7.8947e-06
286.0	7.6945e-06
286.2	7.4994e-06
286.4	7.3092e-06
286.6	7.1239e-06
286.8	6.9432e-06
287.0	6.7672e-06
287.2	6.5956e-06
287.4	6.4283e-06
287.6	6.2653e-06
287.8	6.1064e-06
288.0	5.9516e-06
288.2	5.8007e-06
288.4	5.6536e-06
288.6	5.5102e-06
288.8	5.3705e-06
289.0	5.2343e-06
289.2	5.1016e-06
289.4	4.9722e-06
289.6	4.8461e-06
289.8	4.4406e-06
290.0	3.8565e-06
290.2	3.3492e-06
290.4	2.9087e-06
290.6	2.5261e-06
290.8	2.1938e-06
291.0	1.9053e-06
291.2	1.6547e-06
291.4	1.437e-06
291.6	1.248e-06
291.8	1.0839e-06
292.0	9.4129e-07
292.2	8.1748e-07
292.4	7.0995e-07
292.6	6.1657e-07
292.8	5.3547e-07
293.0	4.6504e-07
293.2	4.0387e-07
293.4	3.5075e-07
293.6	3.0461e-07
293.8	3.8522e-07
294.0	6.1946e-07
294.2	9.9613e-07
294.4	1.6018e-06
294.6	2.5759e-06
294.8	4.1422e-06
295.0	6.6609e-06
295.2	6.5699e-06
295.4	6.4802e-06
295.6	6.3908e-06
295.8	6.2425e-06
296.0	6.0976e-06
296.2	5.956e-06
296.4	5.8178e-06
296.6	5.6827e-06
296.8	5.5508e-06
297.0	5.422e-06
297.2	5.2961e-06
297.4	5.1732e-06
297.6	5.0531e-06
297.8	4.9358e-06
298.0	4.8212e-06
298.2	4.7093e-06
298.4	4.6e-06
298.6	4.4932e-06
298.8	4.3889e-06
299.0	4.287e-06
299.2	4.1875e-06
299.4	4.0903e-06
299.6	3.9954e-06
299.8	2.5447e-06
300.0	1.3067e-06
300.2	1.3293e-06
300.4	1.3523e-06
300.6	1.3757e-06
300.8	1.3996e-06
301.0	1.4238e-06
301.2	1.4485e-06
301.4	1.4736e-06
301.6	1.4991e-06
301.8	1.525e-06
302.0	1.2399e-06
302.2	9.9503e-07
302.4	7.9851e-07
302.6	6.4081e-07
302.8	5.1425e-07
303.0	4.1268e-07
303.2	3.3118e-07
303.4	2.6577e-07
303.6	2.1328e-07
303.8	1.7116e-07
304.0	1.6091e-07
304.2	1.5902e-07
304.4	1.5715e-07
304.6	1.5531e-07
304.8	1.5349e-07
305.0	1.5169e-07
305.2	1.4991e-07
305.4	1.4815e-07
305.6	1.4641e-07
305.8	1.447e-07
306.0	1.55e-07
306.2	1.7624e-07
306.4	2.0039e-07
306.6	2.2784e-07
306.8	2.5906e-07
307.0	2.9455e-07
307.2	3.349e-07
307.4	3.8079e-07
307.6	4.3296e-07
307.8	4.9227e-07
308.0	5.8602e-07
308.2	7.4959e-07
308.4	9.5881e-07
308.6	1.2264e-06
308.8	1.5687e-06
309.0	2.0066e-06
309.2	2.5667e-06
309.4	3.2831e-06
309.6	4.1994e-06
309.8	5.3715e-06
310.0	6.7879e-06
310.2	7.7351e-06
310.4	8.8143e-06
310.6	1.0044e-05
310.8	1.1446e-05
311.0	1.3043e-05
311.2	1.4863e-05
311.4	1.6936e-05
311.6	1.9299e-05
311.8	2.1992e-05
312.0	2.3051e-05
312.2	2.4055e-05
312.4	2.5103e-05
312.6	2.6196e-05
312.8	2.7336e-05
313.0	2.8527e-05
313.2	2.9769e-05
313.4	3.1066e-05
313.6	3.2418e-05
313.8	3.383e-05
314.0	3.1763e-05
314.2	2.8869e-05
314.4	2.6239e-05
314.6	2.3848e-05
314.8	2.1676e-05
315.0	1.9701e-05
315.2	1.7906e-05
315.4	1.6275e-05
315.6	1.4792e-05
315.8	1.3444e-05
316.0	1.2368e-05
316.2	1.1472e-05
316.4	1.0642e-05
316.6	9.8716e-06
316.8	9.1571e-06
317.0	8.4943e-06
317.2	7.8794e-06
317.4	7.3091e-06
317.6	6.78e-06
317.8	6.2893e-06
318.0	6.5215e-06
318.2	7.9382e-06
318.4	9.6626e-06
318.6	1.1762e-05
318.8	1.4316e-05
319.0	1.7426e-05
319.2	2.1212e-05
319.4	2.582e-05
319.6	3.1428e-05
319.8	3.8255e-05
320.0	4.5848e-05
320.2	4.9034e-05
320.4	5.2442e-05
320.6	5.6087e-05
320.8	5.9985e-05
321.0	6.4154e-05
321.2	6.8613e-05
321.4	7.3381e-05
321.6	7.8482e-05
321.8	8.3936e-05
322.0	7.7653e-05
322.2	7.1e-05
322.4	6.4918e-05
322.6	5.9356e-05
322.8	5.4271e-05
323.0	4.9622e-05
323.2	4.5371e-05
323.4	4.1484e-05
323.6	3.793e-05
323.8	3.468e-05
324.0	3.0227e-05
324.2	2.5928e-05
324.4	2.2241e-05
324.6	1.9078e-05
324.8	1.6365e-05
325.0	1.4037e-05
325.2	1.2041e-05
325.4	1.0329e-05
325.6	8.8597e-06
325.8	7.5997e-06
326.0	6.9929e-06
326.2	6.777e-06
326.4	6.5679e-06
326.6	6.3651e-06
326.8	6.1687e-06
327.0	5.9783e-06
327.2	5.7938e-06
327.4	5.615e-06
327.6	5.4417e-06
327.8	5.2737e-06
328.0	5.1175e-06
328.2	4.9752e-06
328.4	4.8369e-06
328.6	4.7025e-06
328.8	4.5718e-06
329.0	4.4447e-06
329.2	4.3211e-06
329.4	4.201e-06
329.6	4.0843e-06
329.8	3.9707e-06
330.0	3.8721e-06
330.2	3.861e-06
330.4	3.8499e-06
330.6	3.8388e-06
330.8	3.8278e-06
331.0	3.8168e-06
331.2	3.8058e-06
331.4	3.7949e-06
331.6	3.784e-06
331.8	3.7731e-06
332.0	3.7118e-06
332.2	3.6466e-06
332.4	3.5825e-06
332.6	3.5195e-06
332.8	3.4577e-06
333.0	3.3969e-06
333.2	3.3373e-06
333.4	3.2786e-06
333.6	3.221e-06
333.8	3.1644e-06
334.0	3.049e-06
334.2	2.9178e-06
334.4	2.7922e-06
334.6	2.672e-06
334.8	2.557e-06
335.0	2.447e-06
335.2	2.3417e-06
335.4	2.2409e-06
335.6	2.1444e-06
335.8	2.0521e-06
336.0	1.8796e-06
336.2	1.6667e-06
336.4	1.4779e-06
336.6	1.3105e-06
336.8	1.162e-06
337.0	1.0304e-06
337.2	9.1367e-07
337.4	8.1017e-07
337.6	7.184e-07
337.8	6.3702e-07
338.0	5.8249e-07
338.2	5.567e-07
338.4	5.3206e-07
338.6	5.0851e-07
338.8	4.86e-07
339.0	4.6449e-07
339.2	4.4393e-07
339.4	4.2428e-07
339.6	4.0551e-07
339.8	3.8756e-07
340.0	3.6106e-07
340.2	2.8129e-07
340.4	2.1915e-07
340.6	1.7073e-07
340.8	1.3301e-07
341.0	1.0363e-07
341.2	8.0735e-08
341.4	6.2898e-08
341.6	4.9003e-08
341.8	3.8177e-08
342.0	4.9619e-08
342.2	6.784e-08
342.4	9.2751e-08
342.6	1.2681e-07
342.8	1.7337e-07
343.0	2.3704e-07
343.2	3.2408e-07
343.4	4.4309e-07
343.6	6.0579e-07
343.8	8.2824e-07
344.0	7.3987e-07
344.2	5.7134e-07
344.4	4.412e-07
344.6	3.407e-07
344.8	2.6309e-07
345.0	2.0316e-07
345.2	1.5688e-07
345.4	1.2115e-07
345.6	9.3552e-08
345.8	7.2242e-08
346.0	6.9062e-08
346.2	7.6815e-08
346.4	8.5439e-08
346.6	9.5032e-08
346.8	1.057e-07
347.0	1.1757e-07
347.2	1.3077e-07
347.4	1.4545e-07
347.6	1.6178e-07
347.8	1.7994e-07
348.0	1.887e-07
348.2	1.8273e-07
348.4	1.7695e-07
348.6	1.7135e-07
348.8	1.6593e-07
349.0	1.6068e-07
349.2	1.5559e-07
349.4	1.5067e-07
349.6	1.459e-07
349.8	1.4129e-07
350.0	1.39e-07
350.2	1.5134e-07
350.4	1.6479e-07
350.6	1.7942e-07
350.8	1.9536e-07
351.0	2.1271e-07
351.2	2.316e-07
351.4	2.5217e-07
351.6	2.7457e-07
351.8	2.9895e-07
352.0	3.0697e-07
352.2	3.1258e-07
352.4	3.1828e-07
352.6	3.2409e-07
352.8	3.3001e-07
353.0	3.3603e-07
353.2	3.4216e-07
353.4	3.4841e-07
353.6	3.5477e-07
353.8	3.6124e-07
354.0	3.0786e-07
354.2	2.4482e-07
354.4	1.9469e-07
354.6	1.5482e-07
354.8	1.2312e-07
355.0	9.7908e-08
355.2	7.7859e-08
355.4	6.1916e-08
355.6	4.9237e-08
355.8	3.9155e-08
356.0	3.5401e-08
356.2	3.533e-08
356.4	3.526e-08
356.6	3.519e-08
356.8	3.512e-08
357.0	3.505e-08
357.2	3.498e-08
357.4	3.491e-08
357.6	3.4841e-08
357.8	3.4771e-08
358.0	3.6302e-08
358.2	4.0386e-08
358.4	4.493e-08
358.6	4.9984e-08
358.8	5.5608e-08
359.0	6.1864e-08
359.2	6.8824e-08
359.4	7.6567e-08
359.6	8.5181e-08
359.8	9.4764e-08
360.0	1.0612e-07
360.2	1.2421e-07
360.4	1.4539e-07
360.6	1.7017e-07
360.8	1.9917e-07
361.0	2.3312e-07
361.2	2.7285e-07
361.4	3.1936e-07
361.6	3.738e-07
361.8	4.3751e-07
362.0	4.7665e-07
362.2	5.1495e-07
362.4	5.5632e-07
362.6	6.0102e-07
362.8	6.493e-07
363.0	7.0147e-07
363.2	7.5782e-07
363.4	8.1871e-07
363.6	8.8448e-07
363.8	9.5554e-07
364.0	9.6268e-07
364.2	9.4696e-07
364.4	9.3149e-07
364.6	9.1628e-07
364.8	9.0132e-07
365.0	8.866e-07
365.2	8.7212e-07
365.4	8.5788e-07
365.6	8.4387e-07
365.8	8.3009e-07
366.0	8.1937e-07
366.2	8.1069e-07
366.4	8.021e-07
366.6	7.936e-07
366.8	7.852e-07
367.0	7.7688e-07
367.2	7.6865e-07
367.4	7.6051e-07
367.6	7.5245e-07
367.8	7.4448e-07
368	7.5712E-08
368.2	7.9629E-08
368.4	8.3749E-08
368.6	8.8082E-08
368.8	9.2639E-08
369	9.7431E-08
369.2	1.0247E-07
369.4	1.0777E-07
369.6	1.1335E-07
369.8	1.1921E-07
370	1.2713E-07
370.2	1.462E-07
370.4	1.6813E-07
370.6	1.9335E-07
370.8	2.2235E-07
371	2.5571E-07
371.2	2.9406E-07
371.4	3.3817E-07
371.6	3.889E-07
371.8	4.4724E-07
372	4.5025E-07
372.2	4.4396E-07
372.4	4.3775E-07
372.6	4.3164E-07
372.8	4.2561E-07
373	4.1966E-07
373.2	4.138E-07
373.4	4.0802E-07
373.6	4.0232E-07
373.8	3.967E-07
374	3.8432E-07
374.2	3.6985E-07
374.4	3.5592E-07
374.6	3.4251E-07
374.8	3.2961E-07
375	3.172E-07
375.2	3.0525E-07
375.4	2.9375E-07
375.6	2.8269E-07
375.8	2.7204E-07
376	2.6331E-07
376.2	2.5594E-07
376.4	2.4877E-07
376.6	2.418E-07
376.8	2.3502E-07
377	2.2844E-07
377.2	2.2204E-07
377.4	2.1581E-07
377.6	2.0977E-07
377.8	2.0389E-07
378	2.086E-07
378.2	2.278E-07
378.4	2.4876E-07
378.6	2.7166E-07
378.8	2.9666E-07
379	3.2396E-07
379.2	3.5378E-07
379.4	3.8634E-07
379.6	4.219E-07
379.8	4.6073E-07
380	5.0231E-07
380.2	5.4256E-07
380.4	5.8603E-07
380.6	6.3299E-07
380.8	6.8371E-07
381	7.3849E-07
381.2	7.9767E-07
381.4	8.6158E-07
381.6	9.3062E-07
381.8	1.0052E-06
382	1.0041E-06
382.2	9.9039E-07
382.4	9.7683E-07
382.6	9.6347E-07
382.8	9.5029E-07
383	9.3728E-07
383.2	9.2446E-07
383.4	9.1181E-07
383.6	8.9933E-07
383.8	8.8703E-07
384	8.3014E-07
384.2	7.612E-07
384.4	6.9798E-07
384.6	6.4002E-07
384.8	5.8686E-07
385	5.3813E-07
385.2	4.9344E-07
385.4	4.5246E-07
385.6	4.1488E-07
385.8	3.8043E-07
386	3.6742E-07
386.2	3.6817E-07
386.4	3.6892E-07
386.6	3.6967E-07
386.8	3.7043E-07
387	3.7118E-07
387.2	3.7194E-07
387.4	3.727E-07
387.6	3.7346E-07
387.8	3.7422E-07
388	3.8572E-07
388.2	4.1125E-07
388.4	4.3847E-07
388.6	4.6749E-07
388.8	4.9843E-07
389	5.3142E-07
389.2	5.6659E-07
389.4	6.0409E-07
389.6	6.4407E-07
389.8	6.867E-07
390	7.3011E-07
390.2	7.6493E-07
390.4	8.0141E-07
390.6	8.3964E-07
390.8	8.7969E-07
391	9.2164E-07
391.2	9.656E-07
391.4	1.0117E-06
391.6	1.0599E-06
391.8	1.1105E-06
392	1.0726E-06
392.2	1.0207E-06
392.4	9.7125E-07
392.6	9.2424E-07
392.8	8.7949E-07
393	8.3692E-07
393.2	7.964E-07
393.4	7.5785E-07
393.6	7.2116E-07
393.8	6.8625E-07
394	6.6724E-07
394.2	6.5448E-07
394.4	6.4197E-07
394.6	6.297E-07
394.8	6.1766E-07
395	6.0585E-07
